;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;153650106;12/31/2015;09:14 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12878157507646, -87.95600237520941];6098 N 35TH ST
1;153640002;12/30/2015;12:24 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09282083418014, -87.94455266025324];4200 N 25TH ST
2;153630129;12/29/2015;08:37 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12055696863641, -87.95615491906649];5662 N 35TH ST
3;153620079;12/28/2015;12:48 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10803724562871, -87.9677354085349];4970 N 44TH ST
4;153620095;12/28/2015;03:11 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11887873320859, -87.9394579303311];2219 W SILVER SPRING DR
5;153610019;12/27/2015;02:10 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.089887460470756, -87.94649322300768];2620 W CAPITOL DR
6;153610201;12/27/2015;11:19 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11793741326679, -87.95987536078269];5520 N 38TH ST
7;153600041;12/26/2015;09:11 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.092901424923554, -87.93937805539827];4139 N 22ND ST
8;153600113;12/26/2015;03:20 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11722726118061, -87.93671618039134];5500 N 20TH ST
9;153600127;12/26/2015;07:43 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10473047157926, -87.97462297446476];4918 W HAMPTON AV
10;153590006;12/25/2015;01:21 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09783878743056, -87.93722290978667];2002 W ROOSEVELT DR
11;153580005;12/24/2015;01:21 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.0942950313636, -87.94564062479058];4271 N 26TH ST
12;153580038;12/24/2015;06:40 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09668019900167, -87.93054762479058];4381 N 16TH ST
13;153580059;12/24/2015;10:18 AM;5.0;MOTOR VEHICLE THEFT;;;;[43.09461011518263, -87.93429056650677];4221 N 19TH ST
14;153580126;12/24/2015;05:05 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12454293830562, -87.96617241870571];5750 N SHERMAN BL
15;153560096;12/23/2015;08:36 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10755255536961, -87.96263483524747];4950 N 40TH ST
16;153570028;12/23/2015;07:15 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12878157507646, -87.95600237520941];6098 N 35TH ST
17;153570039;12/23/2015;07:29 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.141194468406184, -87.95805198848747];3801 W GREEN TREE RD
18;153570069;12/23/2015;11:29 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.10968034634544, -87.93907999951936];5062 N 22ND ST
19;153570111;12/23/2015;03:50 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12710480309732, -87.96598560731026];6016 N SHERMAN BL
