;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;150310032;01/31/2015;09:10 AM;7.0;MOTOR VEHICLE THEFT;;;[43.11009565594311, -87.93794606168362];5122 N 21ST ST
1;150310059;01/31/2015;12:37 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10971326810552, -87.96365413561062];5067 N 41ST ST
2;150300044;01/30/2015;09:01 AM;7.0;MOTOR VEHICLE THEFT;;;[43.105256947544575, -87.94286808482863];4835 N 24TH PL
3;150300111;01/30/2015;07:33 PM;7.0;MOTOR VEHICLE THEFT;;;[43.108461230913534, -87.94869138983768];5003 N TEUTONIA AV
4;150310007;01/30/2015;11:42 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10445030606816, -87.93142895904172];4803 N GREEN BAY AV
5;150290077;01/29/2015;01:03 PM;7.0;MOTOR VEHICLE THEFT;;;[43.110058191499846, -87.9638045629001];5101 N 41ST ST
6;150290079;01/29/2015;01:09 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10457962098931, -87.94669606996436];4801 N TEUTONIA AV
7;150280037;01/28/2015;09:50 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12592265316018, -87.95605296269468];5966 N 35TH ST
8;150280090;01/28/2015;06:36 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10228699999999, -87.93540011757723];4685 N 19TH PL
9;150280094;01/28/2015;06:53 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11790184860515, -87.95060618206304];5541 N TEUTONIA AV #3
10;150280136;01/28/2015;07:51 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09890052596792, -87.94110191909516];2316 W RUBY AV
11;150270104;01/27/2015;11:54 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10539853788447, -87.97888618495031];4828 N 53RD ST
12;150260098;01/26/2015;03:41 PM;4.0;MOTOR VEHICLE THEFT;;;[43.114827080760605, -87.95023989165536];5335 N TEUTONIA AV
13;150250026;01/25/2015;05:08 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11260773688613, -87.95006949379625];5233 N TEUTONIA AV
14;150250053;01/25/2015;11:22 AM;7.0;MOTOR VEHICLE THEFT;;;[43.11101705245542, -87.93446340463977];5144 N 19TH ST
15;150250072;01/25/2015;02:06 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11489740519164, -87.93399747326869];5385 N GREEN BAY AV
16;150250073;01/25/2015;01:13 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10607558090484, -87.9564843529924];4858 N MOTHER DANIELS WA
17;150240013;01/24/2015;01:50 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10469868471918, -87.94673174539757];4811 N TEUTONIA AV
18;150250004;01/24/2015;11:55 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10762430391253, -87.9379853280341];4950 N 21ST ST
19;150230117;01/23/2015;07:48 PM;7.0;MOTOR VEHICLE THEFT;;;[43.106184586733235, -87.96272113200395];4873 N 40TH ST
20;150220010;01/22/2015;03:59 AM;5.0;MOTOR VEHICLE THEFT;;;[43.091846800998326, -87.94188390463978];4112 N 24TH ST
21;150210042;01/21/2015;07:48 AM;7.0;MOTOR VEHICLE THEFT;;;[43.106958586733214, -87.95901763200395];4921 N 37TH ST
22;150210057;01/21/2015;11:28 AM;4.0;MOTOR VEHICLE THEFT;;;[43.127677341104516, -87.95978810646872];6043 N 38TH ST
23;150210068;01/21/2015;12:15 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10663332944776, -87.95281239353127];4920 N 32ND ST
24;150200019;01/20/2015;08:47 AM;4.0;MOTOR VEHICLE THEFT;;;[43.118117884817366, -87.95747236078269];5530 N 36TH ST
25;150200083;01/20/2015;03:41 PM;4.0;MOTOR VEHICLE THEFT;;;[43.120402910352595, -87.9662439190665];5650 N 43RD ST
26;150180085;01/18/2015;02:46 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12980880099835, -87.95839486078269];6140 N 37TH ST
27;150170089;01/17/2015;05:47 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
28;150160028;01/16/2015;07:59 AM;7.0;MOTOR VEHICLE THEFT;;;[43.105022465722215, -87.93528489353127];4828 N 19TH PL
29;150160032;01/16/2015;09:12 AM;4.0;MOTOR VEHICLE THEFT;;;[43.14294861336498, -87.95892449016091];6921 N SUSSEX ST
30;150160082;01/16/2015;03:03 PM;4.0;MOTOR VEHICLE THEFT;;;[43.14874664164119, -87.96382049987486];4154 W GOOD HOPE RD
31;150150034;01/15/2015;09:32 AM;5.0;MOTOR VEHICLE THEFT;;;[43.091027717179315, -87.93312443738836];4064 N 18TH ST
32;150140016;01/14/2015;04:39 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10565191035258, -87.94531591185313];4852 N 26TH ST
33;150120047;01/12/2015;10:17 AM;7.0;MOTOR VEHICLE THEFT;;;[43.11185948124545, -87.95609116763806];3427 W VILLARD AV
34;150120069;01/12/2015;12:13 PM;4.0;MOTOR VEHICLE THEFT;;;[43.13311754616569, -87.973704];4811 W WOOLWORTH AV
35;150100039;01/10/2015;12:27 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09090342492354, -87.92582007372015];4067 N 12TH ST
36;150080032;01/08/2015;12:43 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09144163336026, -87.92942641185313];4100 N 15TH ST
37;150080077;01/08/2015;08:17 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10985570909198, -87.93907512833196];5080 N 22ND ST
38;150060098;01/06/2015;01:38 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09449286372555, -87.94688913589908];4275 N 27TH ST
39;150040049;01/04/2015;12:29 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10471887774282, -87.96509892358927];4200 W HAMPTON AV
40;150030036;01/03/2015;07:39 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10511288481737, -87.95899336078269];4820 N 37TH ST
41;150030061;01/03/2015;01:39 PM;4.0;MOTOR VEHICLE THEFT;;;[43.1119944338413, -87.96253309908522];4000 W VILLARD AV
42;150010066;01/01/2015;09:39 AM;7.0;MOTOR VEHICLE THEFT;;;[43.106368506780676, -87.95980333236193];3723 W STARK ST
43;150300034;01/30/2015;07:27 AM;3.0;MOTOR VEHICLE THEFT;;;[43.04355241326678, -87.97097389684949];1062 N 46TH ST
44;150290010;01/29/2015;01:06 AM;7.0;MOTOR VEHICLE THEFT;;;[43.0754108749512, -87.98311907123299];5600 W BURLEIGH ST
45;150290054;01/29/2015;10:14 AM;7.0;MOTOR VEHICLE THEFT;;;[43.06810526663592, -87.97622544428681];2705 N 50TH ST
46;150290087;01/29/2015;02:32 PM;7.0;MOTOR VEHICLE THEFT;;;[43.07190244463038, -87.97977163200395];2909 N 53RD ST
47;150280053;01/28/2015;12:05 PM;7.0;MOTOR VEHICLE THEFT;;;[43.07141716763806, -87.98420236078269];2874 N 57TH ST
48;150280015;01/27/2015;10:04 PM;3.0;MOTOR VEHICLE THEFT;;;[43.03997465892097, -87.9835339812944];835 N HAWLEY RD
49;150210096;01/21/2015;03:13 PM;7.0;MOTOR VEHICLE THEFT;;;[43.071497612268445, -87.98209910646872];2877 N 55TH ST
50;150200111;01/20/2015;05:05 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08672708964741, -87.99465912479059];3819 N 66TH ST
51;150190072;01/19/2015;01:45 PM;3.0;MOTOR VEHICLE THEFT;;;[43.06799648845882, -87.984324];5631 W CENTER ST
52;150190101;01/19/2015;04:12 PM;3.0;MOTOR VEHICLE THEFT;;;[43.03414771717931, -87.96010397013696];316 N 37TH ST
53;150160099;01/16/2015;11:58 AM;3.0;MOTOR VEHICLE THEFT;;;[43.033637824738186, -87.95785543646494];3505 W MT VERNON AV
54;150140031;01/14/2015;08:33 AM;7.0;MOTOR VEHICLE THEFT;;;[43.08899433527614, -87.99946159925535];3959 N 70TH ST
55;150070039;01/07/2015;11:26 AM;7.0;MOTOR VEHICLE THEFT;;;[43.08188857366268, -87.9872781074032];3435 N 60TH ST
56;150060125;01/06/2015;09:49 PM;7.0;MOTOR VEHICLE THEFT;;;[43.08082633585303, -87.99663621824715];6780 W APPLETON AV
57;150050071;01/05/2015;03:22 PM;7.0;MOTOR VEHICLE THEFT;;;[43.078753341104516, -87.97966010646873];3275 N 53RD ST
58;150020089;01/02/2015;02:54 PM;7.0;MOTOR VEHICLE THEFT;;;[43.07639369608748, -87.97853060646872];3151 N 52ND ST
