Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
151200033;04/30/2015;07:20 AM;4.0;SIMPLE ASSAULT;;;;5803 N 37TH ST
151200062;04/30/2015;11:55 AM;7.0;MOTOR VEHICLE THEFT;;;;5151 N 45TH ST
151200072;04/30/2015;02:10 PM;7.0;INTIMIDATION;;;;2119 W VILLARD AV
151200129;04/30/2015;07:15 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;5017 N GREEN BAY AV #UPR
151190016;04/29/2015;01:34 AM;7.0;ROBBERY;;;;4803 N GREEN BAY AV
151190037;04/29/2015;07:48 AM;5.0;MOTOR VEHICLE THEFT;;;;4040 N 15TH ST
151190040;04/29/2015;07:27 AM;5.0;ALL OTHER LARCENY;;;;1801 W OLIVE ST
151190072;04/29/2015;11:53 AM;5.0;PURSE SNATCHING;;;;2200 W CAPITOL DR
151190078;04/29/2015;11:59 AM;4.0;AGGRAVATED ASSAULT;;;;5685 N 42ND ST
151190080;04/29/2015;12:32 PM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;7084 N 43RD ST
151190081;04/29/2015;12:20 PM;5.0;AGGRAVATED ASSAULT;;;;4373 N 18TH ST
151190085;04/29/2015;01:41 PM;5.0;THEFT FROM BUILDING;;;;1960 W ATKINSON AV
151190125;04/29/2015;05:59 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;2061 W ATKINSON AV #303
151190129;04/29/2015;05:32 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5531 N 41ST ST
151190130;04/29/2015;06:09 PM;5.0;SIMPLE ASSAULT;;;;1300 W CAPITOL DR
151190157;04/29/2015;07:25 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4520 W EGGERT PL
151180028;04/28/2015;06:38 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5375 N GREEN BAY AV
151180041;04/28/2015;09:15 AM;4.0;AGGRAVATED ASSAULT;;;;3500 W SILVER SPRING DR
151180082;04/28/2015;02:40 PM;7.0;AGGRAVATED ASSAULT;;;;5183 N 35TH ST #3
151180136;04/28/2015;07:49 PM;7.0;SIMPLE ASSAULT;;;;5057 N 26TH ST
151180168;04/28/2015;09:20 PM;4.0;SIMPLE ASSAULT;;;;5308 N TEUTONIA AV #4
151190007;04/28/2015;11:59 PM;7.0;ROBBERY;;;;2600 W HAMPTON AV
151170018;04/27/2015;02:09 AM;4.0;AGGRAVATED ASSAULT;;;;5304 N TEUTONIA AV #5
151170026;04/27/2015;05:15 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6859 N TEUTONIA AV
151170028;04/27/2015;03:49 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5710 N 41ST ST
151170068;04/27/2015;12:23 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4543 N 29TH ST
151170079;04/27/2015;12:36 PM;4.0;AGGRAVATED ASSAULT;;;;5539 N LONG ISLAND DR
151170079;04/27/2015;12:36 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5539 N LONG ISLAND DR
151170086;04/27/2015;09:43 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;3809 W VILLARD AV
151170117;04/27/2015;11:11 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5573 N 31ST ST
