Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
151810065;06/30/2015;10:27 AM;5.0;MOTOR VEHICLE THEFT;;;4000 N TEUTONIA AV
151810080;06/30/2015;11:08 AM;7.0;SIMPLE ASSAULT;;;3927 W VILLARD AV
151810092;06/30/2015;12:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;3450 W HOPKINS ST
151810094;06/30/2015;12:01 PM;5.0;AGGRAVATED ASSAULT;;;2509 W GLENDALE AV
151810102;06/30/2015;10:55 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;2304 W LINWAL LA
151810193;06/30/2015;11:14 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;4245 N 27TH ST #5
151820002;06/30/2015;11:09 PM;5.0;ROBBERY;;;4065 N 24TH ST
151880139;06/30/2015;04:20 PM;4.0;AGGRAVATED ASSAULT;;;3300 W ROHR AV
151800042;06/29/2015;06:35 AM;4.0;MOTOR VEHICLE THEFT;;;2914 W BOBOLINK AV
151800053;06/29/2015;09:00 AM;4.0;MOTOR VEHICLE THEFT;;;5719 N 35TH ST
151800055;06/29/2015;09:14 AM;4.0;MOTOR VEHICLE THEFT;;;5505 N 40TH ST
151800067;06/29/2015;10:40 AM;7.0;MOTOR VEHICLE THEFT;;;5173 N 35TH ST
151800078;06/29/2015;11:04 AM;5.0;SIMPLE ASSAULT;;;2509 W GLENDALE AV
151800098;06/29/2015;12:38 PM;5.0;THEFT FROM BUILDING;;;4313 N 22ND ST
151800101;06/29/2015;12:22 PM;7.0;ROBBERY;;;4871 N GREEN BAY AV
151800131;06/29/2015;01:37 PM;5.0;AGGRAVATED ASSAULT;;;4112-A N 14TH ST
151800140;06/29/2015;06:15 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;4132 N 12TH ST
151800172;06/29/2015;06:07 PM;4.0;AGGRAVATED ASSAULT;;;5970 N 37TH ST
151800183;06/29/2015;07:30 PM;5.0;AGGRAVATED ASSAULT;;;4446 N 28TH ST
151800214;06/29/2015;09:37 PM;4.0;AGGRAVATED ASSAULT;;;5376 N 38TH ST
151810001;06/29/2015;11:01 PM;7.0;MOTOR VEHICLE THEFT;;;4821 N 22ND ST
