;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;163350059;11/30/2016;11:47 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11653341326678, -87.9575038607827];5442 N 36TH ST
1;163330025;11/28/2016;05:54 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1426462586465, -87.95690494397353];6871 N DARIEN ST #2
2;163330031;11/28/2016;07:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14839952452562, -87.95826];3707 W GOOD HOPE RD
3;163330140;11/28/2016;05:10 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09883961226845, -87.9467916503258];4469 N 27TH ST
4;163320031;11/27/2016;06:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108106481245464, -87.94737377699232];2725 W FAIRMOUNT AV
5;163310135;11/26/2016;10:09 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.121203658895496, -87.95738588631792];5690 N 36TH ST
6;163290024;11/24/2016;03:34 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11873841326678, -87.95986488963614];5562 N 38TH ST
7;163290035;11/24/2016;08:11 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12275300000002, -87.96454636078269];5760 N 42ND ST
8;163280032;11/23/2016;06:28 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09948484569214, -87.94398920840807];4522 N TEUTONIA AV #2
9;163280108;11/23/2016;04:36 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1298732559341, -87.96504905569857];4227 W DOUGLAS AV
10;163250121;11/20/2016;08:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11560753318127, -87.95803049999999];3610 W CUSTER AV
11;163230077;11/18/2016;01:16 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10001799417162, -87.94910385356933];4544 N 29TH ST
12;163210177;11/17/2016;01:23 AM;4.0;COUNTERFEITING/FORGERY;MOTOR VEHICLE THEFT;;;;[43.113068444630386, -87.95407012089545];5253 N 33RD ST
13;163220108;11/17/2016;04:07 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093008282820705, -87.93066912479058];4169 N 16TH ST
14;163210035;11/16/2016;08:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14570729531418, -87.95704559406217];7036 N 37TH ST
15;163200075;11/15/2016;03:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.121294161809686, -87.95858288631791];5694 N 37TH ST
16;163190052;11/14/2016;11:28 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.116043389404986, -87.92652057120998];5445 N 13TH ST
17;163180056;11/13/2016;12:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09790141297833, -87.94327195922999];4439 N TEUTONIA AV
18;163160113;11/11/2016;06:53 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11185948124545, -87.95609116763806];3427 W VILLARD AV
19;163140021;11/09/2016;09:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100414663627355, -87.9444710401931];4548 N TEUTONIA AV
