Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
050590015;02/28/2005;12:11 AM;7.0;ARSON;;;;;4858 N 26TH ST
050590036;02/28/2005;08:09 AM;7.0;ALL OTHER LARCENY;;;;;5089 N 26TH ST
050590470;02/28/2005;03:20 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6039 N 39TH ST
050590500;02/28/2005;03:00 PM;4.0;SHOPLIFTING;;;;;6811 N TEUTONIA AV
050590517;02/28/2005;05:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5127 N 31ST ST
050590536;02/28/2005;05:49 PM;5.0;MOTOR VEHICLE THEFT;;;;;4381 N 15TH ST
050590543;02/28/2005;05:50 PM;4.0;THEFT FROM BUILDING;;;;;3412 W ROHR AV #3
050590552;02/28/2005;03:55 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7044 N 37TH ST
050580024;02/27/2005;07:30 AM;7.0;SHOPLIFTING;;;;;3927 W VILLARD AV
050580041;02/27/2005;07:58 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4643 N 31ST ST
050580045;02/27/2005;08:54 AM;4.0;MOTOR VEHICLE THEFT;;;;;5239 N 38TH ST
050580060;02/27/2005;08:22 AM;7.0;MOTOR VEHICLE THEFT;;;;;5117 N 22ND ST
050580083;02/27/2005;09:18 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4859 N 25TH ST
050580117;02/27/2005;12:53 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4603 N 29TH ST
050580118;02/27/2005;12:53 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4603 N 29TH ST
050580119;02/27/2005;02:35 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4636 N 29TH ST
050580120;02/27/2005;02:30 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4603 N 29TH ST
050580177;02/27/2005;11:52 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4855 N 47TH ST
050570072;02/26/2005;09:30 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3501 W MOTHER DANIELS WA
050570111;02/26/2005;11:01 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;7343 N TEUTONIA AV
