;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;52430150;08/31/2005;03:47 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11155250678069, -87.9347702514571];1901 W VILLARD AV
1;52430256;08/31/2005;10:17 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10087403136362, -87.94293110646872];4603 N 24TH
2;52420059;08/30/2005;08:51 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.15139435221302, -87.9574166979634];7350 N TEUTONIA AV
3;52420111;08/30/2005;11:37 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.133904500576, -87.95926252553522];3800 W MILL RD
4;52410116;08/29/2005;12:19 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11845113627447, -87.9513543718912];5542 N 31ST ST
5;52400080;08/28/2005;09:41 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09110871717931, -87.93312443738836];4070 N 18TH ST
6;52400136;08/28/2005;03:08 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
7;52390050;08/27/2005;08:20 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.095109674418744, -87.94317782347514];2433 W ROOSEVELT DR
8;52390139;08/27/2005;05:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0983275029142, -87.94679909536022];4451 N 27TH ST
9;52380100;08/26/2005;12:19 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11429209908247, -87.95019943219422];5329 N TEUTONIA AV
10;52380108;08/26/2005;12:48 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11429209908247, -87.95019943219422];5329 N TEUTONIA AV
11;52380128;08/26/2005;02:55 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08945448600596, -87.92508108090485];1112 W CAPITOL DR
12;52380168;08/26/2005;06:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10318699999999, -87.94912909925536];4731 N 29TH ST
13;52370083;08/25/2005;09:33 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.116714031363614, -87.96237815753918];5451 N 40TH ST
14;52370169;08/25/2005;04:30 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10448546047076, -87.93847299708581];2110 W HAMPTON AV
15;52360223;08/24/2005;10:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11262833527613, -87.95521963200395];5233 N 34TH ST
16;52360230;08/24/2005;10:42 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14489053952925, -87.96362327699232];4113 W KILEY AV
17;52350096;08/23/2005;10:39 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11074915875126, -87.96409656621832];5143 N 41ST ST
18;52350118;08/23/2005;01:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11840611518264, -87.95754057372014];5545 N 36TH ST
19;52340115;08/22/2005;12:28 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.146408855127206, -87.95728599053628];7072 N 37TH ST
20;52340159;08/22/2005;02:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108106481245464, -87.94752227699232];2731 W FAIRMOUNT AV
21;52340173;08/22/2005;03:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.121484139132946, -87.95902133864607];3730 W THURSTON AV
22;52340196;08/22/2005;05:26 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11191645325738, -87.95665308090484];3500 W VILLARD AV
23;52330105;08/21/2005;12:31 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.128305329447755, -87.95726289353127];6076 N 36TH ST
24;52360208;08/21/2005;02:03 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12665224961333, -87.96366531530612];4124 W FLORIST AV
25;52300044;08/18/2005;07:47 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14069940882337, -87.96566502005355];6770 N 43RD ST
26;52300055;08/18/2005;08:44 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09746939780987, -87.92765925947413];4427 N GREEN BAY AV
27;52300128;08/18/2005;02:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.129908199001676, -87.95847109925535];6145 N 37TH ST
28;52300168;08/18/2005;06:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108937077990646, -87.96014438631792];5028 N 38TH ST
29;52290064;08/17/2005;09:35 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08978762106314, -87.93883689398197];4000 N TEUTONIA AV
