;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;52730049;09/30/2005;09:30 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11427701165675, -87.95402856261164];5323 N 33RD ST
1;52730083;09/30/2005;01:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09411567055227, -87.94817959925535];4261 N 28TH ST
2;52720097;09/29/2005;10:43 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11939250822297, -87.9656815771826];4240 W SILVER SPRING DR
3;52720098;09/29/2005;11:34 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10475546047076, -87.9785505];5226 W HAMPTON AV
4;52720158;09/29/2005;04:06 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0973217100864, -87.94724256344877];2719 W ATKINSON AV
5;52720159;09/29/2005;04:10 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10828549321932, -87.96266002553523];3938 W FAIRMOUNT AV
6;52710045;09/28/2005;08:19 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14127648600598, -87.96049280682671];3932 W GREEN TREE RD
7;52710072;09/28/2005;10:08 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10727319900167, -87.96660807372014];4935 N SHERMAN BL
8;52710084;09/28/2005;10:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107532994171635, -87.94525635356932];4940 N 26TH ST
9;52710166;09/28/2005;04:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.129718497085804, -87.96236637131426];6134 N 40TH ST
10;52710177;09/28/2005;05:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11193053375819, -87.9645929306077];4134 W VILLARD AV
11;52700052;09/27/2005;09:21 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10933341326677, -87.97505589353128];5046 N 50TH ST
12;52700057;09/27/2005;09:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10068689751833, -87.94458068898705];4588 N TEUTONIA AV
13;52700169;09/27/2005;02:51 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09026311518264, -87.92830759925536];4033 N 14TH ST
14;52700206;09/27/2005;09:28 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12743319900167, -87.95853859925535];6033 N 37TH ST
15;52700224;09/27/2005;10:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.109388419095154, -87.94530065753918];5047 N 26TH ST
16;52690117;09/26/2005;12:51 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107347460470756, -87.95330958090484];3210 W CAMERON AV
17;52690142;09/26/2005;02:19 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14269243167027, -87.95673217897118];6864 N DARIEN ST #3
18;52690258;09/26/2005;10:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.107270539529246, -87.95194127699232];3101 W CAMERON AV
19;52680163;09/25/2005;06:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.116624586733224, -87.95758115753918];5447 N 36TH ST
20;52680171;09/25/2005;07:02 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV
21;52600199;09/24/2005;05:20 PM;7.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.111878539529265, -87.95761152844942];3535 W VILLARD AV
22;52640046;09/21/2005;08:30 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11767641326679, -87.96462435356932];5504 N 42ND ST
23;52640148;09/21/2005;04:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106788849746174, -87.96156889652624];4937 N 39TH ST
24;52640176;09/21/2005;06:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10823248124546, -87.96113002553523];3829 W FAIRMOUNT AV
25;52640179;09/21/2005;06:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10576965670769, -87.97509224011104];4800 N 50TH ST
26;52640192;09/21/2005;07:40 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14866749711446, -87.9589516902591];3730 W GOOD HOPE RD
27;52630042;09/20/2005;08:26 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.112725994171626, -87.95880639353128];5234 N 37TH ST
28;52620074;09/19/2005;11:45 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09616015820301, -87.93932577266449];4336 N 22ND ST
29;52620097;09/19/2005;01:19 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.129575199001664, -87.95848009925535];6129 N 37TH ST
30;52620115;09/19/2005;02:11 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.097194729384334, -87.92746929006272];4401 N GREEN BAY AV
31;52620169;09/19/2005;06:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10937092200936, -87.96020907372014];5049 N 38TH ST
32;52620179;09/19/2005;06:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10799325145709, -87.97266762479057];4969 N 48TH ST
33;52620193;09/19/2005;03:06 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09987513627445, -87.93934335356933];4544 N 22ND ST
34;52610157;09/18/2005;03:59 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.112887994171615, -87.9587964190665];5244 N 37TH ST
35;52600008;09/17/2005;12:36 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11646099417163, -87.9599124190665];5436 N 38TH ST
36;52600015;09/17/2005;12:53 AM;7.0;THEFT FROM MOTOR VEHICLE;ALL OTHER LARCENY;;;;[43.111883442074, -87.97622251030494];5099 W VILLARD AV
37;52600046;09/17/2005;08:07 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11465224562872, -87.9599529190665];5340 N 38TH ST
38;52600051;09/17/2005;08:20 AM;7.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.107732838190316, -87.93526864311245];4957 N 19TH PL
39;52600156;09/17/2005;06:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09394249125742, -87.93926490463977];4192 N 22ND ST
40;52600166;09/17/2005;06:08 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12746425460553, -87.95207963831338];6041 N TEUTONIA AV
41;52590025;09/16/2005;06:14 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10686090615462, -87.96157108005377];4945 N 39TH ST
42;52590052;09/16/2005;09:47 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11218051716709, -87.94226120566677];2400 W VILLARD AV
43;52590056;09/16/2005;10:35 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09072960753659, -87.93945024871579];4055 N TEUTONIA AV
44;52590134;09/16/2005;04:21 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09412430391254, -87.94929285356932];4260 N 29TH ST
45;52590187;09/16/2005;08:52 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14666184096028, -87.95633591023702];7105 N TEUTONIA AV
46;52580030;09/15/2005;01:16 AM;7.0;AGGRAVATED ASSAULT;THEFT FROM MOTOR VEHICLE;;;;[43.09367386372554, -87.94691163589908];4231 N 27TH ST #APT9
47;52580072;09/15/2005;10:04 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.124921413266776, -87.95852536078269];5902 N 37TH ST
48;52580132;09/15/2005;02:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14658557271889, -87.95583593445181];7100 N TEUTONIA AV
49;52570067;09/14/2005;10:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094358115182644, -87.934289592042];4209 N 19TH ST
50;52570095;09/14/2005;01:57 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11703858673323, -87.95757763200395];5467 N 36TH ST
51;52570102;09/14/2005;02:28 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.123445245628716, -87.95733286078269];5820 N 36TH ST
52;52570136;09/14/2005;04:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14839952452562, -87.95826];3707 W GOOD HOPE RD #16
54;52560048;09/13/2005;06:17 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12359900000001, -87.95496966475253];5835 N 34TH ST
55;52560052;09/13/2005;07:53 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0916942828207, -87.93070856650678];4111 N 16TH ST
56;52560132;09/13/2005;02:33 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
57;52560225;09/13/2005;09:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10978119986706, -87.94928963962226];5100 N TEUTONIA AV
58;52550115;09/12/2005;11:00 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09340413627447, -87.93550591185313];4172 N 19TH PL
59;52550133;09/12/2005;12:30 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11447224562872, -87.9599563607827];5330 N 38TH ST
60;52540025;09/11/2005;03:02 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11186647013694, -87.95690141909516];3515 W VILLARD AV
61;52530087;09/10/2005;11:32 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.13457380486482, -87.96586540074465];6400 N 43RD ST
62;52530131;09/10/2005;03:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12978188481736, -87.95597641459443];6162 N 35TH ST
63;52520106;09/09/2005;01:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10978119986706, -87.94928963962226];5100 N TEUTONIA AV
64;52520116;09/09/2005;01:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10056900582839, -87.94916862479059];4573 N 29TH ST
65;52520157;09/09/2005;04:58 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10642250678068, -87.9709905];4623 W STARK ST
66;52520179;09/09/2005;07:13 PM;4.0;THEFT FROM BUILDING;;;;;[43.15192764778699, -87.95788484142162];7373 N TEUTONIA AV #4
67;52500148;09/07/2005;04:28 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09585163336027, -87.92926343738836];4340 N 15TH ST
68;52490138;09/06/2005;02:43 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.146261199001685, -87.96118909925535];7063 N 40TH ST
69;52490157;09/06/2005;04:01 PM;4.0;THEFT FROM BUILDING;;;;;[43.11194347489748, -87.960321];3802 W VILLARD AV #7
70;52480035;09/05/2005;08:05 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094601031363624, -87.92693910257358];4243 N 13TH ST
