;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;63340017;11/30/2006;01:51 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.126864722170964, -87.95195682754316];6001 N TEUTONIA AV
1;63340062;11/30/2006;10:15 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.118280838190316, -87.95143816085739];5545 N 31ST ST
2;63340155;11/30/2006;07:18 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10559293421436, -87.96043546214418];4843 N HOPKINS ST
3;63340177;11/30/2006;09:18 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10945932944776, -87.96632634967419];5054 N SHERMAN BL
4;63330048;11/29/2006;09:33 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.1161919686364, -87.96231338631792];5424 N 40TH ST #A
5;63330169;11/29/2006;04:37 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.092917329447744, -87.93189436078269];4162 N 17TH ST
6;63330175;11/29/2006;03:47 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11818113627447, -87.96226388631791];5534 N 40TH ST
7;63320180;11/28/2006;04:34 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.11177572536073, -87.95329076269843];3209 W VILLARD AV
8;63320217;11/28/2006;06:36 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.092828785734895, -87.93821952264969];4157 N 21ST ST
9;63310014;11/27/2006;01:59 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.117494756881456, -87.93824942365413];2136 W NEIL PL
10;63310021;11/27/2006;06:13 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.08992829314669, -87.94587585828707];2606 W CAPITOL DR
11;63310034;11/27/2006;06:41 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12037355314792, -87.9508396078537];5665 N TEUTONIA AV
12;63310043;11/27/2006;06:59 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.12340902553524, -87.95496966475253];5821 N 34TH ST
13;63310151;11/27/2006;02:57 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10480426555719, -87.9778547655572];5200 W HAMPTON AV
14;63310224;11/27/2006;07:06 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11939352596791, -87.964893];4202 W SILVER SPRING DR
15;63310230;11/27/2006;09:02 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV #4
16;63310249;11/27/2006;06:52 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.10996282653355, -87.94028393738836];5076 N 23RD ST
17;63300081;11/26/2006;08:04 AM;7.0;MOTOR VEHICLE THEFT;;;;[43.1004769103526, -87.95171588631791];4566 N 31ST ST
18;63300115;11/26/2006;10:49 AM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;[43.120961453257394, -87.95210047446477];3118 W THURSTON AV
19;63300172;11/26/2006;04:14 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.114744927773955, -87.94843499288578];2917 W CUSTER AV
20;63300237;11/26/2006;11:35 PM;4.0;MOTOR VEHICLE THEFT;;;;[43.11621903136361, -87.96239165753917];5427 N 40TH ST
21;63290069;11/25/2006;08:36 AM;4.0;MOTOR VEHICLE THEFT;;;;[43.11939250822297, -87.9656815771826];4240 W SILVER SPRING DR
22;63290134;11/25/2006;04:15 PM;7.0;MOTOR VEHICLE THEFT;;;;[43.09117052426583, -87.93825811076789];2061 W ATKINSON AV
