Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
062430042;08/31/2006;07:01 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4305 N 21ST ST
062430051;08/31/2006;08:13 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;2709 W VILLARD AV
062430066;08/31/2006;10:27 AM;7.0;ALL OTHER LARCENY;;;;4126 N TEUTONIA AV
062430072;08/31/2006;10:52 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4030 N 29TH ST
062430083;08/31/2006;11:58 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;3300 W FLORIST AV
062430094;08/31/2006;12:51 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;5100 W HAMPTON AV
062430121;08/31/2006;03:21 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5219 W STARK ST
062430133;08/31/2006;04:21 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4320 N 19TH PL
062430138;08/31/2006;04:47 PM;7.0;ALL OTHER LARCENY;;;;5002 N 24TH PL
062430145;08/31/2006;05:32 PM;4.0;ALL OTHER LARCENY;;;;6069 N TEUTONIA AV
062430149;08/31/2006;05:46 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5070 N 35TH ST
062430159;08/31/2006;06:12 PM;4.0;ALL OTHER LARCENY;;;;5225 N 29TH ST
062430216;08/31/2006;11:31 PM;7.0;AGGRAVATED ASSAULT;;;;5100 N 39TH ST
062440002;08/31/2006;11:38 PM;7.0;SIMPLE ASSAULT;;;;5142 N 22ND ST
062420007;08/30/2006;12:11 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2643 W ATKINSON AV
062420014;08/30/2006;12:48 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;3101 W GLENDALE AV
062420030;08/30/2006;04:18 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5342 N 39TH ST
