Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
060590082;02/28/2006;12:52 PM;7.0;ALL OTHER LARCENY;;;4701 N 29TH ST
060590085;02/28/2006;11:57 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;4241 N 14TH ST
060590145;02/28/2006;07:16 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;3030 W VILLARD AV
060580008;02/27/2006;01:36 AM;4.0;SIMPLE ASSAULT;;;2400 W VILLARD AV
060580043;02/27/2006;10:59 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;7017 N TEUTONIA AV
060580102;02/27/2006;12:59 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6945 N 41ST ST
060580123;02/27/2006;05:22 PM;7.0;THEFT FROM MOTOR VEHICLE;;;4808 N HOPKINS ST
060580125;02/27/2006;05:26 PM;4.0;ALL OTHER LARCENY;;;5370 N 36TH ST
060580127;02/27/2006;04:53 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4964 N 27TH ST
060580147;02/27/2006;06:32 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4134 W VILLARD AV
060580149;02/27/2006;06:40 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4548 N TEUTONIA AV
060580155;02/27/2006;05:46 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;5261 N 29TH ST #4
060580171;02/27/2006;08:57 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4875 N GREEN BAY AV
060580185;02/27/2006;09:45 PM;7.0;MOTOR VEHICLE THEFT;;;4422 W HAMPTON AV #205
060580186;02/27/2006;09:04 PM;7.0;MOTOR VEHICLE THEFT;;;4941 N 18TH ST
060580193;02/27/2006;10:12 PM;7.0;SIMPLE ASSAULT;;;2601 W HAMPTON AV
060640099;02/27/2006;08:43 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3800 W VILLARD AV
060570034;02/26/2006;09:45 AM;7.0;MOTOR VEHICLE THEFT;;;1825 W HAMPTON AV
060570038;02/26/2006;09:17 AM;4.0;MOTOR VEHICLE THEFT;;;3706 W SHERIDAN AV
060570043;02/26/2006;09:28 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;6409 N 47TH ST
060570046;02/26/2006;12:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4872 N 41ST ST
060570057;02/26/2006;01:02 PM;4.0;SIMPLE ASSAULT;ALL OTHER LARCENY;;3504 W GREEN TREE RD #1
060570060;02/26/2006;01:10 PM;7.0;SIMPLE ASSAULT;;;4269 N 27TH ST #1
060570081;02/26/2006;03:49 PM;7.0;SIMPLE ASSAULT;;;4127 N 26TH ST #6
060570131;02/26/2006;08:36 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4108 W MILL RD
060560024;02/25/2006;02:30 AM;7.0;THEFT FROM MOTOR VEHICLE;;;5185 N 35TH ST
060560030;02/25/2006;02:36 AM;4.0;SIMPLE ASSAULT;;;7004 N 43RD ST
060560045;02/25/2006;06:03 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;5165 N SHERMAN BL
060560055;02/25/2006;08:15 AM;7.0;THEFT FROM MOTOR VEHICLE;;;4245 N 17TH ST
060560058;02/25/2006;09:07 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4173 N GREEN BAY AV
060560059;02/25/2006;07:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;2801 W CUSTER AV #303
060560064;02/25/2006;07:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;2801 W CUSTER AVE #319
060560099;02/25/2006;10:55 AM;5.0;MOTOR VEHICLE THEFT;;;4430 N GREEN BAY AV
060560116;02/25/2006;01:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;1900 W CAPITOL DR
060560133;02/25/2006;03:03 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4064 N 17TH ST
060560150;02/25/2006;04:46 PM;7.0;ALL OTHER LARCENY;;;3515 W VILLARD AV
060560171;02/25/2006;05:39 PM;7.0;AGGRAVATED ASSAULT;;;2106 W COLFAX PL
060560174;02/25/2006;04:52 PM;7.0;AGGRAVATED ASSAULT;;;2400 W ATKINSON AV
060560179;02/25/2006;07:12 PM;7.0;SIMPLE ASSAULT;;;4965 N HOPKINS ST #4
060560201;02/25/2006;08:32 PM;4.0;MOTOR VEHICLE THEFT;;;5460 N 40TH ST
060550008;02/24/2006;12:09 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;5516 N 31ST ST #1
060550038;02/24/2006;06:40 AM;4.0;ARSON;;;7446 N 42ND ST
