Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
061810053;06/30/2006;07:10 AM;4.0;MOTOR VEHICLE THEFT;;;;5230 N SHERMAN BL
061810054;06/30/2006;07:10 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5230 N SHERMAN BL
061810075;06/30/2006;09:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4646 N 29TH ST
061810078;06/30/2006;10:00 AM;7.0;MOTOR VEHICLE THEFT;;;;4955 N 47TH ST
061810081;06/30/2006;08:42 AM;4.0;MOTOR VEHICLE THEFT;;;;5257 N 33RD ST
061810154;06/30/2006;04:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4837 N 36TH ST
061810156;06/30/2006;04:11 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;5300 N 33RD ST
061810160;06/30/2006;05:17 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;1928 W CAPITOL DR
061810167;06/30/2006;04:33 PM;7.0;ALL OTHER LARCENY;;;;5016 N HOPKINS ST
061810206;06/30/2006;06:58 PM;7.0;AGGRAVATED ASSAULT;;;;4244 N TEUTONIA AV
061820005;06/30/2006;11:45 PM;5.0;SIMPLE ASSAULT;;;;4320 N 15TH ST
061800031;06/29/2006;02:28 AM;7.0;ROBBERY;;;;5101 N 37TH ST
061800083;06/29/2006;09:07 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;3328 W VILLARD AV
061800090;06/29/2006;12:02 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;6827 N DARIEN ST #1
061800111;06/29/2006;01:06 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;4112 N 13TH ST
061800118;06/29/2006;02:02 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5446 N 41ST ST
