;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;63340054;11/30/2006;09:06 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.08975009313788, -87.93772791645347];2012 W CAPITOL DR
1;63330017;11/29/2006;01:16 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11939246768411, -87.965163];4210 W SILVER SPRING DR
2;63330024;11/29/2006;07:08 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.13120454674262, -87.9591825];3723 W DOUGLAS AV
3;63330027;11/29/2006;07:44 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.12942602180525, -87.96380693164808];4116 W KAUL AV
4;63330071;11/29/2006;11:23 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11437436663974, -87.94639961036386];5329 N 27TH ST
5;63330092;11/29/2006;12:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.1026281931733, -87.95042966143431];4701 N 30TH ST
6;63330109;11/29/2006;02:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09316103136362, -87.94566762479059];4215 N 26TH ST
7;63330131;11/29/2006;03:35 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13073998263036, -87.96250655657684];6181 N 40TH ST
8;63320052;11/28/2006;09:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.095512158203, -87.9392527981997];4304 N 22ND ST
9;63320054;11/28/2006;09:44 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09593162468448, -87.93927967049349];4306 N 22ND ST
10;63320073;11/28/2006;10:22 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
11;63320075;11/28/2006;11:33 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.095033670552255, -87.93814009925535];4237 N 21ST ST
12;63320077;11/28/2006;11:31 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.104366546742625, -87.94119166763807];2321 W HAMPTON AV
13;63290020;11/27/2006;07:10 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13097911961657, -87.95231449836213];6280 N TEUTONIA AV
14;63310023;11/27/2006;05:56 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;THEFT FROM MOTOR VEHICLE;;;[43.12187924562872, -87.95251238631792];5740 N 32ND ST
15;63310036;11/27/2006;07:54 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.0967864787926, -87.92942341326678];1500 W CONGRESS ST
16;63310167;11/27/2006;04:24 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10716558673323, -87.96505812479059];4933 N 42ND ST
17;63300030;11/26/2006;01:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
18;63300031;11/26/2006;01:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
19;63300032;11/26/2006;01:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
20;63300034;11/26/2006;01:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
21;63300035;11/26/2006;01:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
22;63300036;11/26/2006;01:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13204572687416, -87.95262637916093];6263 N TEUTONIA AV
23;63300056;11/26/2006;07:29 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.127651095475784, -87.95736005539827];6043 N 36TH ST
24;63300062;11/26/2006;08:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09037128282071, -87.93322159925536];4033 N 18TH ST
25;63300087;11/26/2006;09:58 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10457026525909, -87.9495870397626];2936 W HAMPTON AV
26;63300123;11/26/2006;12:32 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.12139494620857, -87.9634889423422];4101 W THURSTON AV
27;63290051;11/25/2006;08:37 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.105768994171626, -87.95897438631792];4852 N 37TH ST
28;63290058;11/25/2006;09:09 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.107938968636404, -87.95769638631792];4970 N 36TH ST
29;63290168;11/25/2006;07:14 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.11024271717929, -87.93645586799605];5104 N 20TH ST
30;63280082;11/24/2006;11:40 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.095512158203, -87.9392527981997];4304 N 22ND ST
31;63280135;11/24/2006;04:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10419516763807, -87.95041811036386];4777 N 30TH ST
32;63280189;11/24/2006;08:54 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.10638826757515, -87.94707452515152];2750 W STARK ST
33;63280201;11/24/2006;09:08 PM;7.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.10632657507645, -87.93920393738836];4888 N 22ND ST
34;63270038;11/23/2006;03:54 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09041628282071, -87.93203809925535];4037 N 17TH ST
35;63270050;11/23/2006;05:48 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09430419900167, -87.93062959925535];4219 N 16TH ST
36;63260045;11/22/2006;08:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
37;63260071;11/22/2006;11:23 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09382621426511, -87.93810241185312];4188 N 21ST ST
