;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;72120099;07/31/2007;08:44 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.106650543164605, -87.94769094252425];4910 N TEUTONIA AV
1;72120100;07/31/2007;10:15 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.114834005828385, -87.95638115032581];5349 N 35TH ST
2;72110097;07/30/2007;10:33 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.095109674418744, -87.94317782347514];2433 W ROOSEVELT DR
3;72110129;07/30/2007;12:26 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09330365889551, -87.92935441185313];4182 N 15TH ST
4;72110254;07/30/2007;08:05 PM;4.0;THEFT FROM BUILDING;;;;;[43.12034211073925, -87.95860283524746];5650 N 37TH ST
5;72100054;07/29/2007;07:45 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;THEFT FROM MOTOR VEHICLE;;;;[43.09369254674263, -87.92601367055225];1217 W OLIVE ST #LOWER
6;72100110;07/29/2007;01:18 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14170504336141, -87.95947615293942];6840 N 39TH ST
7;72090079;07/28/2007;09:52 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09121953401801, -87.93820641476732];2040 W ATKINSON AV
8;72090100;07/28/2007;11:50 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09164992200934, -87.92579863200395];4115 N 12TH ST
9;72090110;07/28/2007;12:26 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.147030840960284, -87.95644743577225];7123 N TEUTONIA AV
10;72090129;07/28/2007;02:03 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.104390480091624, -87.94336066763806];2475 W HAMPTON AV
11;72090224;07/28/2007;11:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14839952452562, -87.95826];3707 W GOOD HOPE RD
12;72080059;07/27/2007;09:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11105350291419, -87.976351092042];5139 N 51ST BL
13;72080142;07/27/2007;05:58 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.092620381903174, -87.92814293738836];4154 N 14TH ST
14;72060154;07/25/2007;04:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09687892200935, -87.94683063589909];4375 N 27TH ST
15;72050141;07/24/2007;03:18 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10032284877921, -87.93809576741303];2040 W CORNELL ST
16;72040246;07/23/2007;09:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08978762106314, -87.93883689398197];4000 N TEUTONIA AV
17;72030021;07/22/2007;02:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1124642669383, -87.95156458113215];5239 N 31ST ST
18;72030022;07/22/2007;02:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11189209356113, -87.9514649133917];5200 N 31ST ST
19;72030119;07/22/2007;01:07 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09130839246342, -87.93969231678138];4074 N TEUTONIA AV
20;72020025;07/21/2007;02:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11210739853762, -87.95769550190094];5209 N 36TH ST
