;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;80310022;01/31/2008;05:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.116002413266784, -87.95751286078269];5418 N 36TH ST
1;80310065;01/31/2008;10:55 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10662558673323, -87.95903113200394];4905 N 37TH ST
2;80300074;01/30/2008;05:28 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09652736663975, -87.92931912479058];4375 N 15TH ST
3;80290163;01/29/2008;05:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
4;80280080;01/28/2008;12:44 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09533888481735, -87.93418488242277];4304 N 19TH ST
5;80280094;01/28/2008;03:12 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.097311089647405, -87.94810857372015];4401 N 28TH ST
6;80280166;01/28/2008;05:37 PM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.11783983819032, -87.96235115753917];5517 N 40TH ST
7;80280175;01/28/2008;08:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.103771161809675, -87.93408285356932];4756 N 19TH ST
8;80280179;01/28/2008;08:59 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.120647303912534, -87.95981333524746];5662 N 38TH ST
9;80270019;01/27/2008;05:30 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11621903136361, -87.96239165753917];5427 N 40TH ST
10;80270032;01/27/2008;08:43 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09663597446479, -87.93663234246083];4362 N 20TH ST
11;80270043;01/27/2008;09:52 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.110157514859424, -87.94118208090484];2328 W LANCASTER AV
12;80270056;01/27/2008;09:16 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11801886372555, -87.95143963200395];5529 N 31ST ST
13;80270058;01/27/2008;11:21 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12754535510155, -87.96729824915889];6050 N HOPKINS ST
14;80260041;01/26/2008;04:15 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12015056417316, -87.961009288963];5640 N 39TH ST
15;80260042;01/26/2008;06:39 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12615503136362, -87.95976162479059];5967 N 38TH ST
16;80250152;01/25/2008;07:50 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.113215043020375, -87.95003359391792];5262 N TEUTONIA AV
