;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;82130045;07/31/2008;05:59 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092256227650275, -87.93688055977576];4128 N 20TH ST
1;82130210;07/31/2008;08:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1073883997817, -87.9529191066472];3200 W CAMERON AV
2;82130221;07/31/2008;11:10 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11027941909515, -87.96019115753917];5119 N 38TH ST
3;82120158;07/30/2008;04:15 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11685724562872, -87.95869538631791];5460 N 37TH ST
4;82120190;07/30/2008;05:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09982882653355, -87.94668594460173];4536 N 27TH ST
5;82100019;07/28/2008;12:10 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;MOTOR VEHICLE THEFT;;;;[43.09407791035258, -87.93055493738835];4208 N 16TH ST
6;82090119;07/27/2008;10:07 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14206680099832, -87.96438639353127];6830 N 42ND ST
7;82080029;07/26/2008;02:25 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11282903743778, -87.9563348139964];5250 N 35TH ST
8;82080040;07/26/2008;06:35 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090658779906505, -87.94350762479058];4039 N 24TH PL
9;82080067;07/26/2008;10:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1063375115412, -87.94726297446478];2718 W STARK ST
10;82070049;07/25/2008;03:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09059482653356, -87.92451487910455];4050 N 11TH ST
11;82070071;07/25/2008;08:28 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
12;82070142;07/25/2008;04:29 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.102402910352595, -87.93657637189119];4666 N 20TH ST
13;82050054;07/23/2008;06:49 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12824238486719, -87.96408931598506];4135 W MONROVIA WA
14;82050207;07/23/2008;09:40 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11282903743778, -87.9563348139964];5250 N 35TH ST
15;82030199;07/21/2008;08:41 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.121258696087494, -87.95988163200396];5693 N 38TH ST
16;82000075;07/18/2008;08:36 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090567407438414, -87.93432241185313];4044 N 19TH ST
17;81980155;07/16/2008;06:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090676245628714, -87.94461540463978];4036 N 25TH ST #LWR
18;81980170;07/16/2008;08:15 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10377183236193, -87.95034234967419];4758 N 30TH ST
19;81970024;07/15/2008;04:14 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11907951399405, -87.95589227699232];3425 W SILVER SPRING DR
20;81960073;07/14/2008;07:25 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.117288994171616, -87.9622839190665];5476 N 40TH ST
21;81960097;07/14/2008;10:06 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10918916051844, -87.93876181796972];2124 W COLFAX PL
22;81950007;07/12/2008;11:51 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104705265431065, -87.96393176543107];4100 W HAMPTON AV
23;81950020;07/12/2008;11:31 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09660780099833, -87.93048235688754];4380 N 16TH ST
24;81930110;07/11/2008;04:12 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09985741909517, -87.93825110646873];4547 N 21ST ST
25;81930187;07/11/2008;11:20 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111934474897474, -87.95823299999999];3620 W VILLARD AV
26;81910082;07/09/2008;10:59 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12017905245543, -87.95861438631792];5640 N 37TH ST
27;81910193;07/09/2008;08:54 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12814419900167, -87.95852059925535];6067 N 37TH ST
28;81900004;07/08/2008;12:32 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09529483050152, -87.94346594984647];4300 N 24TH PL
29;81900009;07/08/2008;12:07 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09689853621105, -87.93586391909515];1953 W CONGRESS ST
30;81890060;07/07/2008;07:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10903144179567, -87.9386973093053];2109 W COLFAX PL
31;81880123;07/06/2008;03:27 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.123958077990665, -87.95973586078269];5846 N 38TH ST
32;81870069;07/05/2008;09:39 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11923446826101, -87.9538635];3232 W SILVER SPRING DR
33;81860020;07/04/2008;01:33 AM;7.0;KIDNAPING;MOTOR VEHICLE THEFT;;;;[43.10471887774282, -87.96509892358927];4200 W HAMPTON AV
34;81850050;07/03/2008;09:51 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12779400582838, -87.96096762479058];6049 N 39TH ST
35;81840127;07/02/2008;03:54 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092584214265116, -87.93815297013695];4146 N 21ST ST #A
36;82130063;07/31/2008;08:50 AM;7.0;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;;;;[43.07312785901483, -87.9973938455856];2991 N 68TH ST
37;82130209;07/31/2008;10:32 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06770902273661, -87.98677482197458];5929 W LISBON AV
38;82120114;07/30/2008;01:25 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.070109204097314, -87.98678824238247];5927 W APPLETON AV
39;82120157;07/30/2008;02:55 PM;3.0;BURGLARY/BREAKING AND ENTERING;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;;;[43.058430000000016, -87.9819028607827];2158 N 55TH ST
40;82110047;07/29/2008;07:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.085915413266775, -87.98825588631792];3766 N 61ST ST
41;82080044;07/26/2008;07:29 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08327100582838, -87.98721755539827];3525 N 60TH ST
42;82080072;07/26/2008;09:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08673273743442, -88.00166547824435];7177 W APPLETON AV
