;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;81520126;05/31/2008;11:05 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12746799417161, -87.96090488631792];6032 N 39TH ST
1;81500106;05/29/2008;12:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094267884817356, -87.93548341185313];4200 N 19TH PL
2;81520059;05/29/2008;07:12 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08975324045734, -87.92283348548449];4000 N GREEN BAY AV
3;81490122;05/28/2008;04:10 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10368255536963, -87.9353123280341];4752 N 19TH PL
4;81480046;05/27/2008;08:54 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09320563336027, -87.92935343738836];4176 N 15TH ST
5;81530031;05/26/2008;09:28 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.1005621820848, -87.94451763840677];4580 N TEUTONIA AV
6;81460028;05/25/2008;01:07 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09061352037067, -87.93744060355453];2027 W ATKINSON AV
7;81460178;05/25/2008;09:43 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.096589161809675, -87.94804291185314];4360 N 28TH ST
8;81450067;05/24/2008;10:08 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.142106929129795, -87.95637241745793];6839 N DARIEN ST
9;81450157;05/24/2008;02:53 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1206830313636, -87.956231592042];5667 N 35TH ST
10;81460005;05/24/2008;10:51 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11653341326678, -87.9575038607827];5442 N 36TH ST
11;81460007;05/24/2008;09:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09442119900169, -87.93061962479058];4225 N 16TH ST
12;81440077;05/23/2008;12:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.1083788182803, -87.93988137252778];2206 W FAIRMOUNT AV
13;81440087;05/23/2008;11:48 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.108354717644424, -87.93858814197745];2116 W FAIRMOUNT AV
14;81440121;05/23/2008;01:56 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090407754371284, -87.92952162479058];4039 N 15TH ST
15;81430034;05/22/2008;07:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12658429331842, -87.95512524325842];3414 W FLORIST AV
