Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
081820011;06/30/2008;12:21 AM;5.0;SIMPLE ASSAULT;;;;;4039 N 14TH ST
081820036;06/30/2008;03:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;7233 N 38TH ST
081820049;06/30/2008;06:47 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5525 N 36TH ST
081820053;06/30/2008;07:50 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1812 W CAPITOL DR
081820119;06/30/2008;01:36 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2719 W CARMEN AV
081820137;06/30/2008;02:06 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5168 N 28TH ST
081820147;06/30/2008;03:55 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4203 W FLORIST AV
081820153;06/30/2008;02:52 PM;7.0;AGGRAVATED ASSAULT;;;;;5016 N HOPKINS ST
081820187;06/30/2008;01:20 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5052 N 49TH ST
081820189;06/30/2008;06:37 PM;4.0;ALL OTHER LARCENY;;;;;5638 N 35TH ST
081820192;06/30/2008;04:37 PM;5.0;ALL OTHER LARCENY;;;;;2065 W ATKINSON AV #3
081820207;06/30/2008;08:10 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2600 W ATKINSON AV
081820241;06/30/2008;10:48 PM;7.0;ALL OTHER LARCENY;;;;;4800 W HAMPTON AV
081830119;06/30/2008;10:00 AM;5.0;AGGRAVATED ASSAULT;;;;;4138 N 25TH ST
081810033;06/29/2008;03:38 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4930 N 37TH ST
081810038;06/29/2008;12:59 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4915 N 19TH PL
081810052;06/29/2008;02:01 AM;4.0;AGGRAVATED ASSAULT;;;;;5451 N 35TH ST
081810062;06/29/2008;09:12 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4514 N 29TH ST
081810093;06/29/2008;12:53 PM;5.0;SIMPLE ASSAULT;;;;;4328 N 26TH ST
081810147;06/29/2008;03:58 PM;4.0;ALL OTHER LARCENY;;;;;5301 N TEUTONIA AV #315
081810164;06/29/2008;07:27 PM;5.0;SIMPLE ASSAULT;;;;;1526 W CONGRESS ST
081810165;06/29/2008;08:17 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4197 N 16TH ST
081820004;06/29/2008;10:24 PM;5.0;ROBBERY;;;;;1800 W OLIVE ST
081820006;06/29/2008;10:52 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4905 N 47TH ST
081820010;06/29/2008;10:06 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6073 N 39TH ST
081790164;06/28/2008;12:05 AM;4.0;ALL OTHER LARCENY;;;;;3111 W THURSTON AV
081800016;06/28/2008;12:24 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6064 N 38TH ST
081800027;06/28/2008;12:11 AM;4.0;MOTOR VEHICLE THEFT;;;;;5553 N 32ND ST
081800059;06/28/2008;08:35 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2400 W VILLARD AV
081800069;06/28/2008;09:03 AM;5.0;SIMPLE ASSAULT;;;;;4236 N 19TH ST
081800071;06/28/2008;07:40 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4911 W MILL RD
081800076;06/28/2008;10:19 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7433 N TEUTONIA AV
081800107;06/28/2008;01:59 PM;4.0;ALL OTHER LARCENY;;;;;6031 N 42ND ST
081800131;06/28/2008;04:28 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4900 N 25TH ST
081800157;06/28/2008;07:40 PM;7.0;ALL OTHER LARCENY;;;;;4260 N 29TH ST
081800186;06/28/2008;04:40 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5210 W HAMPTON AV
081810005;06/28/2008;01:56 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2313 W OLIVE ST
081810009;06/28/2008;01:30 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2319 W OLIVE ST
081810017;06/28/2008;07:16 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4112 N 21ST ST
081790008;06/27/2008;12:37 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4112 W HAMPTON AV
081790047;06/27/2008;06:50 AM;4.0;SIMPLE ASSAULT;;;;;5230 N SHERMAN BL #11
081790053;06/27/2008;06:43 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4131 N 20TH ST
081790054;06/27/2008;07:57 AM;4.0;MOTOR VEHICLE THEFT;;;;;7027 N TEUTONIA AV
081790070;06/27/2008;08:53 AM;4.0;AGGRAVATED ASSAULT;;;;;7009 N 43RD ST #5
