;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;83350104;11/30/2008;03:01 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09919710796927, -87.94919863200396];4505 N 29TH ST
1;83350148;11/30/2008;08:31 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.131062431563954, -87.96287533074656];4017 W DOUGLAS AV
2;83340136;11/29/2008;07:00 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09776054674262, -87.93566052844942];1973 W LAWRENCE AV
3;83330084;11/28/2008;02:37 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12305841326679, -87.95610533524747];5802 N 35TH ST
4;83320036;11/27/2008;08:29 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1525511618097, -87.96372638631792];7416 N 42ND ST
5;83320037;11/27/2008;08:40 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1525511618097, -87.96372638631792];7416 N 42ND ST
6;83320089;11/27/2008;05:22 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09117052426583, -87.93825811076789];2061 W ATKINSON AV
7;83320090;11/27/2008;06:34 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09117052426583, -87.93825811076789];2061 W ATKINSON AV
8;83310121;11/26/2008;04:59 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.092269863725534, -87.934339092042];4131 N 19TH ST
9;83300003;11/25/2008;12:14 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09304630746491, -87.94683059583795];4208 N 27TH ST
10;83290063;11/24/2008;11:57 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09571753427781, -87.92812759925536];4335 N 14TH ST
11;83290121;11/24/2008;04:33 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10906371717931, -87.93649587131426];5038 N 20TH ST
12;83290140;11/24/2008;06:13 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08978762106314, -87.93883689398197];4000 N TEUTONIA AV
13;83290161;11/24/2008;11:13 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099486826533564, -87.9466959190665];4520 N 27TH ST #3
14;83280106;11/23/2008;05:03 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.091846800998326, -87.94188390463978];4112 N 24TH ST
15;83260023;11/21/2008;08:38 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09856843770549, -87.94892710087149];2826 W ATKINSON AV
16;83260061;11/21/2008;12:58 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11436075698016, -87.93387120310129];5353 N GREEN BAY AV
17;83260078;11/21/2008;03:39 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10946377240468, -87.9622557093021];5045 N HOPKINS ST
18;83250070;11/20/2008;01:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0903892200935, -87.94084388631792];4026 N 23RD ST
19;83250121;11/20/2008;07:29 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
20;83230103;11/18/2008;03:06 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.116973994171616, -87.96344234635598];5460 N 41ST ST
21;83230140;11/18/2008;05:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104222167638056, -87.95042016475253];4785 N 30TH ST
22;83220006;11/17/2008;12:08 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.12651558633518, -87.96514882706234];4237 W FLORIST AV
23;83220024;11/17/2008;06:24 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.121913443793666, -87.9511305717869];5743 N TEUTONIA AV
24;83210074;11/16/2008;11:09 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.15092546047075, -87.96109033236193];3926 W CLINTON AV
25;83210089;11/16/2008;12:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV
26;83200063;11/15/2008;01:40 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.093914117280896, -87.93102843534938];1630 W OLIVE ST
27;83200118;11/15/2008;03:24 PM;7.0;THEFT FROM BUILDING;;;;;[43.11092056774676, -87.96929791134518];4526 W EGGERT PL
28;83190059;11/14/2008;10:36 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11833497446477, -87.95502639353127];5542 N 34TH ST
29;83190104;11/14/2008;02:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10993783819032, -87.95284062479058];5107 N 32ND ST
30;83180041;11/13/2008;09:58 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15339448014892, -87.95837774649408];7463 N TEUTONIA AV
31;83180053;11/13/2008;10:04 AM;7.0;THEFT FROM BUILDING;;;;;[43.10343900000001, -87.94905638631792];4742 N 29TH ST
32;83180116;11/13/2008;05:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108309486005965, -87.96601333236194];4230 W FAIRMOUNT AV
33;83170089;11/12/2008;03:20 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09061453427779, -87.93568759925536];4043 N 19TH PL
34;83160104;11/11/2008;02:28 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1083905562457, -87.9409386541818];2300 W FAIRMOUNT AV
35;83160138;11/11/2008;06:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105094413266784, -87.9626633280341];4820 N 40TH ST
36;83150096;11/10/2008;10:58 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR
37;83150150;11/10/2008;03:23 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
38;83150198;11/10/2008;07:48 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.095618534277804, -87.92813757372015];4329 N 14TH ST
39;83140045;11/09/2008;08:33 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12864103665452, -87.96471433457444];6113 N 42ND ST
40;83140067;11/09/2008;11:53 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09633780099833, -87.93048391185313];4362 N 16TH ST
