Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
103650012;12/31/2010;12:52 AM;4.0;AGGRAVATED ASSAULT;;;;;5862 N 38TH ST
103650012;12/31/2010;12:52 AM;4.0;SIMPLE ASSAULT;;;;;5862 N 38TH ST
103650017;12/31/2010;02:43 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5240 N 27TH ST
103650025;12/31/2010;05:12 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5173 N 28TH ST
103650053;12/31/2010;09:39 AM;5.0;MOTOR VEHICLE THEFT;;;;;4140 N 15TH ST
103650060;12/31/2010;10:00 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4212 W HAMPTON AV
103650074;12/31/2010;11:32 AM;5.0;MOTOR VEHICLE THEFT;;;;;4320 N GREEN BAY AV
103650093;12/31/2010;12:48 PM;4.0;THEFT FROM BUILDING;;;;;6937 N 43RD ST
103650113;12/31/2010;04:32 PM;5.0;ALL OTHER LARCENY;;;;;2700 W CAPITOL DR
103650129;12/31/2010;05:41 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5301 N 27TH ST
103650154;12/31/2010;05:49 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5764 N 37TH ST
103650174;12/31/2010;10:57 PM;5.0;SIMPLE ASSAULT;ALL OTHER OFFENSES;;;;4126 N 13TH ST
110010003;12/31/2010;10:01 PM;4.0;AGGRAVATED ASSAULT;;;;;5712 N TEUTONIA AV
103640007;12/30/2010;03:18 AM;4.0;ROBBERY;;;;;4100 W VILLARD AV
103640010;12/30/2010;02:21 AM;7.0;SIMPLE ASSAULT;;;;;5104 N 47TH ST
103640018;12/30/2010;12:44 AM;5.0;ALL OTHER LARCENY;;;;;2330 W ROOSEVELT DR #221
103640039;12/30/2010;10:16 AM;4.0;MOTOR VEHICLE THEFT;;;;;7061 N TEUTONIA AV
103640053;12/30/2010;09:41 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;1931 W HAMPTON AV
103640058;12/30/2010;11:05 AM;7.0;ALL OTHER LARCENY;;;;;4910 N 48TH ST
103640066;12/30/2010;01:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;1736 W CONGRESS ST
103640083;12/30/2010;01:56 PM;7.0;SIMPLE ASSAULT;;;;;3700 W HAMPTON AV
103640099;12/30/2010;03:41 PM;5.0;MOTOR VEHICLE THEFT;;;;;4377 N TEUTONIA AV
103640120;12/30/2010;05:36 PM;7.0;SHOPLIFTING;;;;;3217 W VILLARD AV
103640121;12/30/2010;05:07 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4539 N TEUTONIA AV #2
103640154;12/30/2010;08:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3357 W HOPKINS ST
103640159;12/30/2010;09:31 PM;5.0;ALL OTHER LARCENY;;;;;2200 W CAPITOL DR
103640170;12/30/2010;10:10 PM;4.0;AGGRAVATED ASSAULT;;;;;5247-A N 34TH ST
103650003;12/30/2010;11:21 PM;7.0;ROBBERY;;;;;4836 N 40TH ST
103630009;12/29/2010;12:04 AM;5.0;MOTOR VEHICLE THEFT;;;;;4716 N 30TH ST #UPR
103630033;12/29/2010;05:56 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4173 N 15TH ST
103630091;12/29/2010;01:00 PM;5.0;SIMPLE ASSAULT;;;;;4446 N 28TH ST #205
103630111;12/29/2010;12:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;7005 N TEUTONIA AV
103630112;12/29/2010;12:37 PM;4.0;THEFT FROM BUILDING;;;;;7005 N TEUTONIA AV #1
103630119;12/29/2010;02:09 PM;5.0;THEFT FROM BUILDING;;;;;4238 N 30TH ST
103630133;12/29/2010;04:34 PM;4.0;SIMPLE ASSAULT;;;;;5230 N SHERMAN BL #27
103630147;12/29/2010;05:47 PM;5.0;MOTOR VEHICLE THEFT;;;;;4774 N 30TH ST
103630152;12/29/2010;05:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;4188 N 21ST ST
103630156;12/29/2010;04:38 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4857 N 19TH PL
103630163;12/29/2010;06:57 PM;5.0;AGGRAVATED ASSAULT;;;;;4360 N 28TH ST
103630166;12/29/2010;07:17 PM;5.0;SIMPLE ASSAULT;;;;;2041 W ATKINSON AV #206
103630182;12/29/2010;08:34 PM;4.0;AGGRAVATED ASSAULT;;;;;5628 N 41ST ST
103620012;12/28/2010;07:00 AM;5.0;AGGRAVATED ASSAULT;;;;;4418 N 27TH ST
103620017;12/28/2010;07:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;4706 N 30TH ST
103620022;12/28/2010;08:35 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4828 N 19TH PL
103620055;12/28/2010;10:42 AM;5.0;AGGRAVATED ASSAULT;;;;;4727 N 27TH ST
103620132;12/28/2010;03:56 PM;4.0;ROBBERY;;;;;3213 W SILVER SPRING DR
103620137;12/28/2010;06:23 PM;5.0;ROBBERY;;;;;4107 N 15TH ST
103610001;12/27/2010;12:08 AM;4.0;MOTOR VEHICLE THEFT;;;;;3731 W ROCHELLE AV
103610016;12/27/2010;02:38 AM;4.0;ROBBERY;;;;;6034 N SHERMAN BL
103610018;12/27/2010;04:25 AM;5.0;MOTOR VEHICLE THEFT;;;;;4187 N 16TH ST
103610023;12/27/2010;06:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;5224 N TEUTONIA AV
103610039;12/27/2010;09:28 AM;5.0;MOTOR VEHICLE THEFT;;;;;4080 N 24TH PL
103610067;12/27/2010;11:50 AM;4.0;THEFT FROM COIN-OPPERATED MACHINES;;;;;6010 N 35TH ST
103610079;12/27/2010;02:10 PM;5.0;MOTOR VEHICLE THEFT;;;;;4143 N 24TH PL
103610119;12/27/2010;05:09 PM;5.0;SIMPLE ASSAULT;;;;;4777 N 30TH ST
103610135;12/27/2010;02:59 PM;4.0;SIMPLE ASSAULT;;;;;4124 W KIEHNAU AV
103610144;12/27/2010;08:18 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;DISORDERLY CONDUCT;;;;2801 W CUSTER AV
103620001;12/27/2010;11:25 PM;5.0;SIMPLE ASSAULT;;;;;2024 W ATKINSON AV #4
103620008;12/27/2010;11:07 PM;7.0;BURGLARY/BREAKING AND ENTERING;TRESPASSING;;;;4974 N 21ST ST
103600014;12/26/2010;01:21 AM;4.0;AGGRAVATED ASSAULT;;;;;5230 N SHERMAN BL #27
103600036;12/26/2010;09:34 AM;5.0;SIMPLE ASSAULT;;;;;4124 N 12TH ST
103600073;12/26/2010;02:02 PM;4.0;SIMPLE ASSAULT;;;;;3900 W GREEN TREE RD
103600105;12/26/2010;04:54 PM;5.0;ROBBERY;;;;;2222 W CAPITOL DR
103600121;12/26/2010;08:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;6864 N DARIEN ST
103600137;12/26/2010;09:48 PM;4.0;SIMPLE ASSAULT;;;;;3530 W SILVER SPRING DR
103590031;12/25/2010;09:42 AM;4.0;SIMPLE ASSAULT;;;;;7061 N TEUTONIA AV #206
103590036;12/25/2010;10:15 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4350 N 21ST ST
103590047;12/25/2010;11:13 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7047 N 43RD ST #7
103590051;12/25/2010;10:03 AM;4.0;AGGRAVATED ASSAULT;;;;;3950 W VILLARD AV
103590058;12/25/2010;01:27 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4224 N 24TH PL
103580020;12/24/2010;02:00 AM;5.0;SIMPLE ASSAULT;;;;;2330 W ROOSEVELT DR #108
103580036;12/24/2010;04:55 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2232 W CAPITOL DR
103580037;12/24/2010;04:42 AM;5.0;SIMPLE ASSAULT;;;;;4765 N 32ND ST #310
103580044;12/24/2010;07:50 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4149 N 15TH ST
103580046;12/24/2010;08:09 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4850 N 19TH PL
103580075;12/24/2010;09:01 AM;5.0;ALL OTHER LARCENY;;;;;2330 W ROOSEVELT DR #308
103580120;12/24/2010;05:29 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4484 N 26TH ST
103580128;12/24/2010;07:03 PM;4.0;SIMPLE ASSAULT;;;;;5628 N 36TH ST
103580144;12/24/2010;05:58 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4947 N 27TH ST
103580150;12/24/2010;09:27 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7463 N TEUTONIA AV #APT7
103580154;12/24/2010;08:04 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5682 N 40TH ST
103580156;12/24/2010;09:32 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4919 N SHERMAN BL
103570029;12/23/2010;08:45 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2201 W HAMPTON AV
103570080;12/23/2010;11:24 AM;7.0;ALL OTHER LARCENY;;;;;4810 W HAMPTON AV
103570084;12/23/2010;01:22 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2924 W CAMERON AV
103570097;12/23/2010;01:36 PM;4.0;ALL OTHER LARCENY;;;;;3030 W VILLARD AV
103570101;12/23/2010;03:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;3414 W FLORIST AV
103570111;12/23/2010;03:23 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4225 W GOOD HOPE RD
103570128;12/23/2010;05:12 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4148 W GOOD HOPE RD
103570169;12/23/2010;09:45 PM;5.0;ARSON;;;;;4566 N 29TH ST
103580012;12/23/2010;10:40 PM;7.0;ROBBERY;;;;;4827 N 47TH ST
103560009;12/22/2010;02:53 AM;4.0;SIMPLE ASSAULT;;;;;5765 N 38TH ST
103560018;12/22/2010;03:00 AM;4.0;AGGRAVATED ASSAULT;;;;;5948 N SHERMAN BL
103560027;12/22/2010;08:39 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4141 N 16TH ST
103560034;12/22/2010;09:01 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4576 N 28TH ST
103560044;12/22/2010;10:31 AM;4.0;SHOPLIFTING;;;;;3432 W SILVER SPRING DR
103560059;12/22/2010;12:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4940 N 44TH ST
103560089;12/22/2010;03:49 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;1712 W CAPITOL DR
103560106;12/22/2010;05:24 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5109 N 32ND ST
103560108;12/22/2010;05:19 PM;4.0;ROBBERY;;;;;3807 W FLORIST AV
103560114;12/22/2010;04:53 PM;5.0;ALL OTHER LARCENY;;;;;2222 W CAPITOL DR
103560125;12/22/2010;06:41 PM;7.0;AGGRAVATED ASSAULT;;;;;5011 N 37TH ST #UPR
103560137;12/22/2010;05:34 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4900 N 20TH ST
103550020;12/21/2010;06:28 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4473 N 30TH ST
103550059;12/21/2010;11:39 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5435 N 40TH ST #LWR
103550086;12/21/2010;03:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5130 N 31ST ST
103550091;12/21/2010;03:39 PM;4.0;MOTOR VEHICLE THEFT;;;;;2700 W VILLARD AV
103550095;12/21/2010;04:09 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4588 N 23RD ST
103550096;12/21/2010;03:24 PM;4.0;SIMPLE ASSAULT;;;;;5336 N 39TH ST
103550108;12/21/2010;04:34 PM;4.0;SHOPLIFTING;;;;;3824 W FLORIST AV
103550138;12/21/2010;07:26 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5301 N TEUTONIA AV
103540048;12/20/2010;08:52 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4686 N 19TH PL
103540063;12/20/2010;12:07 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4368 N 17TH ST
103540119;12/20/2010;03:26 PM;4.0;AGGRAVATED ASSAULT;;;;;5570 N 40TH ST
