;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;113640008;12/30/2011;01:17 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.141271374868026, -87.95637578004956];6801 N DARIEN ST
1;113640074;12/30/2011;12:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10837978513449, -87.95655479949099];5005 N 35TH ST
2;113630077;12/29/2011;02:58 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14750610521225, -87.96431034646214];7141 N 42ND ST
3;113620029;12/28/2011;08:34 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09635683819033, -87.9481286281088];4357 N 28TH ST
4;113620047;12/28/2011;11:38 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091172754371286, -87.92950009925535];4077 N 15TH ST
5;113620048;12/28/2011;11:44 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
6;113620054;12/28/2011;12:28 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12895717620306, -87.95224264186731];6151 N TEUTONIA AV
7;113610064;12/27/2011;12:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;MOTOR VEHICLE THEFT;;;;[43.10551883819031, -87.96156013200395];4841 N 39TH ST
8;113610080;12/27/2011;01:56 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09066917346644, -87.9245891281088];4061 N 11TH ST
9;113610119;12/27/2011;03:58 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091353577784496, -87.93833695412208];4101 N 21ST ST
10;113600038;12/26/2011;08:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09606613598601, -87.94234373330812];4321 N TEUTONIA AV
11;113600141;12/26/2011;04:50 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111926511541185, -87.95688258090483];3510 W VILLARD AV
12;113600175;12/26/2011;09:43 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11087251543635, -87.96714308381902];4320 W EGGERT PL #5
13;113570154;12/24/2011;01:06 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1057085925616, -87.96509953707641];4847 N 42ND ST
14;113580042;12/24/2011;10:22 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
15;113570140;12/23/2011;09:54 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12593832944776, -87.96328538631792];5952 N 41ST ST
16;113550014;12/21/2011;03:53 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.144881539529244, -87.96232286081135];4035 W KILEY AV
17;113550034;12/21/2011;08:56 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10812748845882, -87.9495612799065];2915 W FAIRMOUNT AV
18;113550065;12/21/2011;01:07 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11429209908247, -87.95019943219422];5329 N TEUTONIA AV
19;113540011;12/20/2011;12:53 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12271453952925, -87.94881369317329];2901 W CARMEN AV
20;113540075;12/20/2011;02:18 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10711941326679, -87.93799335356933];4924 N 21ST ST
21;113540106;12/20/2011;04:09 PM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.141212468406195, -87.95940105107044];3825 W GREEN TREE RD
22;113540110;12/20/2011;04:11 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127542204830064, -87.95736005539827];6039 N 36TH ST
23;113540123;12/20/2011;06:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12244686372554, -87.95743159925536];5747 N 36TH ST
24;113530053;12/19/2011;08:33 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09405503237201, -87.9318443214413];4210 N 17TH ST
25;113530070;12/19/2011;11:53 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11685724562872, -87.95869538631791];5460 N 37TH ST
26;113530148;12/19/2011;06:17 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14661256564141, -87.95735700066382];7100 N 37TH ST
27;113530180;12/19/2011;08:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.143999694702494, -87.9631995976679];6945 N 41ST ST
28;113520071;12/18/2011;12:31 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
29;113520104;12/18/2011;05:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10750669608748, -87.94281964311246];4943 N 24TH PL
30;113520108;12/18/2011;05:07 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.129079413266794, -87.96086536078269];6100 N 39TH ST
31;113510063;12/17/2011;11:03 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11489740519164, -87.93399747326869];5385 N GREEN BAY AV
32;113510095;12/17/2011;02:32 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.124166586733224, -87.95861068307438];5857 N 37TH ST
33;113490008;12/15/2011;01:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10876683236194, -87.96141338631791];5020 N 39TH ST
34;113490039;12/15/2011;09:40 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10534093421437, -87.96031448046604];4829 N HOPKINS ST
35;113480053;12/14/2011;10:56 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095360122395995, -87.9380728607827];4250 N 21ST ST
36;113480158;12/14/2011;09:28 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.112899662622226, -87.95633343594403];5254 N 35TH ST
37;113460164;12/12/2011;10:04 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11504896863639, -87.9562944190665];5358 N 35TH ST
38;113450011;12/11/2011;01:47 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10369983236194, -87.95034234967419];4752 N 30TH ST
39;113450078;12/11/2011;01:59 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10927052844943, -87.94530065753918];5041 N 26TH ST
40;113410114;12/07/2011;06:29 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11079840486167, -87.9588360672589];5140 N 37TH ST
41;113400098;12/06/2011;04:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14874359321776, -87.96356748073032];4118 W GOOD HOPE RD
42;113400119;12/06/2011;05:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095207202377196, -87.94368604414554];2450 W ROOSEVELT DR
43;113390143;12/05/2011;05:54 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12455452654483, -87.94838330682671];2830 W BOBOLINK AV
44;113370123;12/03/2011;02:23 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10735347489747, -87.95428199999999];3300 W CAMERON AV
45;113350073;12/01/2011;02:21 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1462828664955, -87.95620443577224];7061 N TEUTONIA AV
46;113640072;12/30/2011;12:11 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08673273743442, -88.00166547824435];7177 W APPLETON AV
47;113630109;12/29/2011;05:40 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.070850566929884, -87.97735683007204];2858 N 51ST ST
48;113610057;12/27/2011;11:35 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0859233647065, -87.99929521882409];7008 W BECKETT AV
49;113610124;12/27/2011;05:24 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.046298335276134, -87.97031758814687];1215 N 45TH ST
50;113550127;12/21/2011;06:07 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06976377884199, -87.98673091424928];5917 W HADLEY ST
51;113540021;12/20/2011;05:17 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.083061742714534, -87.99088540074465];3512 N 63RD ST
52;113540037;12/20/2011;08:39 AM;7.0;THEFT FROM MOTOR VEHICLE;MOTOR VEHICLE THEFT;;;;[43.08750841326679, -87.99582339353127];3856 N 67TH ST
53;113530121;12/19/2011;04:18 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03153200447205, -88.00738005770594];135 N 76TH ST
54;113480031;12/14/2011;08:48 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04604319081398, -87.98245250383907];5530 W MARTIN DR
