;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;110900022;03/31/2011;05:10 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10882882653357, -87.94032541185312];5022 N 23RD ST
1;110900113;03/31/2011;05:33 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11151789424239, -87.93714950033194];2015 W VILLARD AV
2;110900124;03/31/2011;06:23 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10996446073056, -87.9623904622311];5100 N HOPKINS ST
3;110890016;03/30/2011;07:31 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09164061809682, -87.92826807372015];4113 N 14TH ST
4;110890154;03/30/2011;10:34 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.121476486005974, -87.96479391618097];4202 W THURSTON AV
5;110880097;03/29/2011;05:35 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11850416180968, -87.96225488631792];5546 N 40TH ST
6;110850017;03/26/2011;01:28 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13844863336027, -87.96576341517137];6636 N 43RD ST
7;110850092;03/26/2011;02:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08980444936224, -87.94225282944774];2410 W CAPITOL DR
8;110840035;03/25/2011;08:09 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1062295029142, -87.97392959536022];4875 N 49TH ST
9;110840110;03/25/2011;03:32 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.126731122533585, -87.96344619623723];6009 N 41ST ST
10;110820022;03/23/2011;07:33 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14872550666441, -87.96081454517308];3920 W GOOD HOPE RD
11;110820028;03/23/2011;08:10 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10113416180968, -87.95038637520942];4608 N 30TH ST
12;110820111;03/23/2011;04:28 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.101945670552254, -87.94914162479058];4649 N 29TH ST
13;110800033;03/21/2011;08:31 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08996234300251, -87.94951463128002];2900 W CAPITOL DR
14;110790064;03/20/2011;02:28 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10799333527612, -87.97143112089545];4973 N 47TH ST
15;110780047;03/19/2011;07:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10762674630656, -87.97026355553807];4965 N 46TH ST
16;110770036;03/18/2011;07:46 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
17;110770045;03/18/2011;07:51 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11873841326678, -87.95986488963614];5562 N 38TH ST
18;110770076;03/18/2011;11:06 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11606613627447, -87.96111286078269];5418 N 39TH ST
19;110770128;03/18/2011;05:56 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14874494807262, -87.96367993368345];4134 W GOOD HOPE RD
20;110750043;03/16/2011;07:29 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10505894754459, -87.9441591503258];4825 N 25TH ST
