Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
112430022;08/31/2011;01:04 AM;4.0;AGGRAVATED ASSAULT;;;;;3120 W VILLARD AV
112430052;08/31/2011;09:50 AM;4.0;MOTOR VEHICLE THEFT;;;;;5556 N 39TH ST
112430127;08/31/2011;04:47 PM;4.0;MOTOR VEHICLE THEFT;;;;;5806 N 41ST ST
112430128;08/31/2011;04:49 PM;7.0;MOTOR VEHICLE THEFT;;;;;4944 N 37TH ST
112430132;08/31/2011;02:39 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;1512 W CONGRESS ST
112430167;08/31/2011;11:05 PM;5.0;AGGRAVATED ASSAULT;;;;;4472 N 25TH ST
112410179;08/30/2011;12:13 AM;7.0;ROBBERY;;;;;5148 N 53RD ST
112420006;08/30/2011;12:07 AM;5.0;MOTOR VEHICLE THEFT;;;;;4337 N 16TH ST
112420059;08/30/2011;10:42 AM;7.0;ALL OTHER LARCENY;;;;;3500 W HAMPTON AV
112420065;08/30/2011;10:59 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4021 N 23RD ST
112420078;08/30/2011;10:19 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4315 N 17TH ST
112420114;08/30/2011;03:04 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2436 W ATKINSON AV
112420124;08/30/2011;12:03 PM;7.0;AGGRAVATED ASSAULT;;;;;4977 N 24TH PL
112420135;08/30/2011;03:59 PM;4.0;ALL OTHER LARCENY;;;;;7170 N TEUTONIA AV
112420141;08/30/2011;05:19 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4242 N 18TH ST
112420145;08/30/2011;05:29 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5007 N 24TH ST
112420166;08/30/2011;07:14 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;1801 W OLIVE ST
112420172;08/30/2011;07:47 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5346 N 34TH ST
112420177;08/30/2011;06:00 PM;4.0;ROBBERY;;;;;5377 N 39TH ST
112420193;08/30/2011;08:42 PM;4.0;SIMPLE ASSAULT;DISORDERLY CONDUCT;;;;5937 N 35TH ST #4
112390145;08/29/2011;03:23 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5416 N 42ND ST
112410033;08/29/2011;09:05 AM;4.0;ALL OTHER LARCENY;;;;;7835 N GREEN BAY RD
112410043;08/29/2011;08:35 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2452 W ATKINSON AV
112410046;08/29/2011;10:42 AM;4.0;SHOPLIFTING;;;;;4230 W GOOD HOPE RD
112410052;08/29/2011;11:33 AM;4.0;SHOPLIFTING;;;;;4230 W GOOD HOPE RD
112410064;08/29/2011;12:12 PM;7.0;ALL OTHER LARCENY;;;;;4803 N GREEN BAY AV
112410080;08/29/2011;01:29 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4948 W HAMPTON AV #12
112410097;08/29/2011;04:20 PM;7.0;SIMPLE ASSAULT;DISORDERLY CONDUCT;;;;5045 N HOPKINS ST #18
112410109;08/29/2011;05:26 PM;7.0;MOTOR VEHICLE THEFT;;;;;4963 N 38TH ST #REAR
112410115;08/29/2011;05:38 PM;7.0;ALL OTHER LARCENY;;;;;4100 W HAMPTON AV
112410171;08/29/2011;09:25 PM;4.0;SIMPLE ASSAULT;;;;;3711 W JUNIPER CT
112410185;08/29/2011;10:58 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4821 N 47TH ST
112410188;08/29/2011;11:19 PM;4.0;SIMPLE ASSAULT;;;;;5842 N 36TH ST
112420004;08/29/2011;10:43 PM;5.0;SIMPLE ASSAULT;;;;;4124 N 21ST ST #LWR
112400043;08/28/2011;03:52 AM;5.0;MOTOR VEHICLE THEFT;;;;;4195 N 13TH ST
112400071;08/28/2011;09:45 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3500 W THURSTON AV
112400109;08/28/2011;01:27 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4968 N 47TH ST
112400112;08/28/2011;01:41 PM;4.0;SIMPLE ASSAULT;;;;;5458 N 38TH ST
112400190;08/28/2011;08:55 PM;5.0;ROBBERY;;;;;4340 N 27TH ST
112390009;08/27/2011;12:15 AM;5.0;SIMPLE ASSAULT;;;;;2928 W ATKINSON AV
112390018;08/27/2011;01:42 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4487 N 21ST ST
112390023;08/27/2011;12:48 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4954 N 37TH ST #LOWER
112390081;08/27/2011;12:20 PM;5.0;ALL OTHER LARCENY;;;;;2222 W CAPITOL DR
