Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
112120032;07/31/2011;01:31 AM;5.0;ROBBERY;;;;;1928 W CAPITOL DR
112120042;07/31/2011;04:18 AM;7.0;ROBBERY;;;;;4205 W VILLARD AV
112120062;07/31/2011;08:41 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4415 N 29TH ST
112120077;07/31/2011;09:11 AM;5.0;MOTOR VEHICLE THEFT;;;;;1851 W FIEBRANTZ AV
112120083;07/31/2011;11:30 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4109 N 23RD ST
112120102;07/31/2011;02:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;4063 N 16TH ST
112120108;07/31/2011;01:41 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2830 W BOBOLINK AV #9
112120114;07/31/2011;03:50 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4518 N 29TH ST
112120116;07/31/2011;04:14 PM;5.0;MOTOR VEHICLE THEFT;;;;;4158 N 16TH ST
112120121;07/31/2011;04:39 PM;5.0;MOTOR VEHICLE THEFT;;;;;4074 N 18TH ST
112120132;07/31/2011;02:42 PM;5.0;AGGRAVATED ASSAULT;;;;;4466 N 22ND ST
112120138;07/31/2011;02:42 PM;5.0;AGGRAVATED ASSAULT;;;;;4466 N 22ND ST
112120139;07/31/2011;06:14 PM;7.0;THEFT FROM BUILDING;;;;;3500 W HAMPTON AV
112120142;07/31/2011;06:21 PM;7.0;ALL OTHER LARCENY;;;;;3800 W HAMPTON AV
112120157;07/31/2011;11:50 PM;5.0;ROBBERY;;;;;2305 W ATKINSON AV
112120186;07/31/2011;10:35 PM;4.0;ROBBERY;;;;;5467 N 40TH ST
112120190;07/31/2011;10:40 PM;5.0;ROBBERY;;;;;1902 W FIEBRANTZ AV
112130012;07/31/2011;10:47 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4954 N 48TH ST
112110041;07/30/2011;12:37 AM;4.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;;5887 N 42ND ST
112110042;07/30/2011;03:24 AM;7.0;ARSON;;;;;3214 W FAIRMOUNT AV
112110076;07/30/2011;09:38 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2806 W GLENDALE AV
112110083;07/30/2011;10:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4623 W STARK ST
112110093;07/30/2011;12:04 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4275 N 27TH ST
112110097;07/30/2011;12:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;3805 W CHEYENNE ST
112110130;07/30/2011;01:31 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5929 N 35TH ST
112110139;07/30/2011;05:24 PM;7.0;MOTOR VEHICLE THEFT;;;;;4940 N 24TH PL
112110145;07/30/2011;05:57 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5025 N 24TH PL
112110164;07/30/2011;07:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4934 N 24TH ST
112110165;07/30/2011;09:39 PM;5.0;ROBBERY;;;;;4201 N 22ND ST
112100015;07/29/2011;01:00 AM;4.0;SIMPLE ASSAULT;;;;;3815 W GOOD HOPE RD
112100055;07/29/2011;10:58 AM;4.0;ALL OTHER LARCENY;;;;;6146 N 40TH ST
112100060;07/29/2011;11:15 AM;7.0;MOTOR VEHICLE THEFT;;;;;4201 W FAIRMOUNT AV
112100082;07/29/2011;02:14 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4231 N 27TH ST
112100091;07/29/2011;02:55 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7108 N 44TH ST
112100096;07/29/2011;04:34 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4519 N GREEN BAY AV
112100125;07/29/2011;06:05 PM;5.0;ROBBERY;;;;;4030 N TEUTONIA AV
112110009;07/29/2011;10:51 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5968 N 37TH ST
112090011;07/28/2011;12:50 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;DISORDERLY CONDUCT;;;;5175 N 47TH ST
112090027;07/28/2011;03:27 AM;5.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;1955 W CORNELL ST
112090033;07/28/2011;04:42 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4057 N GREEN BAY AV
112090039;07/28/2011;07:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;2035 W COLFAX PL
112090068;07/28/2011;10:26 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3525 W DOUGLAS AV
112090072;07/28/2011;08:58 AM;4.0;MOTOR VEHICLE THEFT;;;;;1935 W SILVER SPRING DR
112090078;07/28/2011;10:01 AM;4.0;MOTOR VEHICLE THEFT;;;;;4230 W GOOD HOPE RD
112090089;07/28/2011;10:51 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4481 N 25TH ST
112090143;07/28/2011;05:53 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4852 N 22ND ST
112090146;07/28/2011;06:00 PM;4.0;ALL OTHER LARCENY;;;;;4200 W DOUGLAS AV
112080040;07/27/2011;06:37 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4954 N 37TH ST #LWR
112080085;07/27/2011;12:41 PM;5.0;ALL OTHER LARCENY;;;;;4087 N GREEN BAY AV
112080091;07/27/2011;01:31 PM;7.0;MOTOR VEHICLE THEFT;;;;;5191 N TEUTONIA AV
112080158;07/27/2011;04:38 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5816 N 37TH ST
112080159;07/27/2011;06:59 PM;5.0;MOTOR VEHICLE THEFT;;;;;4414 N 26TH ST
112080203;07/27/2011;10:18 PM;4.0;SIMPLE ASSAULT;;;;;5930 N SHERMAN BL #6
112070042;07/26/2011;08:34 AM;5.0;ALL OTHER LARCENY;;;;;2442 W HOPE AV
112070050;07/26/2011;07:14 AM;4.0;ALL OTHER LARCENY;;;;;5740 N 32ND ST
112070052;07/26/2011;08:35 AM;4.0;ALL OTHER LARCENY;;;;;5508 N 41ST ST
112070061;07/26/2011;08:44 AM;5.0;ALL OTHER LARCENY;;;;;2522 W CAPITOL DR
112070072;07/26/2011;10:34 AM;4.0;MOTOR VEHICLE THEFT;;;;;5540 N 27TH ST
112070098;07/26/2011;12:41 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4446 N 28TH ST #201
112070110;07/26/2011;01:04 PM;4.0;SIMPLE ASSAULT;;;;;6878 N 42ND ST
112070116;07/26/2011;12:58 PM;4.0;ROBBERY;;;;;5965 N 37TH ST
112070159;07/26/2011;04:33 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4827 N GREEN BAY AV
112070162;07/26/2011;06:14 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4403 N 29TH ST
112070165;07/26/2011;06:07 PM;5.0;ALL OTHER LARCENY;;;;;2602 W PORT SUNLIGHT WA
112070211;07/26/2011;10:33 PM;7.0;ROBBERY;;;;;1932 W HAMPTON AV
112060013;07/25/2011;12:34 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3016 W BOBOLINK AV
112060053;07/25/2011;07:48 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6750 N 43RD ST
112060062;07/25/2011;09:36 AM;4.0;ALL OTHER LARCENY;;;;;5695 N 40TH ST
112060072;07/25/2011;10:23 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4810 N TEUTONIA AV
112060078;07/25/2011;10:53 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4290 N TEUTONIA AV
112060081;07/25/2011;10:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;4610 N 24TH ST
112060089;07/25/2011;10:57 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4519 W VILLARD AV
