;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;111200150;04/30/2011;07:51 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11086132444748, -87.93826790235582];2032 W EGGERT PL
1;111190110;04/29/2011;04:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10048632944776, -87.94049641185313];4572 N 23RD ST
2;111180031;04/28/2011;07:50 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09243082653356, -87.92692538631792];4146 N 13TH ST
3;111180073;04/28/2011;12:23 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.091411481245466, -87.93536441909515];1931 W FIEBRANTZ AV
4;111180157;04/28/2011;07:44 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10438121270349, -87.9311260175431];4800 N GREEN BAY AV
5;111170025;04/27/2011;10:21 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.092442561198, -87.92322638631792];4136 N 10TH ST
6;111160051;04/26/2011;10:20 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10463706996437, -87.94658937901069];4800 N TEUTONIA AV
7;111160113;04/26/2011;04:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1089639103526, -87.94772235356932];5036 N 28TH ST
8;111150140;04/25/2011;04:38 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15132464778698, -87.95769584142163];7343 N TEUTONIA AV
9;111120076;04/22/2011;01:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.090578220093505, -87.94461540463978];4032 N 25TH ST
10;111110091;04/21/2011;03:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12895717620306, -87.95224264186731];6151 N TEUTONIA AV
11;111100088;04/20/2011;02:29 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10215401165675, -87.93409546292358];4678 N 19TH ST
12;111100097;04/20/2011;03:44 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10123332944775, -87.94907587910456];4614 N 29TH ST
13;111090052;04/19/2011;10:29 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12989011518263, -87.95605009925535];6147 N 35TH ST
14;111090108;04/19/2011;04:13 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.100827500432686, -87.9461235];2600 W GLENDALE AV
15;111080077;04/18/2011;12:21 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09765609447046, -87.94682809525831];4411 N 27TH ST
16;111080112;04/18/2011;02:32 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.091595170469255, -87.9398187268607];4100 N TEUTONIA AV
17;111070012;04/17/2011;01:50 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10452422221099, -87.95408283271102];3237 W HAMPTON AV
18;111070137;04/17/2011;07:49 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14130592264669, -87.9585057456268];3800 W GREEN TREE RD
19;111070138;04/17/2011;07:55 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09509849567218, -87.94796383236194];2733 W ROOSEVELT DR
20;111060040;04/16/2011;09:18 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.15548040466844, -87.9587361229156];7586 N TEUTONIA AV
21;111050022;04/15/2011;06:38 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09582553427779, -87.92812759925536];4339-A N 14TH ST
22;111050030;04/15/2011;08:54 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09906283817795, -87.94804167020494];2800 W RUBY AV
23;111050037;04/15/2011;09:26 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1061837799065, -87.95289864426628];4875 N 32ND ST
24;111050039;04/15/2011;10:34 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108744830688515, -87.96193523483733];5019 N HOPKINS ST
25;111050052;04/15/2011;09:23 AM;4.0;BURGLARY/BREAKING AND ENTERING;THEFT FROM MOTOR VEHICLE;;;;[43.12658429331842, -87.95503986578956];3406 W FLORIST AV
26;111040066;04/14/2011;01:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.143614924678154, -87.95545754074516];6923 N TEUTONIA AV
27;111030044;04/13/2011;10:36 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12529089508916, -87.95316903049823];5926 N 32ND ST
28;111030160;04/13/2011;07:02 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11177848124546, -87.94740133236193];2727 W VILLARD AV
29;111020052;04/12/2011;10:47 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09570187901765, -87.94156672664302];2330 W ROOSEVELT DR
30;111010077;04/11/2011;12:28 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09924205606212, -87.92858467949637];4519 N GREEN BAY AV
31;111010104;04/11/2011;02:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10258176934627, -87.93051330117122];4691 N GREEN BAY AV
32;111010118;04/11/2011;03:59 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09969600582838, -87.94918759925535];4531 N 29TH ST
33;111020002;04/11/2011;11:29 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.113025372468115, -87.95002602452561];5252 N TEUTONIA AV #1
34;111000106;04/10/2011;04:53 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102397737308934, -87.94706069473254];2727 W COURTLAND AV
35;110990098;04/09/2011;01:58 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09741716180969, -87.94921635356933];4408 N 29TH ST
36;110990148;04/09/2011;07:24 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11646099417163, -87.9599124190665];5436 N 38TH ST
37;110980131;04/08/2011;04:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10472352596791, -87.96977983236194];4522 W HAMPTON AV
38;110960103;04/06/2011;05:08 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.124138674995656, -87.9527505772695];5862 N 32ND ST #2
39;110950024;04/05/2011;06:13 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10540712816209, -87.939208531446];4860 N 22ND ST
40;110950027;04/05/2011;07:25 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14083722815725, -87.96563459986379];6780 N 43RD ST
41;110950096;04/05/2011;02:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106706586733225, -87.95902760646872];4911 N 37TH ST
42;110950163;04/05/2011;08:22 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09313640211459, -87.94682867521557];4212 N 27TH ST
43;110950170;04/05/2011;08:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1083469000194, -87.93759880990228];2022 W FAIRMOUNT AV
44;110950196;04/05/2011;10:44 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09204919040333, -87.92338217987174];4123 N 10TH ST
45;110940049;04/04/2011;11:02 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10902752844942, -87.94529959925535];5029 N 26TH ST
46;110940110;04/04/2011;02:46 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.098830697183985, -87.94948637650748];2901 W ATKINSON AV #5
47;110940148;04/04/2011;09:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.112555717179305, -87.94766491185312];5230 N 28TH ST
48;110930049;04/03/2011;10:27 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12527286372554, -87.95736859925536];5921 N 36TH ST
49;110930112;04/03/2011;06:16 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12712525242237, -87.96726166113704];6026 N HOPKINS ST
50;110920133;04/02/2011;09:21 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10445030606816, -87.93142895904172];4803 N GREEN BAY AV
51;110920136;04/02/2011;09:31 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.134090302892936, -87.97194180289291];4700 W MILL RD
52;110920145;04/02/2011;10:19 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.134090302892936, -87.97194180289291];4700 W MILL RD
53;110910094;04/01/2011;03:45 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
54;111200023;04/30/2011;01:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08351383819033, -87.98964807372015];3537 N 62ND ST
55;111200088;04/30/2011;12:43 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.058394167638056, -87.97877059925536];2155 N 52ND ST
56;111190088;04/29/2011;01:41 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07170347879261, -87.9930315];6500 W LOCUST ST
57;111180103;04/28/2011;03:18 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.04899544214889, -87.97714974271452];5050 W VLIET ST
58;111180115;04/28/2011;04:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
59;111170032;04/27/2011;10:44 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06416258090485, -87.97865288631792];2478 N 52ND ST
60;111170059;04/27/2011;01:07 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08092834306641, -87.99671773656902];6766 W APPLETON AV #15
61;111170067;04/27/2011;02:22 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.036366503296215, -87.9682931335054];600 N 44TH ST
62;111170155;04/27/2011;11:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08926324562873, -87.99703437131427];3958 N 68TH ST
63;111160034;04/26/2011;08:30 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.058628, -87.98198061368208];2169 N 55TH ST
64;111160053;04/26/2011;09:33 AM;3.0;SIMPLE ASSAULT;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.06416258090485, -87.97865288631792];2478 N 52ND ST
65;111160085;04/26/2011;01:34 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.03825863946212, -88.02827405867829];9239 W WISCONSIN AV
66;111160102;04/26/2011;03:09 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08440849913744, -88.00438193363932];7301 W NASH ST
67;111160105;04/26/2011;04:09 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.03139646047075, -87.997122];6732 W FAIRVIEW AV
68;111160188;04/26/2011;10:16 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.03982174599051, -87.9769529372706];5000 W WELLS ST
69;111150050;04/25/2011;10:23 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.057862832361934, -87.98415286078269];2128 N 57TH ST
70;111140085;04/24/2011;12:06 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
71;111140105;04/24/2011;02:08 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0388724532574, -87.97837066763806];5124 W WISCONSIN AV
72;111130008;04/23/2011;12:55 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07268541326678, -87.98084341185313];2944 N 54TH ST
73;111110025;04/21/2011;07:52 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.086316642506866, -87.99968674121396];7031 W BECKETT AV
