;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;123350116;11/30/2012;05:39 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1276540693522, -87.96626822638571];6051 N SHERMAN BL
1;123330002;11/28/2012;12:53 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11475227309719, -87.93702825425571];5363 N LONG ISLAND DR
2;123310115;11/26/2012;03:37 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09472688481736, -87.93420541185313];4224 N 19TH ST
3;123300114;11/25/2012;05:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100827500432686, -87.9461235];2600 W GLENDALE AV
4;123300165;11/25/2012;11:08 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110058191499846, -87.9638045629001];5101 N 41ST ST
5;123290049;11/24/2012;10:16 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11422941326677, -87.94874640463978];5318 N 29TH ST
6;123280043;11/23/2012;10:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12343926311385, -87.9524954662418];5828 N 32ND ST
7;123280047;11/23/2012;11:12 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.113420754371276, -87.9600591025736];5273 N 38TH ST
8;123280155;11/23/2012;09:53 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.126864722170964, -87.95195682754316];6001 N TEUTONIA AV
9;123280156;11/23/2012;10:42 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09121953401801, -87.93820641476732];2040 W ATKINSON AV #5
10;123260018;11/21/2012;07:20 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08992781180444, -87.94580967372782];2600 W CAPITOL DR
11;123250014;11/20/2012;02:44 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11926047489748, -87.95718055536962];3530 W SILVER SPRING DR
12;123250087;11/20/2012;02:30 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11140483819031, -87.9564576503258];5173 N 35TH ST
13;123240081;11/19/2012;02:01 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108757580904836, -87.9452258280341];5016 N 26TH ST
14;123230049;11/18/2012;10:10 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10823651154121, -87.95227033236193];3118 W FAIRMOUNT AV
15;123220096;11/17/2012;02:58 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09761348268776, -87.92923223452021];1500 W CORNELL ST
16;123230008;11/17/2012;09:18 PM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.105383419095176, -87.956569092042];4833 N MOTHER DANIELS WA
