Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
120310008;01/31/2012;12:27 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5123 N 23RD ST
120310064;01/31/2012;11:33 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6955 N TEUTONIA AV #1
120310078;01/31/2012;02:04 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2330 W ROOSEVELT DR
120310090;01/31/2012;02:03 PM;4.0;SIMPLE ASSAULT;;;;;6431 N 49TH ST
120310092;01/31/2012;02:04 PM;4.0;ARSON;;;;;5873 N 38TH ST
120310119;01/31/2012;06:39 PM;7.0;MOTOR VEHICLE THEFT;;;;;4921 N 18TH ST
120300035;01/30/2012;09:30 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4902 N 21ST ST
120300050;01/30/2012;11:09 AM;7.0;ALL OTHER LARCENY;;;;;3514 W HAMPTON AV
120300082;01/30/2012;01:04 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4344 N 30TH ST
120300125;01/30/2012;05:16 PM;7.0;SIMPLE ASSAULT;;;;;3427 W VILLARD AV #313
120300130;01/30/2012;06:21 PM;5.0;MOTOR VEHICLE THEFT;;;;;4281 N TEUTONIA AV
120300157;01/30/2012;09:01 PM;7.0;ALL OTHER LARCENY;;;;;4936 N 51ST BL
120290011;01/29/2012;01:54 AM;5.0;AGGRAVATED ASSAULT;;;;;4001 N GREEN BAY AV
120290053;01/29/2012;11:13 AM;5.0;ROBBERY;;;;;4455 N 27TH ST
120290067;01/29/2012;01:00 PM;5.0;SIMPLE ASSAULT;;;;;4721 N 28TH ST
120290076;01/29/2012;01:52 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4252 N 17TH ST
120290098;01/29/2012;04:26 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5139 N 47TH ST
120290110;01/29/2012;08:18 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4661 N 27TH ST
120290122;01/29/2012;08:22 PM;4.0;AGGRAVATED ASSAULT;;;;;5230 N SHERMAN BL #5
120290132;01/29/2012;12:38 AM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;4850 N 44TH ST
120280014;01/28/2012;02:07 AM;5.0;SIMPLE ASSAULT;;;;;4564 N 22ND ST
120280091;01/28/2012;05:33 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4070 N 20TH ST
120280120;01/28/2012;08:29 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5680 N 39TH ST
120280122;01/28/2012;07:57 PM;4.0;ROBBERY;;;;;5458 N 35TH ST
120280123;01/28/2012;08:26 PM;7.0;AGGRAVATED ASSAULT;;;;;4871 N GREEN BAY AV
120260002;01/27/2012;07:30 PM;5.0;ALL OTHER LARCENY;;;;;4215 N 16TH ST
120270067;01/27/2012;02:29 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2725 W FAIRMOUNT AV
120270069;01/27/2012;03:35 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5000 N 53RD ST
120270079;01/27/2012;04:22 PM;4.0;ALL OTHER LARCENY;;;;;3030 W VILLARD AV
120270083;01/27/2012;04:39 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5228 N 27TH ST
120270120;01/27/2012;07:36 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5506 N 34TH ST
120270148;01/27/2012;09:11 PM;7.0;SIMPLE ASSAULT;;;;;4887 N GREEN BAY AV
120280012;01/27/2012;09:15 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4913 N SHERMAN BL
