;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;123660074;12/31/2012;04:35 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11827958090484, -87.95621333524747];5538 N 35TH ST
1;123640057;12/29/2012;01:18 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10480426555719, -87.9778547655572];5200 W HAMPTON AV
2;123630036;12/28/2012;06:38 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09162091035259, -87.941882930175];4100 N 24TH ST
3;123630063;12/28/2012;11:54 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09132909358355, -87.94687730078597];4102 N 27TH ST
4;123620028;12/27/2012;08:04 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09080319900167, -87.94574157372014];4045 N 26TH ST
5;123610025;12/26/2012;02:45 AM;4.0;AGGRAVATED ASSAULT;THEFT FROM BUILDING;;;;[43.14310545161414, -87.95692415473609];6912 N 37TH ST #2
6;123600034;12/25/2012;08:58 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.125146696087484, -87.95859162479059];5915 N 37TH ST
7;123590100;12/24/2012;06:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108374452689276, -87.97471774934172];4970 W FAIRMOUNT AV
8;123570087;12/22/2012;06:20 PM;4.0;THEFT FROM BUILDING;;;;;[43.11552135968618, -87.93770571123534];5403 N LONG ISLAND DR
9;123560030;12/21/2012;10:48 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10361, -87.94913015753917];4751 N 29TH ST
10;123550079;12/20/2012;12:37 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09129839750195, -87.94080425104738];4104 N 23RD ST
11;123550104;12/20/2012;05:06 PM;5.0;THEFT FROM BUILDING;;;;;[43.08981144753335, -87.94030110857977];2222 W CAPITOL DR
12;123540037;12/19/2012;08:49 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09606905938032, -87.94027137939301];2227 W ROOSEVELT DR
13;123520032;12/17/2012;08:47 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1118635115412, -87.94539075437129];2600 W VILLARD AV
14;123520044;12/17/2012;09:37 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1025929686364, -87.93812236078269];4678 N 21ST ST
15;123520051;12/17/2012;09:17 AM;4.0;THEFT FROM BUILDING;;;;;[43.12798018436785, -87.95214425670802];6091 N TEUTONIA AV
16;123520002;12/16/2012;11:57 PM;4.0;THEFT FROM BUILDING;;;;;[43.14499473092017, -87.95582665840475];7001 N TEUTONIA AV
17;123500109;12/15/2012;05:22 PM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.147845754371275, -87.9656306614343];7155 N 43RD ST
18;123500115;12/15/2012;05:58 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09594154954124, -87.93298493738835];4334 N 18TH ST
19;123510008;12/15/2012;11:19 PM;4.0;THEFT FROM BUILDING;;;;;[43.12465449567217, -87.95320965889549];3207 W BOBOLINK AV #UPR
20;123480043;12/13/2012;09:06 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10939929063965, -87.97874533741185];5000 N 53RD ST
21;123480058;12/13/2012;11:48 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1119944338413, -87.96253309908522];4000 W VILLARD AV
22;123480066;12/13/2012;12:36 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096860511541195, -87.93220997155058];1708 W CONGRESS ST
23;123480070;12/13/2012;12:49 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1093697799065, -87.95161963200395];5053 N 31ST ST
24;123460163;12/11/2012;10:30 PM;4.0;THEFT FROM BUILDING;;;;;[43.1163727543713, -87.96118009925536];5435 N 39TH ST
25;123470048;12/11/2012;09:41 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10002278306007, -87.9382688233881];4583 N 21ST ST
26;123480116;12/11/2012;04:55 PM;5.0;THEFT FROM BUILDING;;;;;[43.095871855387, -87.9455133718912];4330 N 26TH ST
27;123450042;12/10/2012;09:33 AM;4.0;THEFT FROM BUILDING;;;;;[43.11214231418432, -87.94994249509524];5208 N TEUTONIA AV
28;123440055;12/09/2012;11:26 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12165432944775, -87.95372386078269];5726 N 33RD ST
29;123430072;12/08/2012;12:51 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11834294754459, -87.94500015364403];5555 N 26TH ST
30;123410064;12/06/2012;12:46 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.120961453257394, -87.95210047446477];3118 W THURSTON AV
31;123410080;12/06/2012;02:28 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11395304302036, -87.9500955572742];5308 N TEUTONIA AV
32;123410088;12/06/2012;03:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10831427002901, -87.957802770029];3600 W FAIRMOUNT AV
33;123400077;12/05/2012;01:43 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10466749321933, -87.96012180270043];3800 W HAMPTON AV
34;123400084;12/05/2012;03:04 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14485503172117, -87.95584960268512];3507 W KILEY AV
35;123390015;12/04/2012;06:02 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.126298413266795, -87.95849583135234];5976 N 37TH ST
36;123390063;12/04/2012;12:36 PM;4.0;THEFT FROM BUILDING;;;;;[43.14777823841535, -87.95654857123864];7171 N TEUTONIA AV
37;123380052;12/03/2012;10:18 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110188161809674, -87.95275486799605];5116 N 32ND ST
38;123380057;12/03/2012;10:26 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14490446047075, -87.95812147446478];3738 W KILEY AV
39;123380135;12/03/2012;06:42 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14248390487427, -87.95864437533686];3815 W CHEYENNE ST
40;123370077;12/02/2012;02:08 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.113599664723864, -87.95513439353127];5278 N 34TH ST
41;123370114;12/02/2012;07:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118170994171635, -87.95866388631792];5532 N 37TH ST
42;123650003;12/30/2012;12:32 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0246183409344, -88.01722137239038];600 S 84TH ST
43;123650076;12/30/2012;12:42 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02521853398934, -87.98597868896103];646 S HAWLEY RD
44;123640093;12/29/2012;07:01 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07630383236193, -87.9773876281088];3151 N 51ST BL
45;123630077;12/28/2012;01:55 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.038911973541886, -87.97003879189012];4500 W WISCONSIN AV
46;123630079;12/28/2012;02:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07575427699231, -87.9797296392173];3119 N 53RD ST
47;123630092;12/28/2012;03:37 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.04527979516996, -87.97135247735031];1144 N 46TH ST
48;123610118;12/26/2012;05:49 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08231683819031, -87.98725011368208];3465 N 60TH ST
49;123550112;12/20/2012;07:30 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.070830994171615, -87.97855388631791];2846 N 52ND ST
50;123540045;12/19/2012;10:49 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06839760357952, -87.98561553290538];5815 W APPLETON AV
51;123540083;12/19/2012;12:33 PM;3.0;THEFT FROM BUILDING;;;;;[43.03094666303593, -88.01737793495529];125 S 84TH ST #211
52;123540147;12/19/2012;09:14 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02569908575227, -88.01717590230344];500 S 84TH ST
53;123530136;12/18/2012;06:08 PM;3.0;THEFT FROM BUILDING;;;;;[43.06798748845881, -87.98287427699232];5521 W CENTER ST
54;123460010;12/17/2012;10:36 PM;7.0;THEFT FROM BUILDING;;;;;[43.075389518754555, -88.00629333527613];7504 W BURLEIGH ST #1
55;123520050;12/17/2012;10:06 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.083180838190316, -87.98965813200395];3519 N 62ND ST
56;123520082;12/17/2012;12:50 PM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.077463210081525, -88.00628863004205];7505 W LISBON AV
57;123500064;12/15/2012;12:06 PM;7.0;THEFT FROM BUILDING;;;;;[43.07538149321932, -87.98480932944774];5722 W BURLEIGH ST
58;123490058;12/14/2012;09:31 AM;3.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.056524231750245, -87.97243957703836];2029 N 47TH ST
59;123480037;12/13/2012;08:13 AM;3.0;THEFT FROM BUILDING;;;;;[43.06638616763806, -87.97988960646872];2611 N 53RD ST
60;123480120;12/13/2012;06:24 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.075353638423785, -87.97728294378253];3100 N 51ST BL
61;123470088;12/12/2012;02:58 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06392072191116, -87.97938657395129];5230 W LISBON AV
62;123460029;12/11/2012;07:48 AM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.060669535634126, -87.98373];5625 W NORTH AV
63;123460032;12/11/2012;08:49 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07530148124544, -87.9811832514571];5401 W BURLEIGH ST
64;123440047;12/10/2012;08:15 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.06800951875454, -87.97819147446477];5120 W CENTER ST
