;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;120600098;02/29/2012;05:05 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10585949708582, -87.93655285688754];4870 N 20TH ST
1;120590051;02/28/2012;12:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.104545493796266, -87.95107027837729];3000 W HAMPTON AV
2;120590065;02/28/2012;01:37 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.114537288649075, -87.94398155539827];5343 N 25TH ST
3;120590118;02/28/2012;07:02 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.090325580904846, -87.94938638184585];4030 N 29TH ST
4;120580030;02/27/2012;09:49 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1061003844455, -87.94737554272344];4880 N TEUTONIA AV
5;120580031;02/27/2012;09:51 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14490551875455, -87.95714302553522];3700 W KILEY AV
6;120580044;02/27/2012;12:13 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10015685692584, -87.94431272402085];4554 N TEUTONIA AV
7;120580049;02/27/2012;12:25 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14504383097695, -87.95537837826784];7000 N TEUTONIA AV
8;120580061;02/27/2012;02:11 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14307441326679, -87.96555630971224];6900 N 43RD ST
9;120580123;02/27/2012;08:48 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR
10;120570110;02/26/2012;07:57 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08998124668125, -87.95585630721226];3404 W CAPITOL DR
11;120560021;02/25/2012;03:54 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.102605060323235, -87.9365528662062];4700 N 20TH ST
12;120540040;02/23/2012;11:14 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111787481245464, -87.94845377699232];2821 W VILLARD AV
13;120540052;02/23/2012;12:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099190944370996, -87.9492219889994];4509 N 29TH ST
14;120540054;02/23/2012;12:53 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08947346047075, -87.92617097155058];1206 W CAPITOL DR
15;120540090;02/23/2012;05:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11422941326677, -87.94874640463978];5318 N 29TH ST #3
16;120530088;02/22/2012;03:11 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10471346768411, -87.96861097446477];4422 W HAMPTON AV
17;120530130;02/22/2012;06:54 PM;7.0;THEFT FROM BUILDING;;;;;[43.11047604535722, -87.93284446503287];5131 N GREEN BAY AV
18;120520093;02/21/2012;04:18 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.138236537798505, -87.95762380252755];3645 W ELM ST
19;120510076;02/20/2012;02:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10045096863641, -87.94909485356932];4566 N 29TH ST
20;120510094;02/20/2012;05:02 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0920439103526, -87.93190591185314];4126 N 17TH ST
21;120490061;02/18/2012;01:22 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09292677990652, -87.9434711281088];4209 N 24TH PL
22;120480062;02/17/2012;12:20 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12588505245543, -87.96457539353128];5948 N 42ND ST
23;120480080;02/17/2012;03:03 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
24;120480091;02/17/2012;03:58 PM;7.0;THEFT FROM BUILDING;;;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
25;120480096;02/17/2012;05:04 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08994976288251, -87.94082897601541];4010 N 23RD ST
26;120480101;02/17/2012;05:39 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09460145045878, -87.9331175809335];4227 N 18TH ST
27;120470083;02/16/2012;03:42 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09924205606212, -87.92858467949637];4519 N GREEN BAY AV
28;120460018;02/15/2012;09:18 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10782258673322, -87.94159962479058];4957 N 24TH ST #A
29;120460028;02/15/2012;10:10 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09694044463038, -87.94582064643068];4381 N 26TH ST
30;120460052;02/15/2012;01:52 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11828011518264, -87.95754057372014];5539 N 36TH ST
31;120450004;02/14/2012;12:58 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10517558090484, -87.97138237910455];4822 N 47TH ST
32;120450052;02/14/2012;12:57 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14350668493289, -87.95788962292308];6930 N DARIEN ST
33;120450093;02/14/2012;05:24 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12830431671868, -87.95217770691859];6115 N TEUTONIA AV
34;120440073;02/13/2012;12:22 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107543586733215, -87.95900863200394];4951 N 37TH ST
35;120440076;02/13/2012;01:34 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0899075337582, -87.94994336081135];2910 W CAPITOL DR
36;120440093;02/13/2012;04:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09117213627445, -87.92942535356933];4076 N 15TH ST
37;120430050;02/12/2012;02:21 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09092253401799, -87.93777642587582];2022 W ATKINSON AV
