Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
131510022;05/31/2013;04:54 AM;4.0;SIMPLE ASSAULT;;;;;5273 N 37TH ST
131510040;05/31/2013;08:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4953 N 51ST BL
131510086;05/31/2013;02:12 PM;7.0;ROBBERY;;;;;5002 N 26TH ST
131510100;05/31/2013;04:36 PM;4.0;THEFT FROM BUILDING;;;;;5236 N 36TH ST
131510101;05/31/2013;03:33 PM;5.0;ALL OTHER LARCENY;;;;;4130 N 16TH ST
131510103;05/31/2013;03:52 PM;5.0;SIMPLE ASSAULT;;;;;4057 N GREEN BAY AV
131510109;05/31/2013;05:23 PM;7.0;AGGRAVATED ASSAULT;;;;;5078 N 22ND ST
131510140;05/31/2013;08:35 PM;4.0;AGGRAVATED ASSAULT;;;;;7017 N TEUTONIA AV #3
131520004;05/31/2013;11:22 PM;4.0;AGGRAVATED ASSAULT;;;;;5527 N 34TH ST
131520006;05/31/2013;11:15 PM;4.0;AGGRAVATED ASSAULT;;;;;3205 W THURSTON AV
131490168;05/30/2013;03:00 AM;4.0;SIMPLE ASSAULT;;;;;4521 W KILEY AV
131500012;05/30/2013;01:52 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5150 N 19TH ST
131500021;05/30/2013;03:56 AM;7.0;ROBBERY;;;;;3101 W VILLARD AV
131500032;05/30/2013;08:48 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4244 N TEUTONIA AV
131500045;05/30/2013;08:39 AM;4.0;ALL OTHER LARCENY;;;;;5397 N LONG ISLAND DR
131500047;05/30/2013;10:41 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3100 W MILL RD
131500047;05/30/2013;10:41 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3100 W MILL RD
131500067;05/30/2013;12:53 PM;5.0;SIMPLE ASSAULT;;;;;2480 W CAPITOL DR #3
131500085;05/30/2013;01:43 PM;5.0;MOTOR VEHICLE THEFT;;;;;4541 N 28TH ST
131500090;05/30/2013;02:43 PM;5.0;AGGRAVATED ASSAULT;;;;;2643 W ATKINSON AV
131500130;05/30/2013;07:15 PM;7.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5119 N 20TH ST
131500139;05/30/2013;05:01 PM;7.0;THEFT FROM BUILDING;;;;;4808 N HOPKINS ST
131500141;05/30/2013;09:47 PM;5.0;SIMPLE ASSAULT;;;;;4719 N 29TH ST
131470135;05/29/2013;04:02 PM;7.0;ROBBERY;;;;;5016 N HOPKINS ST
131490025;05/29/2013;06:22 AM;7.0;MOTOR VEHICLE THEFT;;;;;4837 N 52ND ST
131490093;05/29/2013;02:57 PM;5.0;SIMPLE ASSAULT;;;;;2027 W ATKINSON AV
131490131;05/29/2013;07:05 PM;4.0;ROBBERY;;;;;6241 N TEUTONIA AV
131490149;05/29/2013;06:53 PM;7.0;ALL OTHER LARCENY;;;;;3420 W CAPITOL DR
131480016;05/28/2013;01:10 AM;4.0;ARSON;;;;;3512 W SILVER SPRING DR
131480019;05/28/2013;03:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;4936 N 51ST BL
131480028;05/28/2013;08:03 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4914 N 26TH ST
131480070;05/28/2013;10:10 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3425 W MILL RD
131480073;05/28/2013;11:17 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3524 W FLORIST AV
131480080;05/28/2013;12:55 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4889 N 24TH ST
131480085;05/28/2013;12:10 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4208 W VILLARD AV #7
131480095;05/28/2013;02:49 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6151 N TEUTONIA AV
131480114;05/28/2013;05:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4707 N 20TH ST
131480116;05/28/2013;05:05 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6201 N TEUTONIA AV
131480145;05/28/2013;05:44 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5968 N 37TH ST #LWR
131480151;05/28/2013;07:49 PM;5.0;SHOPLIFTING;;;;;4030 N TEUTONIA AV
131480168;05/28/2013;07:35 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4039 N 14TH ST
131470020;05/27/2013;01:09 AM;5.0;SIMPLE ASSAULT;;;;;2507 W ATKINSON AV
131470040;05/27/2013;09:45 AM;5.0;THEFT FROM BUILDING;;;;;1803 W OLIVE ST
131470059;05/27/2013;10:31 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;1952 W HAMPTON AV #1
131470073;05/27/2013;01:14 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4545 N 23RD ST
131470085;05/27/2013;01:13 PM;5.0;AGGRAVATED ASSAULT;;;;;4271 N 27TH ST
131470097;05/27/2013;03:57 PM;4.0;MOTOR VEHICLE THEFT;;;;;6143 N 35TH ST
131470102;05/27/2013;02:50 PM;5.0;AGGRAVATED ASSAULT;;;;;2330 W ROOSEVELT DR
131470106;05/27/2013;02:26 PM;4.0;THEFT FROM BUILDING;;;;;6152 N 35TH ST #12
131470117;05/27/2013;05:39 PM;4.0;INTIMIDATION;;;;;5834 N 34TH ST #1
131470125;05/27/2013;06:30 PM;7.0;ROBBERY;;;;;5173 N 39TH ST
131480010;05/27/2013;11:43 PM;5.0;AGGRAVATED ASSAULT;;;;;4614 N 32ND ST
131460005;05/26/2013;12:29 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4703 W VILLARD AV
131460024;05/26/2013;03:19 AM;4.0;AGGRAVATED ASSAULT;;;;;3812 W VILLARD AV #2
131460045;05/26/2013;08:41 AM;4.0;ROBBERY;;;;;3030 W VILLARD AV
131460057;05/26/2013;10:30 AM;5.0;MOTOR VEHICLE THEFT;;;;;1420 W HAUSER AV
131460065;05/26/2013;12:47 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4305 N 26TH ST
131460071;05/26/2013;12:28 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4614 N TEUTONIA AV #106
131460074;05/26/2013;12:53 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3228 W SILVER SPRING DR
131460078;05/26/2013;01:15 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4029 N 11TH ST
131460079;05/26/2013;01:23 PM;7.0;ARSON;;;;;5158 N 39TH ST
131460090;05/26/2013;02:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;5239 N 37TH ST
131460105;05/26/2013;04:56 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5269 N 38TH ST
131460138;05/26/2013;09:57 PM;4.0;THEFT FROM BUILDING;;;;;7265 N TEUTONIA AV
131460140;05/26/2013;09:24 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2338 W LINWAL LA
131470010;05/26/2013;11:47 PM;4.0;MOTOR VEHICLE THEFT;;;;;5308 N TEUTONIA AV
131450047;05/25/2013;07:24 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5563 N 34TH ST
131450054;05/25/2013;07:10 AM;7.0;ROBBERY;;;;;2000 W HAMPTON AV #1
131450072;05/25/2013;10:43 AM;7.0;MOTOR VEHICLE THEFT;;;;;4665 N 20TH ST
131450107;05/25/2013;04:01 PM;7.0;ROBBERY;;;;;2601 W HAMPTON AV
131450118;05/25/2013;04:40 PM;7.0;THEFT FROM BUILDING;;;;;5172 N 28TH ST
131450138;05/25/2013;07:28 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5534 N 35TH ST
131450150;05/25/2013;08:41 PM;4.0;AGGRAVATED ASSAULT;;;;;3806 W ROHR AV
131450169;05/25/2013;10:43 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2901 W ATKINSON AV #11
131440019;05/24/2013;03:50 AM;4.0;SIMPLE ASSAULT;;;;;4515 W KILEY AV
131440022;05/24/2013;06:50 AM;5.0;AGGRAVATED ASSAULT;;;;;4174 N 22ND ST
131440043;05/24/2013;11:29 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2826 W ATKINSON AV
131440048;05/24/2013;11:34 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3114 W CAMERON AV
131440060;05/24/2013;01:23 PM;4.0;INTIMIDATION;;;;;6908 N 37TH ST #3
131440092;05/24/2013;05:31 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5451 N 39TH ST
131440093;05/24/2013;05:54 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5029 N 24TH ST
