;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;131510040;05/31/2013;08:51 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10771458673324, -87.97639961757723];4953 N 51ST BL
1;131510100;05/31/2013;04:36 PM;4.0;THEFT FROM BUILDING;;;;;[43.11276199417162, -87.95758486078269];5236 N 36TH ST
2;131500047;05/30/2013;10:41 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13381346667355, -87.94865976368983];3100 W MILL RD
3;131500139;05/30/2013;05:01 PM;7.0;THEFT FROM BUILDING;;;;;[43.105152970858114, -87.96015143903314];4808 N HOPKINS ST
4;131480028;05/28/2013;08:03 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10698399417163, -87.94527541185313];4914 N 26TH ST
5;131480095;05/28/2013;02:49 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12895717620306, -87.95224264186731];6151 N TEUTONIA AV
6;131480114;05/28/2013;05:04 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10279069608748, -87.93703011368208];4707 N 20TH ST
7;131480116;05/28/2013;05:05 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.129861255409544, -87.95230882240634];6201 N TEUTONIA AV
8;131470040;05/27/2013;09:45 AM;5.0;THEFT FROM BUILDING;;;;;[43.09395827515768, -87.93357266176935];1803 W OLIVE ST
9;131470073;05/27/2013;01:14 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.099866670552245, -87.94057912089545];4545 N 23RD ST
10;131470106;05/27/2013;02:26 PM;4.0;THEFT FROM BUILDING;;;;;[43.129494859282154, -87.95598541459444];6152 N 35TH ST #12
11;131460078;05/26/2013;01:15 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09002028282072, -87.92460911757723];4029 N 11TH ST
12;131460105;05/26/2013;04:56 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11338475437128, -87.96006163200394];5269 N 38TH ST
13;131460138;05/26/2013;09:57 PM;4.0;THEFT FROM BUILDING;;;;;[43.14979894310117, -87.95719547241598];7265 N TEUTONIA AV
14;131450118;05/25/2013;04:40 PM;7.0;THEFT FROM BUILDING;;;;;[43.11130332361938, -87.94770541185314];5172 N 28TH ST
15;131450138;05/25/2013;07:28 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.118198580904846, -87.95621333524747];5534 N 35TH ST
16;131440043;05/24/2013;11:29 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09856843770549, -87.94892710087149];2826 W ATKINSON AV
17;131440092;05/24/2013;05:31 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11666075437128, -87.96118115753917];5451 N 39TH ST
18;131430086;05/23/2013;05:20 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14874545614319, -87.96372210354087];4140 W GOOD HOPE RD
19;131420013;05/22/2013;01:41 AM;7.0;THEFT FROM BUILDING;;;;;[43.10466749321933, -87.96012180270043];3800 W HAMPTON AV
20;131420065;05/22/2013;12:08 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0974606006117, -87.94673587910455];4402 N 27TH ST
21;131420100;05/22/2013;03:06 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09086628282071, -87.93074006650677];4063 N 16TH ST
22;131410043;05/21/2013;08:32 AM;5.0;THEFT FROM BUILDING;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
23;131400071;05/20/2013;12:12 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12205941326678, -87.95857486078269];5728 N 37TH ST
24;131400177;05/20/2013;09:03 PM;5.0;THEFT FROM BUILDING;;;;;[43.08981144753335, -87.94030110857977];2222 W CAPITOL DR
25;131390062;05/19/2013;08:41 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10961283236193, -87.96140536078269];5062 N 39TH ST
26;131380082;05/18/2013;04:41 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11939250822297, -87.9656815771826];4240 W SILVER SPRING DR
27;131370095;05/17/2013;04:06 PM;5.0;THEFT FROM BUILDING;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
28;131370005;05/16/2013;11:31 PM;4.0;THEFT FROM BUILDING;;;;;[43.1462828664955, -87.95620443577224];7061 N TEUTONIA AV #206
29;131350045;05/15/2013;10:19 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10524199639332, -87.97642055637922];4823 N 51ST BL
30;131350082;05/15/2013;01:31 PM;7.0;THEFT FROM BUILDING;;;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
31;131340031;05/14/2013;08:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106304301209285, -87.95660182895494];3501 W MOTHER DANIELS WAY
32;131340043;05/14/2013;10:10 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09309763336026, -87.92936341185313];4172 N 15TH ST
33;131310069;05/11/2013;01:06 PM;4.0;THEFT FROM BUILDING;;;;;[43.1282475535838, -87.96631470609452];4305 W MONROVIA WA
34;131310087;05/11/2013;04:56 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11924346826102, -87.95506018636395];3400 W SILVER SPRING DR
35;131300079;05/10/2013;03:50 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10472352596791, -87.96977983236194];4522 W HAMPTON AV
36;131280166;05/08/2013;08:22 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09598029447747, -87.93811616331023];4328 N 21ST ST
37;131270029;05/07/2013;09:40 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105951550417664, -87.9406957663328];2314 W LINWAL LA
