;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;143040148;10/31/2014;10:57 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108677199001676, -87.94781059925535];5025 N 28TH ST
1;143020146;10/29/2014;07:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.092433276453335, -87.95570914324846];3400 W HOPKINS ST
2;143000036;10/27/2014;08:56 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1468714074384, -87.96542288631792];7100 N 43RD ST
3;143000111;10/27/2014;02:42 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.102133549541236, -87.94672954097155];4661 N 27TH ST
4;142990010;10/26/2014;12:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11156053231589, -87.9355307514571];1957 W VILLARD AV
5;142980119;10/25/2014;07:44 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.126907598754265, -87.96339142462195];6016 N 41ST ST
6;142970138;10/24/2014;09:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10471887774282, -87.96509892358927];4200 W HAMPTON AV
7;142930019;10/20/2014;07:03 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095887161809685, -87.94925235356932];4328 N 29TH ST
8;142930041;10/20/2014;10:04 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12976459795785, -87.9644497172718];4215 W KAUL AV
9;142930116;10/20/2014;05:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10024634748116, -87.94447495201662];4563 N TEUTONIA AV
10;142930143;10/20/2014;08:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11079840486167, -87.9588360672589];5140 N 37TH ST
11;142920056;10/19/2014;10:36 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1181435961683, -87.95061082168611];5555 N TEUTONIA AV
12;142900144;10/17/2014;09:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10447646047076, -87.93784308090484];2030 W HAMPTON AV
13;142880149;10/15/2014;12:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09578888481735, -87.93543391185312];4320 N 19TH PL
14;142870082;10/14/2014;03:07 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12284270110377, -87.94865943694276];5803 N 29TH ST
15;142860137;10/13/2014;08:05 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.097004838190315, -87.94810857372015];4383 N 28TH ST
16;142840074;10/11/2014;02:02 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095360122395995, -87.9380728607827];4250 N 21ST ST
17;142840108;10/11/2014;06:29 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
18;142830037;10/10/2014;09:14 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12429728114727, -87.95288390109042];5865 N 32ND ST
19;142830093;10/10/2014;04:30 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09302003184242, -87.95624832387627];3450 W HOPKINS ST
20;142800047;10/07/2014;12:13 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
21;142810013;10/07/2014;10:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107119276992336, -87.97024768307439];4927 N 46TH ST
22;142790083;10/06/2014;11:47 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11435306797866, -87.93879437246811];2201 W LAWN AV
23;142790189;10/06/2014;11:46 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09606895172818, -87.94080336193653];2254 W ROOSEVELT DR
24;142770156;10/04/2014;08:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12704933706935, -87.96598683082559];6014 N SHERMAN BL
25;142760036;10/03/2014;08:29 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11790184860515, -87.95060618206304];5541 N TEUTONIA AV #11
26;142740159;10/01/2014;10:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11937143883067, -87.95184354948391];3002 W SILVER SPRING DR
27;143020036;10/29/2014;08:55 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08612870079069, -88.00117640885205];7147 W APPLETON AV
28;143020138;10/29/2014;06:25 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02869407368213, -88.01739784819726];311 S 84TH ST
29;143000159;10/27/2014;06:37 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05303650432784, -87.984963];5722 W WASHINGTON BL
30;142990045;10/26/2014;09:44 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07260052842075, -87.99304041618096];6505 W GIRARD AV
31;142900157;10/18/2014;12:17 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.076875193732896, -88.00723465229137];3202 N 76TH ST
32;142900011;10/17/2014;12:52 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06968903136362, -87.98522855539827];2775 N 58TH ST
33;142890019;10/16/2014;06:09 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08756358673324, -87.99589913532216];3865 N 67TH ST
34;142850099;10/12/2014;04:26 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.083977468232376, -87.99914732664912];6960 W APPLETON AV
35;142790091;10/06/2014;01:42 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.037625532315886, -87.97503172009348];4841 W WOODLAWN CT
36;142780028;10/05/2014;10:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06122041909515, -87.98529763200395];2321 N 58TH ST
37;142780106;10/05/2014;06:23 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.072602539529264, -87.9903135];6217 W GIRARD AV
38;142770062;10/04/2014;10:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08444951154118, -88.00684208381902];7558 W NASH ST
39;142770101;10/04/2014;02:27 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.085204612268456, -87.98962009925536];3733 N 62ND ST
40;142760054;10/03/2014;12:45 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08933463483623, -88.00056993626862];3976 N 71ST ST
41;142940180;10/21/2014;10:01 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00419418734492, -87.95901497013695];2222 S 36TH ST
42;142880080;10/15/2014;03:01 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.975450147636025, -87.95415006750635];3805 S MINER ST
43;142870029;10/14/2014;07:09 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.998254857897166, -87.99009294460173];2544 S 62ND ST
44;142860050;10/13/2014;11:00 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98310486929461, -87.96290003437578];3890 W HOLT AV
45;142770162;10/04/2014;09:32 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.976794644902384, -87.9680335128402];3728 S 43RD ST
46;142760086;10/03/2014;05:25 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98012898499637, -87.9485415289958];3545 S 27TH ST
47;143030098;10/30/2014;04:31 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01021026795259, -87.92826369474783];1300 W BURNHAM ST
48;143020123;10/29/2014;05:27 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00942513627447, -87.92134393681144];1926 S 8TH ST
49;143010020;10/28/2014;06:43 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01697967627768, -87.93057016442707];1400 S 15TH ST
50;143010098;10/28/2014;03:56 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.014348700211954, -87.92692427291996];1200 W LAPHAM BL
51;143000103;10/27/2014;02:11 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.019089500432685, -87.93078341909515];1500 W SCOTT ST
52;142990022;10/26/2014;03:11 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01707553318129, -87.93048133236194];1438 W GREENFIELD AV
53;142940079;10/21/2014;12:57 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01437755510982, -87.9358534765709];1575 S MUSKEGO AV
54;142930111;10/20/2014;04:41 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.015149838190325, -87.93194152596791];1527 S 15TH PL
55;142930113;10/20/2014;04:53 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01808952596791, -87.92837116763806];1308 W MADISON ST
56;142930142;10/20/2014;08:00 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0101294767734, -87.93049363780366];1433 W BURNHAM ST
57;142900034;10/17/2014;09:01 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01014446681874, -87.92459983236193];1009 W BURNHAM ST
58;142900035;10/17/2014;08:16 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01094616763805, -87.93425854818491];1809 S 17TH ST
59;142890021;10/16/2014;06:28 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.006858407438415, -87.93434497403209];2066 S 17TH ST
60;142880125;10/15/2014;08:38 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00151467055227, -87.92608107372014];2361 S 11TH ST
61;142860034;10/13/2014;09:49 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.008722265624016, -87.92357059882266];938 W WINDLAKE AV
62;142860156;10/13/2014;10:10 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01873119900168, -87.92679155539827];1213 S 12TH ST
63;142840017;10/11/2014;03:13 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01804049567216, -87.92450083236193];1013 W MADISON ST
64;142830067;10/10/2014;12:57 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01403991514356, -87.91782494020208];531 W LAPHAM BL
65;142830135;10/10/2014;08:15 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01903646681874, -87.92177383236194];817 W SCOTT ST
66;142820036;10/09/2014;08:43 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0088124657222, -87.93312251009888];1964 S 16TH ST
67;142790158;10/06/2014;07:40 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02162866472386, -87.9330159001677];916 S CESAR E CHAVEZ DR
68;142780125;10/05/2014;08:23 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00129948600596, -87.93073333236194];1426 W HAYES AV
69;142770012;10/03/2014;10:11 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01550900000001, -87.91255593349322];1522 S 2ND ST
70;142740049;10/01/2014;10:46 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02117447157924, -87.92313299999999];918 W MINERAL ST
71;142940057;10/21/2014;11:37 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95944948600598, -87.94465183236193];2328 W LAYTON AV
72;142920079;10/19/2014;02:56 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97791663918866, -87.9338844190665];3656 S 16TH ST
73;142910040;10/18/2014;08:13 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00219741326677, -87.93549593738835];2330 S 18TH ST
74;142910046;10/18/2014;09:48 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.974963884817356, -87.93515393738835];3828 S 17TH ST
75;142870032;10/14/2014;09:18 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.998589303912524, -87.93708647013695];2528 S 19TH ST
