Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
140890155;03/31/2014;01:50 AM;4.0;ROBBERY;;;;;6918 N TEUTONIA AV
140900011;03/31/2014;02:36 AM;5.0;MOTOR VEHICLE THEFT;;;;;4048 N 24TH PL
140900031;03/31/2014;08:35 AM;5.0;MOTOR VEHICLE THEFT;;;;;4006 N 25TH ST
140900054;03/31/2014;09:08 AM;4.0;AGGRAVATED ASSAULT;;;;;5697 N 36TH ST
140900100;03/31/2014;05:14 PM;4.0;ALL OTHER LARCENY;;;;;5945 N 41ST ST
140900102;03/31/2014;05:20 PM;4.0;MOTOR VEHICLE THEFT;;;;;5256 N 38TH ST
140900109;03/31/2014;05:50 PM;7.0;ALL OTHER LARCENY;;;;;4500 W HAMPTON AV
140900138;03/31/2014;08:10 PM;5.0;AGGRAVATED ASSAULT;;;;;1900 W CAPITOL DR
140900138;03/31/2014;08:10 PM;5.0;SIMPLE ASSAULT;;;;;1900 W CAPITOL DR
140900150;03/31/2014;09:21 PM;7.0;ROBBERY;;;;;5156 N 53RD ST
140900151;03/31/2014;09:14 PM;5.0;SIMPLE ASSAULT;;;;;2221 W ROOSEVELT DR
140880026;03/30/2014;01:20 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3313 W CUSTER AV
140890023;03/30/2014;03:44 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3505 W KILEY AV #1
140890031;03/30/2014;05:09 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4156 N 12TH ST
140890056;03/30/2014;10:18 AM;4.0;AGGRAVATED ASSAULT;;;;;4123 W GOOD HOPE RD
140890084;03/30/2014;01:03 PM;5.0;INTIMIDATION;;;;;4403 N 29TH ST
140890103;03/30/2014;09:15 AM;5.0;MOTOR VEHICLE THEFT;;;;;4244 N 27TH ST
140890115;03/30/2014;04:24 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4805 N SHERMAN BL #8
140890124;03/30/2014;06:58 PM;4.0;MOTOR VEHICLE THEFT;;;;;6200 N 35TH ST
140890135;03/30/2014;06:00 PM;;HOMICIDE;;;;;5053 N 37TH ST
140890160;03/30/2014;09:36 PM;7.0;SIMPLE ASSAULT;;;;;4925 N 27TH ST
140880011;03/29/2014;01:14 AM;5.0;AGGRAVATED ASSAULT;;;;;4560 N 22ND ST
140880019;03/29/2014;12:38 AM;4.0;AGGRAVATED ASSAULT;;;;;7155 N 43RD ST
140880020;03/29/2014;02:27 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4060 N 26TH ST
140880060;03/29/2014;10:48 AM;4.0;MOTOR VEHICLE THEFT;;;;;5318 N 29TH ST
140880066;03/29/2014;09:32 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4565 N GREEN BAY AV
140880145;03/29/2014;06:09 PM;4.0;INTIMIDATION;;;;;6523 N 49TH CT
140880152;03/29/2014;03:07 PM;4.0;AGGRAVATED ASSAULT;;;;;6090 N 35TH ST
140880180;03/29/2014;10:35 PM;5.0;AGGRAVATED ASSAULT;;;;;4136 N 27TH ST
140870032;03/28/2014;08:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4923 N TEUTONIA AV
140870074;03/28/2014;10:31 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5457 N LONG ISLAND DR
140870088;03/28/2014;02:58 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4878 N 22ND ST
140870091;03/28/2014;03:00 PM;5.0;AGGRAVATED ASSAULT;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4114 N 22ND ST
140870129;03/28/2014;07:16 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3705 W JUNIPER CT
140870156;03/28/2014;11:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;4001 W VILLARD AV
140870159;03/28/2014;11:30 PM;4.0;MOTOR VEHICLE THEFT;;;;;5261 N 36TH ST
140870162;03/28/2014;09:18 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6031 N 42ND ST
140880001;03/28/2014;11:43 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4963 N 24TH PL
140880006;03/28/2014;11:45 PM;4.0;SIMPLE ASSAULT;;;;;3729 W CLINTON AV
140860016;03/27/2014;12:14 AM;5.0;KIDNAPING;ROBBERY;;;;1960 W ATKINSON AV
140860045;03/27/2014;09:29 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;2332 W FAIRMOUNT AV
140860048;03/27/2014;09:10 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4336 N 17TH ST
140860064;03/27/2014;11:13 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5005 N 23RD ST
140860099;03/27/2014;02:35 PM;5.0;MOTOR VEHICLE THEFT;;;;;1801 W OLIVE ST
140860125;03/27/2014;06:04 PM;5.0;AGGRAVATED ASSAULT;;;;;2232 W CAPITOL DR
140850012;03/26/2014;01:08 AM;4.0;INTIMIDATION;;;;;3600 W SILVER SPRING DR
140850027;03/26/2014;08:04 AM;5.0;SIMPLE ASSAULT;;;;;2621 W RUBY AV
140850044;03/26/2014;09:15 AM;5.0;SIMPLE ASSAULT;;;;;2612 W RUBY AV
140850049;03/26/2014;09:23 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5273 N 38TH ST
140850061;03/26/2014;02:04 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3924-392 W GOOD HOPE RD
140850082;03/26/2014;04:32 PM;4.0;THEFT FROM BUILDING;;;;;6073 N TEUTONIA AV
140850091;03/26/2014;05:51 PM;7.0;THEFT FROM BUILDING;;;;;3500 W MOTHER DANIELS WA
140850098;03/26/2014;06:39 PM;4.0;MOTOR VEHICLE THEFT;;;;;3703 W JUNIPER CT
140850103;03/26/2014;06:23 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4954 N 38TH ST
140850130;03/26/2014;05:26 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3824 W SILVER SPRING DR
140850147;03/26/2014;10:13 PM;4.0;AGGRAVATED ASSAULT;;;;;5640 N 36TH ST
140840017;03/25/2014;07:49 AM;4.0;SIMPLE ASSAULT;;;;;4105 W DOUGLAS AV
140840021;03/25/2014;06:59 AM;7.0;ALL OTHER LARCENY;;;;;4714 N 18TH ST
140840060;03/25/2014;02:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4879 N 21ST ST
140840082;03/25/2014;04:18 PM;4.0;ARSON;;;;;3709 W FLORIST AV
140840115;03/25/2014;02:35 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5304 N TEUTONIA AV
140830007;03/24/2014;01:22 AM;4.0;SIMPLE ASSAULT;;;;;7057 N 37TH ST
140830010;03/24/2014;03:04 AM;7.0;INTIMIDATION;;;;;4202 W HAMPTON AV
140830012;03/24/2014;05:44 AM;4.0;SIMPLE ASSAULT;;;;;5970 N 41ST ST
140830074;03/24/2014;01:27 PM;7.0;AGGRAVATED ASSAULT;;;;;4802 N 36TH ST
140830076;03/24/2014;02:26 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4315 N 17TH ST
140830088;03/24/2014;04:56 PM;5.0;MOTOR VEHICLE THEFT;;;;;2122 W ATKINSON AV
140820022;03/23/2014;03:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;6171 N 35TH ST
140820034;03/23/2014;09:58 AM;4.0;SIMPLE ASSAULT;;;;;7039 N TEUTONIA AV #4
140820062;03/23/2014;01:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4129 W FAIRMOUNT AV
140820069;03/23/2014;03:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4869 N 25TH ST
140920108;03/23/2014;08:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;4835 N HOPKINS ST
140800097;03/22/2014;07:06 AM;7.0;AGGRAVATED ASSAULT;;;;;4740 N PARKWAY AV
