Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
143340021;11/30/2014;02:59 AM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5838 N 41ST ST
143340028;11/30/2014;02:59 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5243 N TEUTONIA AV
143340042;11/30/2014;09:37 AM;5.0;MOTOR VEHICLE THEFT;;;;;2100 W ATKINSON AV
143340050;11/30/2014;10:38 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2921 W HAMPTON AV
143340080;11/30/2014;02:28 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5019 N HOPKINS ST #22
143340084;11/30/2014;03:47 PM;4.0;INTIMIDATION;;;;;5225 N 28TH ST
143340094;11/30/2014;02:48 PM;5.0;ROBBERY;;;;;4248 N 19TH PL
143340102;11/30/2014;07:29 PM;5.0;SIMPLE ASSAULT;;;;;4519 N 21ST ST
143330014;11/29/2014;02:10 AM;7.0;AGGRAVATED ASSAULT;;;;;5173 N 35TH ST
143330014;11/29/2014;02:10 AM;7.0;ARSON;;;;;5173 N 35TH ST
143330018;11/29/2014;02:47 AM;4.0;SIMPLE ASSAULT;;;;;7433 N TEUTONIA AV
143330026;11/29/2014;06:18 AM;5.0;MOTOR VEHICLE THEFT;;;;;2400 W CAPITOL DR
143330069;11/29/2014;11:12 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5011 N 37TH ST
143330115;11/29/2014;11:55 PM;7.0;MOTOR VEHICLE THEFT;;;;;3700 W HAMPTON AV
143330130;11/29/2014;10:33 PM;7.0;THEFT FROM BUILDING;;;;;3709 W VILLARD AV
143320012;11/28/2014;12:02 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2711 W COURTLAND AV
143320045;11/28/2014;08:34 AM;7.0;AGGRAVATED ASSAULT;;;;;4859 N 47TH ST
143320049;11/28/2014;10:46 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4260 N 27TH ST #5
143320059;11/28/2014;11:23 AM;4.0;ROBBERY;;;;;7171 N TEUTONIA AV
143320106;11/28/2014;06:46 PM;7.0;SIMPLE ASSAULT;;;;;5065 N HOPKINS ST #14
143330061;11/28/2014;01:25 PM;4.0;MOTOR VEHICLE THEFT;;;;;5828 N TEUTONIA AV
143300122;11/27/2014;12:55 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5020 W HAMPTON AV
143310034;11/27/2014;09:09 AM;5.0;SHOPLIFTING;;;;;4030 N TEUTONIA AV
143310071;11/27/2014;05:39 PM;7.0;SIMPLE ASSAULT;;;;;5052 N 21ST ST
143310105;11/27/2014;11:11 PM;4.0;SIMPLE ASSAULT;;;;;3414 W FLORIST AV #309
143300011;11/26/2014;12:45 AM;4.0;AGGRAVATED ASSAULT;;;;;5601 N TEUTONIA AV
143300049;11/26/2014;09:23 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5958 N 40TH ST
143300076;11/26/2014;05:16 PM;4.0;MOTOR VEHICLE THEFT;;;;;4231 W MONROVIA WA
143300105;11/26/2014;04:29 PM;4.0;ROBBERY;;;;;3400 W SILVER SPRING DR
143300121;11/26/2014;11:03 PM;5.0;AGGRAVATED ASSAULT;;;;;1986 W CAPITOL DR
143280068;11/25/2014;07:30 AM;7.0;SHOPLIFTING;;;;;2601 W HAMPTON AV
143290053;11/25/2014;11:25 AM;5.0;THEFT FROM BUILDING;;;;;2915 W ROOSEVELT DR
143290056;11/25/2014;01:26 PM;7.0;ROBBERY;;;;;2302 W HAMPTON AV
143290060;11/25/2014;02:18 PM;4.0;ALL OTHER LARCENY;;;;;3700 W KILEY AV
143290075;11/25/2014;04:31 PM;7.0;MOTOR VEHICLE THEFT;;;;;3500 W MOTHER DANIELS WA
143290084;11/25/2014;02:29 PM;7.0;THEFT FROM BUILDING;;;;;5191 N TEUTONIA AV
143290099;11/25/2014;07:16 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4203 N 19TH PL
143290137;11/25/2014;09:46 PM;4.0;SIMPLE ASSAULT;;;;;5733 N 32ND ST
143290139;11/25/2014;09:48 PM;4.0;AGGRAVATED ASSAULT;;;;;6918 N DARIEN ST #3
143290140;11/25/2014;08:29 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4860 N 44TH ST
143290146;11/25/2014;11:34 PM;7.0;MOTOR VEHICLE THEFT;;;;;4852 N 37TH ST
143280014;11/24/2014;02:36 AM;4.0;AGGRAVATED ASSAULT;;;;;5225 N 28TH ST
