Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
143040002;10/31/2014;12:34 AM;4.0;SIMPLE ASSAULT;;;;;5420 N 42ND ST
143040015;10/31/2014;02:57 AM;7.0;ROBBERY;;;;;3927 W VILLARD AV
143040023;10/31/2014;06:43 AM;4.0;AGGRAVATED ASSAULT;;;;;7169 N 42ND ST
143040063;10/31/2014;12:53 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4957 N 46TH ST
143040067;10/31/2014;11:14 AM;4.0;ROBBERY;;;;;5536 N 31ST ST #12
143040084;10/31/2014;02:51 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4640 N 20TH ST
143040084;10/31/2014;02:51 PM;7.0;INTIMIDATION;;;;;4640 N 20TH ST
143040107;10/31/2014;05:17 PM;4.0;SIMPLE ASSAULT;DISORDERLY CONDUCT;;;;6074 N 38TH ST
143040146;10/31/2014;07:39 PM;5.0;PURSE SNATCHING;;;;;4485 N 25TH ST
143040148;10/31/2014;10:57 PM;7.0;MOTOR VEHICLE THEFT;;;;;5025 N 28TH ST
143030051;10/30/2014;11:00 AM;4.0;ALL OTHER LARCENY;;;;;5534 N 32ND ST
143030122;10/30/2014;06:53 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5695 N 37TH ST
143030155;10/30/2014;09:01 PM;5.0;ROBBERY;;;;;2901 W HAMPTON AV
143020030;10/29/2014;08:16 AM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5521 N 39TH ST
143020034;10/29/2014;08:46 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4235 N 24TH ST
143020038;10/29/2014;08:40 AM;4.0;SIMPLE ASSAULT;;;;;4142 W GOOD HOPE RD
143020133;10/29/2014;06:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3733 W DOUGLAS AV
143020134;10/29/2014;02:38 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6860 N 40TH PL
143020146;10/29/2014;07:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;3400 W HOPKINS ST
143020155;10/29/2014;05:25 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5468 N 27TH ST
143020161;10/29/2014;07:28 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4944 N 20TH ST #LWR
143010042;10/28/2014;07:46 AM;4.0;AGGRAVATED ASSAULT;;;;;5712 N TEUTONIA AV
143010076;10/28/2014;10:36 AM;4.0;ALL OTHER LARCENY;;;;;3425 W SILVER SPRING DR
143010091;10/28/2014;02:53 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4041 N 14TH ST
143010126;10/28/2014;05:42 PM;5.0;AGGRAVATED ASSAULT;;;;;4380 N 26TH ST
143010130;10/28/2014;06:32 PM;5.0;THEFT FROM BUILDING;;;;;1801 W OLIVE ST
143010132;10/28/2014;06:41 PM;7.0;THEFT FROM BUILDING;;;;;4715 N 21ST ST
143010162;10/28/2014;09:40 PM;7.0;SIMPLE ASSAULT;;;;;5053 N 37TH ST
143010165;10/28/2014;06:34 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4136 N 24TH PL
