;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;140300027;01/30/2014;07:55 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11845113627447, -87.9513543718912];5542 N 31ST ST
1;140290054;01/29/2014;12:38 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12328332944776, -87.9633338280341];5810 N 41ST ST
2;140280031;01/28/2014;11:09 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.109378884817374, -87.9351523607827];5050 N 19TH PL
3;140280061;01/28/2014;02:10 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.114545031363605, -87.95882863200394];5335 N 37TH ST
4;140280090;01/28/2014;05:42 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
5;140270038;01/27/2014;10:22 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.134776947544566, -87.96587334246082];6448 N 43RD ST
6;140270057;01/27/2014;01:57 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.117356532315895, -87.96045052553522];3815 W SHERIDAN AV
7;140270129;01/27/2014;08:43 PM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11480047013695, -87.94806227699232];2801 W CUSTER AV
8;140260065;01/26/2014;10:25 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10694997446478, -87.96635581692561];4920 N SHERMAN BL
9;140220092;01/22/2014;02:35 PM;7.0;THEFT FROM BUILDING;;;;;[43.10464746047075, -87.96293083236193];4002 W HAMPTON AV
10;140210073;01/21/2014;06:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14577886649552, -87.95604791023702];7039 N TEUTONIA AV
11;140210089;01/21/2014;07:55 PM;5.0;THEFT FROM BUILDING;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
12;140190049;01/19/2014;11:15 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.122672220093506, -87.9633563280341];5754 N 41ST ST
13;140190108;01/19/2014;06:45 PM;5.0;THEFT FROM BUILDING;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST #309
14;140180031;01/18/2014;10:07 AM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09416842670577, -87.93433745855543];1900 W OLIVE ST
15;140180034;01/18/2014;11:21 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.113822277047944, -87.95767227704793];3600 W ROHR AV
16;140160033;01/16/2014;09:38 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10099627087549, -87.94484393037655];4609 N TEUTONIA AV
17;140160053;01/16/2014;11:00 AM;4.0;THEFT FROM BUILDING;;;;;[43.112970754371275, -87.95643162479058];5249 N 35TH ST
18;140140016;01/14/2014;08:33 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10917196863639, -87.96014438631792];5040 N 38TH ST
19;140140025;01/14/2014;10:00 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10828549321932, -87.96266002553523];3938 W FAIRMOUNT AV
20;140140065;01/14/2014;02:22 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11444541326679, -87.95754436078269];5330 N 36TH ST
21;140130032;01/13/2014;08:38 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11790184860515, -87.95060618206304];5541 N TEUTONIA AV
22;140130052;01/13/2014;11:52 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1015132173291, -87.93119875461984];4650 N PARKWAY AV
23;140130145;01/13/2014;09:03 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.097634583192985, -87.92819018019208];1406 W CORNELL ST
24;140090034;01/09/2014;10:20 AM;4.0;THEFT FROM BUILDING;;;;;[43.11194751875457, -87.96058102553522];3812 W VILLARD AV #8
25;140090098;01/09/2014;06:56 PM;7.0;THEFT FROM BUILDING;;;;;[43.110314580904856, -87.9738028607827];5110 N 49TH ST
26;140090101;01/09/2014;05:09 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11645216180969, -87.96464587910455];5436 N 42ND ST
27;140080018;01/08/2014;05:23 AM;5.0;THEFT FROM BUILDING;;;;;[43.08985048600596, -87.94537164308379];2522 W CAPITOL DR #10
