;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;140880066;03/29/2014;09:32 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09974036085386, -87.92887436277952];4565 N GREEN BAY AV
1;140870032;03/28/2014;08:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10696148958399, -87.94792203583566];4923 N TEUTONIA AV
2;140860045;03/27/2014;09:29 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10833951485941, -87.94124083236193];2332 W FAIRMOUNT AV
3;140860064;03/27/2014;11:13 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10844417346644, -87.94042159925536];5005 N 23RD ST
4;140850049;03/26/2014;09:23 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.113420754371276, -87.9600591025736];5273 N 38TH ST
5;140850082;03/26/2014;04:32 PM;4.0;THEFT FROM BUILDING;;;;;[43.12786535290346, -87.95213525031866];6073 N TEUTONIA AV
6;140850091;03/26/2014;05:51 PM;7.0;THEFT FROM BUILDING;;;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
7;140840060;03/25/2014;02:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10615817346644, -87.93809157372014];4879 N 21ST ST
8;140820062;03/23/2014;01:36 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.1082485323159, -87.96482116763806];4129 W FAIRMOUNT AV
9;140820069;03/23/2014;03:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105976947544576, -87.94412765032581];4869 N 25TH ST
10;140800113;03/21/2014;06:39 PM;5.0;AGGRAVATED ASSAULT;THEFT FROM BUILDING;;;;[43.100714739452584, -87.94613604114231];2505 W GLENDALE AV
11;140790069;03/20/2014;11:32 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.096006059380336, -87.94038740492823];2233 W ROOSEVELT DR
12;140770078;03/18/2014;11:08 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.092953381903186, -87.92813393738835];4168 N 14TH ST
13;140760040;03/17/2014;10:14 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08992781180444, -87.94580967372782];2600 W CAPITOL DR
14;140760110;03/17/2014;03:54 PM;7.0;THEFT FROM BUILDING;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
15;140750062;03/16/2014;01:38 PM;7.0;THEFT FROM BUILDING;;;;;[43.10440953563411, -87.94560293060769];2601 W HAMPTON AV
16;140750067;03/16/2014;01:42 PM;5.0;AGGRAVATED ASSAULT;THEFT FROM BUILDING;;;;[43.09777166331023, -87.93545701234925];1965 W LAWRENCE AV
17;140740103;03/15/2014;07:51 PM;7.0;THEFT FROM BUILDING;;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
18;140710034;03/12/2014;06:57 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09372201733751, -87.94681619117013];4238 N 27TH ST
19;140710045;03/12/2014;10:28 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.090431652877115, -87.93917835376055];4030 N TEUTONIA AV
20;140700060;03/11/2014;12:11 PM;4.0;THEFT FROM BUILDING;;;;;[43.145759490429064, -87.95557677138049];7044 N TEUTONIA AV
21;140730049;03/11/2014;11:08 AM;4.0;THEFT FROM BUILDING;;;;;[43.1238237799065, -87.96340009204201];5841 N 41ST ST
22;140690022;03/10/2014;07:20 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09406964363205, -87.93934105929343];4197 N 22ND ST
23;140680115;03/09/2014;07:51 PM;5.0;THEFT FROM BUILDING;;;;;[43.09856843770549, -87.94892710087149];2826 W ATKINSON AV
24;140660070;03/07/2014;12:39 PM;7.0;THEFT FROM BUILDING;;;;;[43.10514152983439, -87.95649333409362];4834 N MOTHER DANIELS WA
25;140650025;03/06/2014;08:20 AM;4.0;THEFT FROM BUILDING;;;;;[43.14128451154119, -87.97073089355993];4614 W GREEN TREE RD
26;140650035;03/06/2014;10:38 AM;4.0;THEFT FROM BUILDING;;;;;[43.11926047489748, -87.95718055536962];3530 W SILVER SPRING DR
27;140650036;03/06/2014;09:20 AM;5.0;THEFT FROM BUILDING;;;;;[43.1004237171793, -87.94666344460173];4564 N 27TH ST #4
28;140650046;03/06/2014;12:44 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
29;140630133;03/05/2014;12:20 AM;5.0;THEFT FROM BUILDING;;;;;[43.090943513157306, -87.93790711076788];2041 W ATKINSON AV #105
30;140640029;03/05/2014;07:48 AM;4.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.12980880099835, -87.95839486078269];6140 N 37TH ST
31;140640083;03/05/2014;04:22 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09842552844941, -87.93826159925536];4465 N 21ST ST
32;140640101;03/05/2014;06:43 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10676007620031, -87.94784234759939];4925 N TEUTONIA AV
33;140630025;03/04/2014;09:35 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12666887196325, -87.96488129511033];4216 W FLORIST AV
34;140630120;03/04/2014;08:30 PM;4.0;THEFT FROM BUILDING;;;;;[43.124592475474394, -87.95013241326677];3006 W BOBOLINK AV #1
35;140600080;03/01/2014;07:37 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.110882586733226, -87.95158159925535];5151 N 31ST ST
36;140890053;03/30/2014;10:22 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.082445838845175, -87.99610061183003];6720 W KEEFE AVENUE PK
37;140860081;03/27/2014;02:11 PM;7.0;THEFT FROM BUILDING;;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
38;140860092;03/27/2014;01:32 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.074299767124565, -87.9911401937502];6309 W APPLETON AV
39;140850150;03/26/2014;09:14 PM;3.0;THEFT FROM BUILDING;;;;;[43.02599250043268, -87.993351];6428 W MAIN ST
40;140840127;03/25/2014;07:23 PM;3.0;THEFT FROM BUILDING;;;;;[43.06065151399403, -87.98212391909516];5501 W NORTH AV
41;140830044;03/24/2014;12:07 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.052085000000005, -87.9811415809335];1619 N 54TH ST
42;140830087;03/24/2014;04:54 PM;7.0;THEFT FROM BUILDING;;;;;[43.07164949495009, -87.97800319747245];5110 W LOCUST ST
43;140830107;03/24/2014;06:41 PM;3.0;THEFT FROM BUILDING;;;;;[43.02741625145711, -87.987422930175];412 S 60TH ST
44;140820053;03/23/2014;01:36 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.068491161809675, -87.98208638631792];2720 N 55TH ST
45;140820100;03/23/2014;07:20 PM;7.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.07644816763806, -87.97971908425171];3157 N 53RD ST
46;140810158;03/22/2014;10:34 PM;3.0;THEFT FROM BUILDING;;;;;[43.03139646047075, -87.997122];6732 W FAIRVIEW AV
47;140790011;03/20/2014;01:18 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0721708878144, -87.99529046491357];6663 W LISBON AV #2
48;140790106;03/20/2014;04:33 PM;3.0;THEFT FROM BUILDING;;;;;[43.038363497114474, -88.02869358194498];9200 W WISCONSIN AV
49;140770112;03/18/2014;03:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.068565812106826, -87.98561355785111];5816 W APPLETON AV
50;140750090;03/16/2014;06:51 PM;3.0;THEFT FROM BUILDING;;;;;[43.02569908575227, -88.01717590230344];500 S 84TH ST
51;140740118;03/15/2014;08:37 PM;3.0;THEFT FROM BUILDING;;;;;[43.03615144604404, -87.99422492200935];6526 W BLUE MOUND RD
52;140740006;03/14/2014;11:03 PM;3.0;THEFT FROM BUILDING;;;;;[43.02955551788918, -87.99084016763805];6229 W DIXON ST
53;140720072;03/13/2014;02:18 PM;3.0;THEFT FROM BUILDING;;;;;[43.02569908575227, -88.01717590230344];500 S 84TH ST
54;140710129;03/12/2014;07:31 PM;3.0;THEFT FROM BUILDING;;;;;[43.067535879776024, -87.97978682487614];2676 N 53RD ST
55;140700016;03/11/2014;04:16 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08832883819031, -88.00595059925536];3909 N 75TH ST
56;140700054;03/11/2014;12:13 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06839760357952, -87.98561553290538];5815 W APPLETON AV
57;140690089;03/10/2014;02:25 PM;3.0;THEFT FROM BUILDING;;;;;[43.05283254674262, -87.98288450291419];5523 W WASHINGTON BL
58;140680079;03/09/2014;04:26 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07238894754457, -87.99738058814687];2955 N 68TH ST
59;140670090;03/08/2014;06:06 PM;7.0;THEFT FROM BUILDING;;;;;[43.08576870079069, -88.00089846713584];7125 W APPLETON AV
60;140670112;03/08/2014;08:28 PM;3.0;THEFT FROM MOTOR VEHICLE;;;;;[43.03872249567218, -87.97778983236194];5101 W WISCONSIN AV
61;140670125;03/08/2014;08:46 PM;3.0;THEFT FROM BUILDING;;;;;[43.02639242716165, -87.98866009497257];530 S 61ST ST
62;140660023;03/07/2014;08:12 AM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.02679163641868, -87.98545806053417];503 S HAWLEY RD
63;140650087;03/06/2014;04:28 PM;7.0;THEFT FROM BUILDING;;;;;[43.06800352596791, -87.97711016472387];5030 W CENTER ST
64;140640044;03/05/2014;10:43 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.07143424562872, -87.98086493738836];2878 N 54TH ST
65;140640084;03/05/2014;03:17 PM;3.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.06800654674262, -87.98551127699231];5801 W CENTER ST
66;140640100;03/05/2014;06:27 PM;3.0;THEFT FROM BUILDING;;;;;[43.03153200447205, -88.00738005770594];135 N 76TH ST
67;140620027;03/03/2014;09:56 AM;3.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.024366341104525, -88.00735154876183];679 S 76TH ST
68;140600049;03/01/2014;12:49 PM;3.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.03687045268045, -87.96429781845481];528 N 40TH ST
69;140600053;03/01/2014;01:45 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.07427886372554, -87.9820516392173];3035 N 55TH ST
70;140600055;03/01/2014;02:27 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08836400000001, -88.00478116085739];3915 N 74TH ST
71;140900047;03/31/2014;10:29 AM;6.0;THEFT FROM BUILDING;;;;;[42.98289496719636, -87.96788333502644];3400 S 43RD ST
72;140890014;03/30/2014;02:55 AM;6.0;THEFT FROM BUILDING;;;;;[42.97399348600598, -87.9784425];5100 W HOWARD AV
73;140880118;03/29/2014;04:16 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.988560117914275, -87.98846981917835];6020 W OKLAHOMA AV
74;140870010;03/28/2014;01:28 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.98629541909517, -88.0188910226497];3191 S 85TH ST
75;140870058;03/28/2014;12:30 PM;6.0;THEFT FROM BUILDING;;;;;[42.97883071928637, -87.99170859738038];6215 W WARNIMONT AV
76;140850089;03/26/2014;05:45 PM;6.0;THEFT FROM BUILDING;;;;;[42.984705397388694, -87.94846638397011];3333 S 27TH ST
77;140850133;03/26/2014;09:26 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.980641994171634, -88.02750542627984];3500 S 92ND ST
78;140840025;03/25/2014;09:29 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.9772934246089, -87.94859075166657];3701 S 27TH ST
79;140830027;03/24/2014;10:22 AM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.97959900000001, -87.96513291574828];3532 S TOLDT CR
80;140800092;03/21/2014;03:36 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.981196493219336, -87.992892];6400 W MORGAN AV
81;140790044;03/20/2014;08:26 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98812549451833, -88.022961];8801 W OKLAHOMA AV
82;140780076;03/19/2014;02:55 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
83;140760130;03/17/2014;06:32 PM;6.0;THEFT FROM BUILDING;;;;;[42.988327473455186, -87.97875202553523];5101 W OKLAHOMA AV
84;140740049;03/15/2014;11:50 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.99506523053909, -87.9579146433685];3500 W FOREST HOME AV
85;140740114;03/15/2014;09:20 PM;6.0;THEFT FROM BUILDING;;;;;[42.98827788224529, -87.97793773420908];5105 W OKLAHOMA AV
86;140730103;03/14/2014;06:39 PM;6.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.98199848124545, -87.99400333236193];6439 W VERONA CT
87;140720124;03/13/2014;07:24 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.999056444630384, -87.9677795448667];2481 S 43RD ST
88;140690114;03/10/2014;02:20 PM;6.0;THEFT FROM BUILDING;;;;;[42.999439228587136, -87.96959022913687];2459 S 43RD ST #103
89;140680124;03/09/2014;10:33 PM;6.0;THEFT FROM BUILDING;;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
90;140670109;03/08/2014;08:19 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.988327473455186, -87.97875202553523];5101 W OKLAHOMA AV
91;140660067;03/07/2014;10:25 AM;6.0;THEFT FROM BUILDING;;;;;[42.98012536940969, -87.96796642570294];3540 S 43RD ST
92;140650077;03/06/2014;03:26 PM;6.0;THEFT FROM BUILDING;;;;;[42.98842948066853, -87.95860106258299];3501 W OKLAHOMA AV
93;140630113;03/04/2014;07:43 PM;6.0;THEFT FROM BUILDING;;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
94;140620018;03/03/2014;08:41 AM;6.0;THEFT FROM BUILDING;;;;;[42.97883071928637, -87.99170859738038];6215 W WARNIMONT AV
95;140610004;03/02/2014;12:36 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98453499599454, -87.95229865136133];3330 S 30TH ST
96;140610009;03/02/2014;01:48 AM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.98453499599454, -87.95229865136133];3330 S 30TH ST
97;140610062;03/02/2014;08:52 PM;6.0;THEFT FROM BUILDING;;;;;[42.98831557494502, -87.96533173883594];3100 S 41ST ST
98;140600090;03/01/2014;09:57 PM;6.0;THEFT FROM MOTOR VEHICLE;;;;;[42.988327473455186, -87.97875202553523];5101 W OKLAHOMA AV
99;140900038;03/31/2014;09:41 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.00288051399403, -87.931944];1521 W LINCOLN AV
100;140900046;03/31/2014;10:16 AM;2.0;THEFT FROM BUILDING;;;;;[43.00294987281737, -87.9224608626252];900 W LINCOLN AV
101;140880046;03/29/2014;08:19 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.000056670552254, -87.92005107372015];2455 S 7TH ST
102;140880070;03/29/2014;11:37 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.020576000000005, -87.93548538242277];1020 S 18TH ST
103;140880179;03/29/2014;09:50 PM;2.0;THEFT FROM BUILDING;;;;;[43.00759870191587, -87.93437952986305];2033 S 17TH ST
104;140870021;03/28/2014;07:01 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.018506, -87.92107642296163];1222 S 8TH ST
105;140870048;03/28/2014;11:23 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.00746213044607, -87.9322249773503];2036 S 15TH PL
106;140870075;03/28/2014;02:15 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.00931745045878, -87.92425106650677];1937 S 10TH ST
107;140870101;03/28/2014;03:06 PM;2.0;THEFT FROM BUILDING;;;;;[43.02182797446477, -87.91684491127621];908 S 5TH ST
108;140860052;03/27/2014;09:52 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.01440866502442, -87.92943862995831];1400 W LAPHAM BL
109;140850037;03/26/2014;10:30 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.006540493219326, -87.93245255245542];1550 W BECHER ST
110;140840030;03/25/2014;09:48 AM;2.0;THEFT FROM BUILDING;;;;;[43.02413665175822, -87.9153536517582];700 S 4TH ST
111;140840061;03/25/2014;01:28 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.01809649321934, -87.92795266763807];1240 W MADISON ST
112;140830125;03/24/2014;08:03 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.00657551875455, -87.93344322300767];1600 W BECHER ST
113;140820070;03/23/2014;03:35 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.999803161809695, -87.92240543738835];2466 S 9TH ST
114;140810109;03/22/2014;04:27 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.00693062753189, -87.9270850461657];2058 S 12TH ST
115;140800084;03/21/2014;02:19 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.00662670191588, -87.93109054818491];2079 S 15TH ST
116;140790134;03/20/2014;07:34 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.99841780099834, -87.92607497013695];2534 S 11TH ST
117;140780128;03/19/2014;07:45 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0179828890289, -87.92304028393619];917 W MADISON ST
118;140760049;03/17/2014;11:55 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.02174566472388, -87.92527289021305];916 S 11TH ST
119;140750059;03/16/2014;01:11 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.002296959461134, -87.91881854876183];2333 S 6TH ST
120;140720039;03/13/2014;10:42 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[42.99574513627445, -87.93359598456367];2690 S 16TH ST
121;140720113;03/13/2014;06:16 PM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.013151953372954, -87.93204050432783];1645 S 15TH PL
122;140720128;03/13/2014;07:36 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02427167490427, -87.91548964584057];400 W PIERCE ST
123;140720132;03/13/2014;06:59 PM;2.0;THEFT FROM BUILDING;;;;;[43.02303199417162, -87.91398241185313];802 S 3RD ST #3
124;140710086;03/12/2014;04:22 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0232214884588, -87.919281];641 W NATIONAL AV
125;140710112;03/12/2014;07:00 PM;2.0;THEFT FROM BUILDING;;;;;[43.02413665175822, -87.9153536517582];700 S 4TH ST
126;140700035;03/11/2014;10:20 AM;2.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.014417150679414, -87.93201907533971];1562 W LAPHAM BL
127;140700053;03/11/2014;11:23 AM;2.0;THEFT FROM BUILDING;;;;;[43.01892108964742, -87.91977802596791];1201 S 7TH ST
128;140690088;03/10/2014;03:48 PM;2.0;THEFT FROM BUILDING;;;;;[43.01427547489748, -87.918003];536 W LAPHAM BL
129;140690099;03/10/2014;04:08 PM;2.0;THEFT FROM BUILDING;;;;;[43.02643216591921, -87.91999500641181];700 W VIRGINIA ST
130;140680004;03/09/2014;12:45 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02382513627447, -87.91396242238471];710 S 3RD ST
131;140680008;03/09/2014;01:48 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0231618380315, -87.91482433803148];327 W NATIONAL AV
132;140680038;03/09/2014;10:44 AM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02413665175822, -87.9153536517582];700 S 4TH ST
133;140680064;03/09/2014;03:40 PM;2.0;THEFT FROM MOTOR VEHICLE;;;;;[43.02382513627447, -87.91396242238471];710 S 3RD ST
