;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;160590043;02/28/2016;09:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
1;160590088;02/28/2016;04:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10489792200934, -87.96666761036386];4805 N SHERMAN BL
2;160580034;02/27/2016;09:13 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.148951270663424, -87.95658008778894];7222 N TEUTONIA AV
3;160580045;02/27/2016;11:01 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14153818792184, -87.9544854927589];6800 N TEUTONIA AV
4;160570088;02/26/2016;04:53 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11157050678067, -87.93619075867045];1981 W VILLARD AV
5;160570095;02/26/2016;07:04 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11923446826101, -87.95424133236193];3310 W SILVER SPRING DR
6;160560041;02/25/2016;11:45 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10539853788447, -87.97888618495031];4828 N 53RD ST
7;160560108;02/25/2016;07:53 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12128749221827, -87.95978899676392];5694 N 38TH ST
8;160550024;02/24/2016;09:49 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.126647293398754, -87.96248404588106];4026 W FLORIST AV
9;160530137;02/22/2016;07:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11214850597263, -87.96336921507316];5206 N HOPKINS ST
10;160510089;02/20/2016;03:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
11;160500036;02/19/2016;08:38 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100993754659754, -87.94476059515867];4614 N TEUTONIA AV
12;160480146;02/17/2016;10:55 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12437741104509, -87.95158658621362];5877 N TEUTONIA AV
13;160470011;02/16/2016;03:16 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12011577990651, -87.96229062479058];5637 N 40TH ST
14;160470046;02/16/2016;02:06 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12895717620306, -87.95224264186731];6151 N TEUTONIA AV
15;160460016;02/15/2016;03:43 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.123695539529244, -87.94840427699232];2835 W ORIOLE DR
16;160460040;02/15/2016;12:58 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11157423113474, -87.94999586359404];5191 N TEUTONIA AV
17;160440018;02/13/2016;03:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10467649321934, -87.95887255536961];3634 W HAMPTON AV
18;160420028;02/11/2016;11:01 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.099589418750256, -87.95057310094603];3010 W ATKINSON AV
19;160460062;02/10/2016;03:42 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11504903136361, -87.95880957372015];5357 N 37TH ST
20;160380114;02/07/2016;07:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.117356532315895, -87.96045052553522];3815 W SHERIDAN AV
21;160360051;02/05/2016;12:15 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12459529078192, -87.94629910085513];2716 W BOBOLINK AV
22;160360070;02/05/2016;02:21 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11483288481736, -87.94631290074464];5354 N 27TH ST
23;160360077;02/05/2016;04:03 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11860441909516, -87.95628011757722];5555 N 35TH ST
24;160360086;02/05/2016;04:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.102755, -87.94912812479058];4709 N 29TH ST
25;160350146;02/04/2016;08:27 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09923544463038, -87.94799959925535];4509 N 28TH ST
26;160350154;02/04/2016;10:06 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14131731211502, -87.97258960909957];4816 W GREEN TREE RD
27;160330180;02/02/2016;09:20 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10586740743841, -87.96501338631792];4856 N 42ND ST
28;160320123;02/01/2016;08:07 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.129494586733216, -87.96093110646872];6125 N 39TH ST
29;160600083;02/29/2016;03:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.071299832361944, -87.9842816281088];2869 N 57TH ST
30;160600107;02/29/2016;05:17 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.082492481245446, -87.9910515];6243 W KEEFE AVENUE PK
