Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
162740003;09/30/2016;12:38 AM;4.0;AGGRAVATED ASSAULT;;;;;6400 N 43RD ST
162740016;09/30/2016;07:02 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4903 N 42ND ST
162740020;09/30/2016;06:51 AM;7.0;ROBBERY;;;;;3200 W HAMPTON AV
162740041;09/30/2016;11:06 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4425 W WOOLWORTH AV
162740048;09/30/2016;12:16 PM;4.0;THEFT FROM BUILDING;;;;;6201 N TEUTONIA AV
162740057;09/30/2016;07:24 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5043 N 41ST ST
162740086;09/30/2016;11:50 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5190 N 35TH ST
162740088;09/30/2016;02:35 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3432 W SILVER SPRING DR
162740115;09/30/2016;08:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4844 N 47TH ST
162740121;09/30/2016;08:26 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4240 W SILVER SPRING DR
162740134;09/30/2016;06:57 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4235 N 29TH ST
162730025;09/29/2016;06:42 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5020 W HAMPTON AV
162730058;09/29/2016;12:40 PM;5.0;MOTOR VEHICLE THEFT;;;;;4224 N 22ND ST
162730116;09/29/2016;06:16 PM;5.0;MOTOR VEHICLE THEFT;;;;;4774 N 31ST ST
162720003;09/28/2016;12:30 AM;;HOMICIDE;;;;;1911 W FAIRMOUNT AV
162720010;09/28/2016;01:24 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5240 N 38TH ST
162720053;09/28/2016;11:34 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4050 N 16TH ST
162720054;09/28/2016;11:07 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5418 N 37TH ST
162720074;09/28/2016;12:21 PM;5.0;AGGRAVATED ASSAULT;;;;;4502 N 28TH ST
162720078;09/28/2016;02:09 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4345 N 24TH PL
162720140;09/28/2016;07:36 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4456 N TEUTONIA AV
162720143;09/28/2016;08:12 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4135 N 13TH ST
162720147;09/28/2016;07:43 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6048 N SHERMAN BL
162720150;09/28/2016;08:14 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;1212 W CAPITOL DR
162720151;09/28/2016;08:14 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;1212 W CAPITOL DR
162730017;09/28/2016;11:46 PM;7.0;ROBBERY;;;;;5163 N 32ND ST
162710013;09/27/2016;01:09 AM;5.0;SIMPLE ASSAULT;;;;;4321 N 19TH PL
162710026;09/27/2016;06:30 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;1432 W CAPITOL DR
162710037;09/27/2016;09:31 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6310 N SHERMAN BL
162710039;09/27/2016;09:41 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4028 N 15TH ST
162710045;09/27/2016;10:24 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1532 W CAPITOL DR
162710055;09/27/2016;12:24 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6073 N TEUTONIA AV
162710066;09/27/2016;01:24 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4253 N 16TH ST
162710075;09/27/2016;01:59 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5861 N 34TH ST
162710078;09/27/2016;12:47 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4057 N 19TH ST #LWR
162710091;09/27/2016;02:13 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2729 W ATKINSON AV
162710091;09/27/2016;02:13 PM;5.0;SIMPLE ASSAULT;;;;;2729 W ATKINSON AV
162710125;09/27/2016;01:45 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4352 N 16TH ST
162710163;09/27/2016;09:32 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1914 W CAPITOL DR #LWR
162710170;09/27/2016;10:42 PM;5.0;MOTOR VEHICLE THEFT;;;;;2620 W CAPITOL DR
162700056;09/26/2016;07:58 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;1916 W CONGRESS ST
162700065;09/26/2016;10:17 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4107 N 25TH ST
162700093;09/26/2016;12:14 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4067 N 26TH ST
162700094;09/26/2016;12:15 PM;4.0;THEFT FROM BUILDING;;;;;5555 N TEUTONIA AV
162700163;09/26/2016;05:23 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5529-#A N 36TH ST
162700195;09/26/2016;06:24 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6806 N 39TH ST #2
162700196;09/26/2016;05:01 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5171 N TEUTONIA AV #3
162710017;09/26/2016;11:31 PM;4.0;AGGRAVATED ASSAULT;;;;;6488 N 40TH ST
162690023;09/25/2016;02:03 AM;4.0;MOTOR VEHICLE THEFT;;;;;4300 W MILL RD
162690026;09/25/2016;01:26 AM;4.0;SIMPLE ASSAULT;;;;;2799 W SILVER SPRING DR
162690030;09/25/2016;12:45 AM;5.0;AGGRAVATED ASSAULT;;;;;4186 N 19TH PL #1
162690074;09/25/2016;10:31 AM;5.0;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2501 W GLENDALE AV
162690082;09/25/2016;11:56 AM;4.0;AGGRAVATED ASSAULT;;;;;4208 W VILLARD AV #6
162690090;09/25/2016;10:32 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4196 N 15TH ST
162690104;09/25/2016;04:22 PM;5.0;INTIMIDATION;;;;;4186 N 19TH PL #1
162690136;09/25/2016;08:08 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3119 W FAIRMOUNT AV
162690156;09/25/2016;10:09 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4856 N 36TH ST
162690157;09/25/2016;09:29 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3126 W FAIRMOUNT AV
162680008;09/24/2016;12:02 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4578 N 29TH ST
162680036;09/24/2016;08:06 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5053 N 31ST ST
162680157;09/24/2016;11:18 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4238 N 21ST ST
162720025;09/24/2016;01:51 AM;4.0;AGGRAVATED ASSAULT;;;;;7222 N TEUTONIA AV
162670014;09/23/2016;02:28 AM;4.0;THEFT FROM BUILDING;;;;;6515 N 49TH CT
162670049;09/23/2016;09:57 AM;5.0;THEFT FROM BUILDING;;;;;2700 W CAPITOL DR
