INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
150310027,01/31/2015,07:52 AM,7,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,8917 W GRANTOSA DR
150310036,01/31/2015,08:10 AM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6415-19 N 91ST ST
150310037,01/31/2015,09:31 AM,7,SIMPLE ASSAULT,,,,,7726 W CENTER ST #2
150310083,01/31/2015,03:20 PM,7,SIMPLE ASSAULT,,,,,7900 W APPLETON AV
150310092,01/31/2015,05:58 PM,7,AGGRAVATED ASSAULT,,,,,8540 W CONGRESS ST #2
150310100,01/31/2015,06:34 PM,7,THEFT FROM MOTOR VEHICLE,,,,,7701 W HAMPTON AV
150310108,01/31/2015,04:49 PM,7,BURGLARY/BREAKING AND ENTERING,,,,,7914 W CENTER ST
150300087,01/30/2015,04:19 PM,7,ROBBERY,,,,,9000 W CHAMBERS ST
150300089,01/30/2015,04:48 PM,4,MOTOR VEHICLE THEFT,,,,,5057 N 105TH ST
150300095,01/30/2015,04:20 PM,7,ROBBERY,,,,,9210 W LISBON AV
150300097,01/30/2015,05:00 PM,4,ROBBERY,,,,,10215 W FOND DU LAC AV
150300104,01/30/2015,06:33 PM,4,ROBBERY,,,,,10831 W PARK PL
150300110,01/30/2015,06:42 PM,4,ROBBERY,,,,,5410 N LOVERS LANE RD
150300130,01/30/2015,09:45 PM,4,MOTOR VEHICLE THEFT,,,,,10111 W APPLETON AV
150290043,01/29/2015,07:17 AM,7,MOTOR VEHICLE THEFT,,,,,3251 N COLONIAL DR
150290052,01/29/2015,08:49 AM,4,SIMPLE ASSAULT,,,,,6658 N BOURBON ST
150290057,01/29/2015,10:30 AM,7,MOTOR VEHICLE THEFT,,,,,9700 W LISBON AV
150290059,01/29/2015,11:09 AM,4,FORCIBLE FONDLING,,,,,
150290075,01/29/2015,11:44 AM,4,INTIMIDATION,,,,,6012 N 114TH ST
