"Track Block",White,"Black or African American","American Indian and Ala Native",Asian,"Native Hawaiian/other Pac Isl","Multiple Race","Other Race",Total
0007002001,19,5,0,0,0,0,0,24
0007002004,49,21,1,0,0,3,2,76
0007002005,30,7,0,0,0,0,1,38
0007001002,6,7,0,0,0,0,0,13
0007001009,32,2,0,0,0,0,0,34
0007003004,0,0,0,0,0,0,0,0
0007001013,40,10,1,0,0,8,1,60
0007003000,528,782,8,13,0,38,27,1396
0007001008,41,8,0,1,0,0,0,50
0007002003,31,21,1,0,0,1,4,58
0007002009,21,10,0,4,0,0,0,35
0007003003,0,0,0,0,0,0,0,0
0007003005,8,3,0,0,0,0,0,11
0007001011,68,12,0,0,0,5,0,85
0007002006,44,16,0,0,0,3,3,66
0007002007,11,10,0,0,0,0,0,21
0007002011,46,5,0,0,0,0,0,51
0007001000,9,0,0,0,0,0,0,9
0007001001,27,10,0,1,0,0,0,38
0007001003,27,11,0,0,0,0,0,38
0007002002,29,7,0,0,0,0,0,36
0007002008,92,20,2,5,0,6,0,125
0007001004,61,15,0,3,0,5,0,84
0007001012,40,1,0,1,0,0,5,47
0007002010,35,6,0,0,0,0,0,41
0007003001,266,325,3,7,1,12,13,627
0007001005,22,19,0,0,0,0,0,41
0007001006,37,15,2,0,0,1,0,55
0007001007,44,17,1,0,0,1,4,67
0007001010,36,0,0,0,0,0,4,40
0007002000,46,17,0,7,0,0,1,71
0007003002,60,117,0,8,0,2,7,194
0007003006,0,3,0,0,0,0,0,3
,,,,,,,,
"Total Records: 34",,,,,,,,
"Census Tract: 700",,,,,,,,
