;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;60580185;02/27/2006;09:45 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10471346768411, -87.96861097446477];4422 W HAMPTON AV #205
1;60580186;02/27/2006;09:04 PM;7.0;MOTOR VEHICLE THEFT;;;[43.1073632828207, -87.93287059925535];4941 N 18TH ST
2;60570034;02/26/2006;09:45 AM;7.0;MOTOR VEHICLE THEFT;;;[43.104254502885524, -87.93305299295953];1825 W HAMPTON AV
3;60570038;02/26/2006;09:17 AM;4.0;MOTOR VEHICLE THEFT;;;[43.117401518754555, -87.95908333236193];3706 W SHERIDAN AV
4;60560099;02/25/2006;10:55 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09739759705858, -87.92728364608215];4430 N GREEN BAY AV
5;60560201;02/25/2006;08:32 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11696499417161, -87.96229538631792];5460 N 40TH ST
6;60530111;02/22/2006;04:14 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11599386372555, -87.96118909925535];5417 N 39TH ST #UPPER
7;60520080;02/21/2006;10:44 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12297707799067, -87.9597639190665];5768 N 38TH ST
8;60510134;02/20/2006;06:25 PM;4.0;MOTOR VEHICLE THEFT;;;[43.14176819927703, -87.95635544791297];6823 N DARIEN ST
9;60510176;02/20/2006;10:08 PM;4.0;MOTOR VEHICLE THEFT;;;[43.14807892985045, -87.96428724869448];7177 N 42ND ST
10;60490081;02/18/2006;12:36 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11183951875456, -87.94689316763807];2708 W VILLARD AV
11;60480035;02/17/2006;09:21 AM;7.0;MOTOR VEHICLE THEFT;;;[43.093547381903164, -87.93928240795799];4176 N 22ND ST
12;60480108;02/17/2006;04:51 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09020782653357, -87.93068543738836];4028 N 16TH ST
13;60470074;02/16/2006;12:16 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12403152345776, -87.95134739546452];5860 N TEUTONIA AV
14;60460112;02/15/2006;03:45 PM;4.0;MOTOR VEHICLE THEFT;;;[43.127310186672446, -87.95205315788738];6031 N TEUTONIA AV
15;60460187;02/15/2006;10:20 PM;7.0;MOTOR VEHICLE THEFT;;;[43.097656409400294, -87.94588588550985];2602 W PORT SUNLIGHT WA
16;60450042;02/14/2006;07:02 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11243128864908, -87.94891998268774];5225 N 29TH ST
17;60450065;02/14/2006;09:08 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10889341909515, -87.94529959925535];5023 N 26TH ST
18;60430006;02/12/2006;12:11 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10530141326677, -87.96266438631791];4830 N 40TH ST
19;60430033;02/12/2006;05:57 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12649631793427, -87.951803718335];6000 N TEUTONIA AV
20;60430158;02/12/2006;07:01 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11758641326679, -87.96462435356932];5500 N 42ND ST
21;60420149;02/11/2006;07:49 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09050653427781, -87.93569854818492];4039 N 19TH PL
22;60410135;02/10/2006;08:08 PM;7.0;MOTOR VEHICLE THEFT;;;[43.09176160032322, -87.9400132048587];4115 N TEUTONIA AV
23;60400054;02/09/2006;09:24 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10471346768411, -87.96861097446477];4422 W HAMPTON AV #204
