;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;71510086;05/31/2007;11:47 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.108821471550584, -87.95401636078269];5024 N 33RD ST
1;71500204;05/30/2007;11:12 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09779212418407, -87.93502490559206];1900 W CORNELL ST
2;71490116;05/29/2007;11:29 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.100714739452584, -87.94612622262045];2501 W GLENDALE AV
3;71470159;05/27/2007;05:39 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11110810595232, -87.94993538434841];5171 N TEUTONIA AV
4;71460020;05/26/2007;02:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12053544714055, -87.95064828510066];5666 N TEUTONIA AV
5;71460049;05/26/2007;09:16 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.099486826533564, -87.9466959190665];4520 N 27TH ST
6;71460111;05/26/2007;01:05 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12338707576896, -87.95140644021564];5823 N TEUTONIA AV
7;71460173;05/26/2007;04:48 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10081476213292, -87.92948182670644];4611 N GREEN BAY AV
8;71440084;05/24/2007;10:20 AM;7.0;MOTOR VEHICLE THEFT;STOLEN PROPERTY OFFENSES;DISORDERLY CONDUCT;ALL OTHER OFFENSES;;[43.092269863725534, -87.934339092042];4131 N 19TH ST
9;71430121;05/23/2007;03:14 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09480593698433, -87.94168000155787];4277 N TEUTONIA AV
10;71420044;05/22/2007;07:37 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.093854031363605, -87.94564962479058];4249 N 26TH ST
11;71410013;05/21/2007;01:14 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12943891049137, -87.96382688832337];4118 W KAUL AV
12;71410196;05/21/2007;07:13 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10646807065238, -87.96144440409189];4900 N 39TH ST
13;71400019;05/20/2007;06:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10532888481737, -87.94532491185313];4836 N 26TH ST
14;71400119;05/20/2007;02:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.125483255632304, -87.96607721153708];5930 N SHERMAN BL
15;71390058;05/19/2007;08:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10276316180969, -87.93410535356932];4708 N 19TH ST
16;71400004;05/19/2007;11:42 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;STOLEN PROPERTY OFFENSES;MOTOR VEHICLE THEFT;;;[43.12649631793427, -87.951803718335];6000 N TEUTONIA AV
17;71400004;05/19/2007;11:42 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12649631793427, -87.951803718335];6000 N TEUTONIA AV
18;71380106;05/18/2007;07:21 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14490051399403, -87.96414077699232];4131 W KILEY AV
19;71380125;05/18/2007;08:39 AM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.10415802553524, -87.94913113200396];4777 N 29TH ST
20;71380216;05/18/2007;05:55 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11929651543634, -87.96134280391252];3904 W SILVER SPRING DR
21;71370056;05/17/2007;07:46 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11869497446477, -87.95502286799605];5560 N 34TH ST
22;71370081;05/17/2007;12:15 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10873949708582, -87.97630434246082];5016 N 51ST BL
23;71370156;05/17/2007;05:24 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09516152264969, -87.94715416763806];2700 W ROOSEVELT DR
24;71370204;05/17/2007;10:02 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.099443282820715, -87.946768092042];4521 N 27TH ST
25;71360095;05/16/2007;10:04 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10817151399405, -87.95383985789717];3231 W FAIRMOUNT AV #LOWER
26;71360166;05/16/2007;05:54 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10581493689976, -87.96057152447953];4865 N HOPKINS ST
27;71350223;05/15/2007;09:56 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1167952828207, -87.95632061757723];5457 N 35TH ST
28;71340125;05/14/2007;10:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13351142219781, -87.95289126766568];6400 N TEUTONIA AV
29;71340135;05/14/2007;01:11 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13673142492354, -87.96464810646873];6539 N 42ND ST
30;71350017;05/14/2007;03:54 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10599505245543, -87.94277235356932];4870 N 24TH PL
31;71330043;05/13/2007;03:13 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104705265431065, -87.95677226543107];3500 W HAMPTON AV
32;71330120;05/13/2007;01:32 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12658429331842, -87.95497583268791];3400 W FLORIST AV
33;71330167;05/13/2007;07:46 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
34;71310091;05/11/2007;01:02 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09280945325739, -87.92604047155058];1204 W HOPE AV
35;71300070;05/10/2007;10:44 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14504383097695, -87.95537837826784];7000 N TEUTONIA AV
36;71290038;05/09/2007;06:18 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14642807242207, -87.97152898447676];4703 W KILEY AV
37;71290144;05/09/2007;04:43 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09499250678069, -87.94527261226844];2521 W ROOSEVELT DR
38;71270035;05/07/2007;07:07 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10735347489747, -87.95428199999999];3300 W CAMERON AV
39;71270069;05/07/2007;09:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111881506203744, -87.96417044892955];4129 W VILLARD AV
40;71280006;05/07/2007;11:49 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14135765150571, -87.95947615293942];6806 N 39TH ST
41;71260028;05/06/2007;02:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10489792200934, -87.96666761036386];4805 N SHERMAN BL
42;71260064;05/06/2007;09:57 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11907951399405, -87.95589227699232];3425 W SILVER SPRING DR
43;71260143;05/06/2007;01:53 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09818393592176, -87.94814410457874];2808 W ATKINSON AV
44;71260149;05/06/2007;05:32 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10461638009928, -87.94420712016763];2500 W HAMPTON AV
45;71270003;05/06/2007;11:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.131288216763124, -87.9523618390862];6300 N TEUTONIA AV
46;71240130;05/05/2007;02:28 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.115343988343255, -87.95389442627985];5374 N 33RD ST
47;71250099;05/05/2007;10:00 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.113979005828384, -87.95883763200395];5305 N 37TH ST
48;71250155;05/05/2007;03:54 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.090431652877115, -87.93917835376055];4030 N TEUTONIA AV
49;71250173;05/05/2007;04:31 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1023770313636, -87.93820160646872];4665 N 21ST ST
50;71250186;05/05/2007;07:52 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08951545325738, -87.92918032944775];1426 W CAPITOL DR
51;71250191;05/05/2007;06:57 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12721719900168, -87.95854759925535];6023 N 37TH ST
