;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;73650151;12/31/2007;08:09 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14868499498744, -87.95648689130235];7200 N TEUTONIA AV
1;73650057;12/30/2007;12:44 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.101559089647424, -87.95175906982499];4633 N 31ST ST
2;73630036;12/29/2007;10:57 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.15339448014892, -87.95837774649408];7463 N TEUTONIA AV
3;73630081;12/29/2007;01:45 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
4;73620049;12/28/2007;09:30 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10457651875456, -87.94488108090484];2520 W HAMPTON AV
5;73620068;12/28/2007;11:43 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11214850597263, -87.96336921507316];5206 N HOPKINS ST
6;73620087;12/28/2007;01:41 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
7;73610062;12/27/2007;08:30 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10472352596791, -87.96977983236194];4522 W HAMPTON AV
8;73610089;12/27/2007;01:56 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.122722481245454, -87.94932308381902];2921 W CARMEN AV
9;73610091;12/27/2007;01:56 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13404446768412, -87.97053175145709];4600 W MILL RD
10;73610097;12/27/2007;02:12 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11342094310118, -87.92561550905968];5313 N MILWAUKEE RIVER PK
11;73610109;12/27/2007;03:29 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10550555498434, -87.95907759554996];4847 N 37TH ST
12;73600070;12/26/2007;11:37 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12172696863641, -87.9597954190665];5708 N 38TH ST
13;73600087;12/26/2007;11:52 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0903892200935, -87.94084388631792];4026 N 23RD ST
14;73600089;12/26/2007;12:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102232161809695, -87.95036387520942];4664 N 30TH ST
15;73600098;12/26/2007;12:34 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11931344451891, -87.95756759060723];3600 W SILVER SPRING DR
16;73600138;12/26/2007;05:44 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10771369608747, -87.93405859925535];4959 N 19TH ST
17;73580052;12/24/2007;11:36 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09618446572222, -87.92803493738836];4356 N 14TH ST
18;73580094;12/24/2007;04:10 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12395058673323, -87.95861968307439];5847 N 37TH ST
19;73580119;12/24/2007;07:13 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.095207202377196, -87.94368604414554];2450 W ROOSEVELT DR
20;73570164;12/23/2007;08:59 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09510847013696, -87.94732033236194];2709 W ROOSEVELT DR
21;73570165;12/23/2007;08:59 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09510847013696, -87.94732033236194];2709 W ROOSEVELT DR
22;73570010;12/22/2007;11:18 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.127357814941675, -87.96352806720955];6044 N 41ST ST
23;73550082;12/21/2007;03:02 PM;4.0;ALL OTHER LARCENY;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11795683819031, -87.96235115753917];5521 N 40TH ST #A
24;73540019;12/20/2007;05:56 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.131222546742606, -87.96017219608748];3815 W DOUGLAS AV
25;73540032;12/20/2007;08:42 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09320563336027, -87.92935343738836];4176 N 15TH ST
26;73540035;12/20/2007;08:54 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10737275437128, -87.97517165753918];4937 N 50TH ST
27;73540168;12/20/2007;09:11 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09401204144455, -87.93434192670576];1901 W OLIVE ST
28;73530072;12/19/2007;12:54 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12848566657546, -87.95219574440435];6125 N TEUTONIA AV
29;73460026;12/18/2007;06:30 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.127766199001684, -87.95852959925536];6049 N 37TH ST
30;73510098;12/17/2007;04:09 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.141212468406195, -87.95940105107044];3825 W GREEN TREE RD
31;73490064;12/15/2007;10:33 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09274249321934, -87.9416229970858];2324 W HOPE AV
32;73480133;12/14/2007;07:56 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10550450678067, -87.97278199942308];4735 W LUSCHER AV
33;73470102;12/13/2007;03:45 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09577891035258, -87.93050641185313];4336 N 16TH ST
34;73470107;12/13/2007;04:14 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09072960753659, -87.93945024871579];4055 N TEUTONIA AV
35;73470158;12/13/2007;09:22 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09105519900169, -87.94197857761527];4059 N 24TH ST
36;73460073;12/12/2007;01:08 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.125764176562456, -87.9660444715966];5948 N SHERMAN BL
37;73460093;12/12/2007;02:42 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09317450678068, -87.93543052553522];1935 W HOPE AV
38;73460138;12/12/2007;07:33 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11711287093892, -87.92533865753917];5481 N 12TH ST
39;73450034;12/11/2007;09:16 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10562683819032, -87.96156110646872];4845 N 39TH ST
40;73450050;12/11/2007;11:36 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11189694678888, -87.94900009147919];2900 W VILLARD AV
41;73440008;12/10/2007;02:00 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.129672916669264, -87.9521983082302];6200 N TEUTONIA AV
42;73440047;12/10/2007;09:46 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.092067842605054, -87.9400393407874];4126 N TEUTONIA AV
43;73440146;12/10/2007;04:53 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.126672150963934, -87.96514689416568];4236 W FLORIST AV
44;73420036;12/08/2007;07:49 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11189694678888, -87.94900009147919];2900 W VILLARD AV
45;73410038;12/07/2007;09:36 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.14405982079429, -87.95700972886189];6961 N 37TH ST
46;73410062;12/07/2007;12:42 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1501640863292, -87.9570260264302];7290 N TEUTONIA AV
47;73410093;12/07/2007;03:47 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.148951270663424, -87.95658008778894];7222 N TEUTONIA AV
