;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;81210067;04/30/2008;05:57 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.147030840960284, -87.95644743577225];7123 N TEUTONIA AV
1;81210153;04/30/2008;01:24 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.118710994171636, -87.96104341185313];5556 N 39TH ST
2;81190105;04/28/2008;01:15 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09670700000001, -87.9366348718912];4356 N 20TH ST
3;81180065;04/27/2008;09:03 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100827500432686, -87.9461235];2600 W GLENDALE AV
4;81170208;04/26/2008;06:51 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10880232944774, -87.95278636799604];5024 N 32ND ST
5;81150061;04/24/2008;10:02 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11214850597263, -87.96336921507316];5206 N HOPKINS ST
6;81150076;04/24/2008;12:10 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11391490590919, -87.9501708961274];5301 N TEUTONIA AV
7;81150166;04/24/2008;09:19 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095051450458755, -87.9330995809335];4249 N 18TH ST
8;81140072;04/23/2008;10:02 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11188648124544, -87.9617835];3903 W VILLARD AV
9;81140073;04/23/2008;10:02 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11188648124544, -87.9617835];3903 W VILLARD AV
10;81140221;04/23/2008;11:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13582013044609, -87.965872907958];6488 N 43RD ST
11;81120020;04/21/2008;02:30 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
12;81130008;04/21/2008;10:44 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.104447511541196, -87.93561205536962];1952 W HAMPTON AV
13;81100150;04/19/2008;05:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111624922243855, -87.97870323847867];5158 N 53RD ST
14;81090103;04/18/2008;02:05 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11644312494789, -87.94624696085502];5436 N 27TH ST
15;81090186;04/18/2008;08:47 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10831151875457, -87.97423033236194];4910 W FAIRMOUNT AV
16;81080206;04/17/2008;02:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.09813599814309, -87.94805873593181];2800 W ATKINSON AV
17;81070041;04/16/2008;07:27 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09179277990651, -87.94467163200395];4107 N 25TH ST
18;81070047;04/16/2008;08:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10473049321934, -87.9741315];4900 W HAMPTON AV
19;81070071;04/16/2008;09:23 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11939250822297, -87.9656815771826];4240 W SILVER SPRING DR
20;81070083;04/16/2008;02:41 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11332130391253, -87.94876334635597];5266 N 29TH ST
21;81060189;04/15/2008;10:43 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.125018045921216, -87.9661302030577];5900 N SHERMAN BL
