Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
082440069;08/31/2008;09:59 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;7123 N TEUTONIA AV
082440142;08/31/2008;04:58 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4340 N 17TH ST
082440165;08/31/2008;08:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4234 W HAMPTON AV
082440167;08/31/2008;07:23 PM;4.0;MOTOR VEHICLE THEFT;;;;;6871 N DARIEN ST #3
082440181;08/31/2008;08:56 PM;7.0;SIMPLE ASSAULT;;;;;2909 W ROOSEVELT DR
082450002;08/31/2008;10:13 PM;4.0;ARSON;;;;;5257 N 33RD ST
082420158;08/30/2008;06:32 PM;4.0;ALL OTHER LARCENY;;;;;5239 N 36TH ST
082430002;08/30/2008;12:36 AM;5.0;PURSE SNATCHING;;;;;4030 N TEUTONIA AV
082430018;08/30/2008;12:52 AM;7.0;ROBBERY;;;;;3927 W VILLARD AV
082430026;08/30/2008;02:01 AM;7.0;ROBBERY;;;;;5015 N 35TH ST
082430125;08/30/2008;03:47 PM;4.0;ROBBERY;;;;;6051 N SHERMAN BL
082430126;08/30/2008;04:44 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5301 N 27TH ST
082430132;08/30/2008;04:57 PM;7.0;MOTOR VEHICLE THEFT;;;;;4830 W FAIRMOUNT AV
082430152;08/30/2008;06:30 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4138 W GOOD HOPE RD
082430181;08/30/2008;07:31 PM;5.0;SIMPLE ASSAULT;;;;;1849 W VILLARD AV
082440005;08/30/2008;11:50 PM;4.0;MOTOR VEHICLE THEFT;;;;;6871 N DARIEN ST
082420025;08/29/2008;03:56 AM;4.0;AGGRAVATED ASSAULT;TRESPASSING;;;;5542 N 31ST ST
082420026;08/29/2008;05:12 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2101 W PURDUE ST
082420096;08/29/2008;01:17 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1969 W HAMPTON AV
082420114;08/29/2008;03:25 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4116 N 21ST ST
082420117;08/29/2008;03:49 PM;4.0;ALL OTHER LARCENY;;;;;5561 N 40TH ST
082420130;08/29/2008;03:08 PM;5.0;AGGRAVATED ASSAULT;;;;;4051 N 19TH ST
082420170;08/29/2008;07:42 PM;7.0;SIMPLE ASSAULT;;;;;4931 N 47TH ST
082420177;08/29/2008;09:02 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3200 W HAMPTON AV
