Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
082130018;07/31/2008;02:02 AM;7.0;AGGRAVATED ASSAULT;;;;;3709 W VILLARD AV
082130045;07/31/2008;05:59 AM;5.0;MOTOR VEHICLE THEFT;;;;;4128 N 20TH ST
082130046;07/31/2008;06:11 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3333 W FLORIST AV
082130092;07/31/2008;01:13 PM;4.0;SIMPLE ASSAULT;;;;;5457 N 39TH ST
082130094;07/31/2008;12:04 PM;5.0;ALL OTHER LARCENY;;;;;1827 W GLENDALE AV
082130096;07/31/2008;12:54 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3000 W CAPITOL DR
082130106;07/31/2008;10:50 AM;5.0;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4020 N GREEN BAY AV
082130180;07/31/2008;12:45 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4238 N 21ST ST
082130184;07/31/2008;07:07 PM;4.0;AGGRAVATED ASSAULT;;;;;7039 N TEUTONIA AV #2
082130188;07/31/2008;06:35 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4117 W FAIRMOUNT AV
082130210;07/31/2008;08:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;3200 W CAMERON AV
082130218;07/31/2008;10:11 PM;5.0;SIMPLE ASSAULT;;;;;1500 W CAPITOL DR
082130221;07/31/2008;11:10 PM;7.0;MOTOR VEHICLE THEFT;;;;;5119 N 38TH ST
082120032;07/30/2008;07:10 AM;5.0;ROBBERY;;;;;4113 N 14TH ST
082120038;07/30/2008;05:51 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5763 N 37TH ST
082120047;07/30/2008;08:11 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4933 N 31ST ST
082120057;07/30/2008;09:01 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3709 W FLORIST AV
082120069;07/30/2008;09:16 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2425 W PURDUE ST
082120073;07/30/2008;09:21 AM;4.0;ALL OTHER LARCENY;;;;;4033 W CUSTER AV
082120090;07/30/2008;08:32 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5150 N 32ND ST
082120106;07/30/2008;05:16 PM;4.0;ALL OTHER LARCENY;;;;;4620 W MILL RD
082120111;07/30/2008;01:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4271 N 27TH ST
082120113;07/30/2008;11:57 AM;5.0;AGGRAVATED ASSAULT;;;;;4127 N 13TH ST
082120152;07/30/2008;12:57 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4332 N 22ND ST
082120158;07/30/2008;04:15 PM;4.0;MOTOR VEHICLE THEFT;;;;;5460 N 37TH ST
082120180;07/30/2008;06:38 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6945 N 41ST ST
082120185;07/30/2008;07:01 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6448 N 43RD ST
082120190;07/30/2008;05:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;4536 N 27TH ST
082120198;07/30/2008;04:18 PM;7.0;AGGRAVATED ASSAULT;;;;;4002 N 34TH ST
082120203;07/30/2008;06:31 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5236 N 29TH ST
082120228;07/30/2008;09:41 PM;4.0;SIMPLE ASSAULT;;;;;6172 N 39TH ST
082120241;07/30/2008;11:19 PM;7.0;SIMPLE ASSAULT;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;3101 W VILLARD AV #2
082120241;07/30/2008;11:19 PM;7.0;SIMPLE ASSAULT;;;;;3101 W VILLARD AV #2
082130011;07/30/2008;11:03 PM;5.0;AGGRAVATED ASSAULT;;;;;1820 W HAMPTON AV
082110032;07/29/2008;04:04 AM;4.0;AGGRAVATED ASSAULT;;;;;5229 N 36TH ST
082110055;07/29/2008;09:28 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4155 N 15TH ST
082110081;07/29/2008;11:59 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3903 W FLORIST AV
082110095;07/29/2008;03:45 AM;;HOMICIDE;;;;;5560 N 33RD ST
082110105;07/29/2008;02:09 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5971 N 39TH ST
082110140;07/29/2008;05:08 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4071 N 24TH ST
082110154;07/29/2008;01:57 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2919 W CAMERON AV
082110156;07/29/2008;04:55 PM;7.0;AGGRAVATED ASSAULT;;;;;2702 W CAPITOL DR
082120004;07/29/2008;11:15 PM;4.0;ALL OTHER LARCENY;;;;;5208 N TEUTONIA AV
082090235;07/28/2008;04:44 AM;4.0;AGGRAVATED ASSAULT;;;;;3001 W SILVER SPRING DR #304
082100019;07/28/2008;12:10 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;MOTOR VEHICLE THEFT;;;;4208 N 16TH ST
082100045;07/28/2008;08:29 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4222 N 14TH ST
082100088;07/28/2008;11:51 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2935 W RUBY AV
082100090;07/28/2008;12:18 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4916 N 51ST BL
082100111;07/28/2008;01:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4070 N 24TH PL
082100156;07/28/2008;04:52 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4520 N 27TH ST
082100206;07/28/2008;08:11 PM;7.0;ALL OTHER LARCENY;;;;;4609 N 28TH ST
082100210;07/28/2008;07:19 PM;4.0;DISORDERLY CONDUCT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5501 N 20TH ST
082100233;07/28/2008;10:46 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;2700 W CAPITOL DR
082100235;07/28/2008;10:14 PM;4.0;SIMPLE ASSAULT;;;;;6049 N 38TH ST
082100237;07/28/2008;09:40 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4501 W VILLARD AV
082100240;07/28/2008;09:12 PM;5.0;SIMPLE ASSAULT;ALL OTHER LARCENY;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;1730 W HAMPTON AV
082110011;07/28/2008;08:04 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2401 W ATKINSON AV
082080156;07/27/2008;02:02 AM;5.0;AGGRAVATED ASSAULT;;;;;1935 W HAMPTON AV
082090052;07/27/2008;05:38 AM;5.0;SIMPLE ASSAULT;;;;;4244 N TEUTONIA AV #22
082090074;07/27/2008;09:00 AM;5.0;SIMPLE ASSAULT;;;;;4857 N 19TH PL #LOWER
082090077;07/27/2008;09:55 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5813 N 38TH ST
082090090;07/27/2008;10:30 AM;4.0;ALL OTHER LARCENY;;;;;3802 W VILLARD AV #6
082090119;07/27/2008;10:07 AM;4.0;MOTOR VEHICLE THEFT;;;;;6830 N 42ND ST
082090120;07/27/2008;02:15 PM;4.0;THEFT FROM BUILDING;;;;;6830 N 42ND ST
082090123;07/27/2008;02:31 PM;5.0;SIMPLE ASSAULT;;;;;4614 N TEUTONIA AV
082090155;07/27/2008;02:30 PM;5.0;THEFT FROM BUILDING;;;;;4868 N 19TH PL
082090166;07/27/2008;04:42 PM;5.0;SIMPLE ASSAULT;;;;;2313 W HAMPTON AV #LWR
082090192;07/27/2008;05:27 PM;4.0;ALL OTHER LARCENY;;;;;4730 W ROCHELLE AV
082100008;07/27/2008;11:33 PM;4.0;AGGRAVATED ASSAULT;;;;;5660 N 43RD ST
082080026;07/26/2008;12:38 AM;7.0;AGGRAVATED ASSAULT;;;;;5068 N HOPKINS ST
082080029;07/26/2008;02:25 AM;4.0;MOTOR VEHICLE THEFT;;;;;5250 N 35TH ST
082080039;07/26/2008;05:45 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5372 N 37TH ST
082080040;07/26/2008;06:35 AM;5.0;MOTOR VEHICLE THEFT;;;;;4039 N 24TH PL
082080067;07/26/2008;10:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;2718 W STARK ST
082080068;07/26/2008;10:01 AM;7.0;ALL OTHER LARCENY;;;;;5119 N 31ST ST
082080099;07/26/2008;01:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5017 N 26TH ST
082080119;07/26/2008;03:09 PM;4.0;SIMPLE ASSAULT;;;;;6028 N 35TH ST
082080134;07/26/2008;05:02 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6400 N 43RD ST
082080144;07/26/2008;05:39 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5061 N 46TH ST
082080147;07/26/2008;06:14 PM;4.0;ALL OTHER LARCENY;;;;;5904 N SHERMAN BL
082080168;07/26/2008;08:42 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3100 W CAPITOL DR
082080175;07/26/2008;09:20 PM;4.0;SIMPLE ASSAULT;;;;;5243 N 38TH ST
082070015;07/25/2008;12:59 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5061 N 35TH ST
082070023;07/25/2008;02:09 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5000 N 35TH ST
082070033;07/25/2008;02:48 AM;7.0;SIMPLE ASSAULT;;;;;5168 N 35TH ST #11
082070041;07/25/2008;01:25 AM;4.0;AGGRAVATED ASSAULT;;;;;5657 N 34TH ST
082070049;07/25/2008;03:05 AM;5.0;MOTOR VEHICLE THEFT;;;;;4050 N 11TH ST
082070071;07/25/2008;08:28 AM;7.0;MOTOR VEHICLE THEFT;;;;;5191 N TEUTONIA AV
082070077;07/25/2008;09:28 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;3118 W FAIRMOUNT AV
082070091;07/25/2008;11:09 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4217 N 26TH ST
082070127;07/25/2008;03:18 PM;5.0;SIMPLE ASSAULT;;;;;4244 N TEUTONIA AV #22
082070142;07/25/2008;04:29 PM;5.0;MOTOR VEHICLE THEFT;;;;;4666 N 20TH ST
