Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
082740005;09/30/2008;12:10 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2501 W HAMPTON AV
082740005;09/30/2008;12:10 AM;5.0;THEFT FROM MOTOR VEHICLE;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2501 W HAMPTON AV
082740042;09/30/2008;04:46 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4340 N 15TH ST
082740045;09/30/2008;06:15 AM;7.0;SIMPLE ASSAULT;LIQUOR LAW VIOLATIONS;;;;5151 N 31ST ST
082740059;09/30/2008;09:04 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4065 N 16TH ST
082740063;09/30/2008;09:21 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2234 W CAPITOL DR
082740086;09/30/2008;08:39 AM;5.0;ROBBERY;;;;;1975 W OLIVE ST
082740087;09/30/2008;11:37 AM;5.0;ALL OTHER LARCENY;;;;;4218 N 25TH ST
082740090;09/30/2008;11:36 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4136 W KAUL AV
082740095;09/30/2008;12:05 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4041 N 23RD ST
082740113;09/30/2008;01:09 PM;4.0;SIMPLE ASSAULT;;;;;5260 N 29TH ST
082740134;09/30/2008;08:24 AM;7.0;ROBBERY;;;;;5001 N SHERMAN BL
082740143;09/30/2008;01:25 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5229 N 33RD ST
082740151;09/30/2008;11:44 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;2432 W CORNELL ST
082740195;09/30/2008;06:37 PM;4.0;ALL OTHER LARCENY;;;;;3800 W MILL RD
082740195;09/30/2008;06:37 PM;4.0;TRESPASSING;ALL OTHER LARCENY;;;;3800 W MILL RD
