;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;92730026;09/30/2009;09:10 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.121790031363616, -87.95986813200395];5713 N 38TH ST
1;92730064;09/30/2009;09:15 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093817480358986, -87.92699789784744];1300 W OLIVE ST
2;92710053;09/28/2009;09:23 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10293519900168, -87.93935862479059];4721 N 22ND ST
3;92700013;09/27/2009;01:48 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.096860511541195, -87.93220997155058];1708 W CONGRESS ST
4;92700134;09/27/2009;07:34 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11018258380988, -87.9394746270244];2226 W LANCASTER AV
5;92690036;09/26/2009;01:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11192849567218, -87.972723];4801 W VILLARD AV
6;92680047;09/25/2009;09:52 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09685045325739, -87.93205247155058];1700 W CONGRESS ST
7;92670059;09/24/2009;09:39 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12648170661272, -87.95980529338728];3801 W FLORIST AV
8;92670148;09/24/2009;05:26 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11079840486167, -87.9588360672589];5140 N 37TH ST
9;92670162;09/24/2009;05:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092917329447744, -87.93189436078269];4162 N 17TH ST
10;92670181;09/24/2009;04:18 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11619283819033, -87.95879165753918];5427 N 37TH ST
11;92660097;09/23/2009;02:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08982951960866, -87.94096693360511];2300 W CAPITOL DR
12;92650027;09/22/2009;07:37 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12127775437128, -87.95260063200395];5711 N 32ND ST
13;92650081;09/22/2009;10:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111298535662776, -87.95270767164877];5150 N 32ND ST
14;92640104;09/21/2009;01:11 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106670659732224, -87.96088000802142];4900 N HOPKINS ST
15;92640138;09/21/2009;03:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09140248124546, -87.93513394463038];1923 W FIEBRANTZ AV
16;92640140;09/21/2009;04:03 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092917329447744, -87.93189436078269];4162 N 17TH ST
17;92640242;09/21/2009;10:42 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111298535662776, -87.95270767164877];5150 N 32ND ST
18;92630061;09/20/2009;07:00 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12271252842076, -87.94799133527613];2819 W CARMEN AV
19;92630155;09/20/2009;08:30 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10837992119433, -87.97547698434117];5026 W FAIRMOUNT AV
20;92610017;09/18/2009;01:46 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09509849567218, -87.94779283236194];2727 W ROOSEVELT DR
21;92610091;09/18/2009;01:59 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.141290312080564, -87.95650422653468];3610 W GREEN TREE RD
22;92610196;09/18/2009;10:58 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12170963918865, -87.9549053280341];5710 N 34TH ST
