;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;93340063;11/30/2009;12:48 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.111169318627724, -87.96293989673391];5174 N HOPKINS ST
1;93340069;11/30/2009;01:09 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10471556897315, -87.95856971285214];3624 W HAMPTON AV
2;93340083;11/30/2009;02:35 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106751482370626, -87.94781360133283];4915 N TEUTONIA AV
3;93340084;11/30/2009;02:39 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.106751482370626, -87.94781360133283];4915 N TEUTONIA AV
4;93340088;11/30/2009;02:59 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.103889806826714, -87.95034234967419];4760 N 30TH ST
5;93330008;11/29/2009;01:33 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14804710625944, -87.96428853190379];7175 N 42ND ST
6;93330014;11/29/2009;02:53 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11189209356113, -87.9514649133917];5200 N 31ST ST
7;93330086;11/29/2009;01:53 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10786800582838, -87.94532112479058];4957 N 26TH ST
8;93330092;11/29/2009;02:45 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10931013610275, -87.93909028313722];5024 N 22ND ST
9;93330156;11/29/2009;07:28 PM;5.0;SIMPLE ASSAULT;THEFT FROM BUILDING;;;;[43.09071224562871, -87.94461384967418];4044 N 25TH ST
10;93320023;11/28/2009;03:32 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10911729297416, -87.95653678219848];5049 N 35TH ST
11;93320036;11/28/2009;08:39 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.141317312115035, -87.95876828656432];3812 W GREEN TREE RD
