;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;103650053;12/31/2010;09:39 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09232363336028, -87.92938493738835];4140 N 15TH ST
1;103650074;12/31/2010;11:32 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09514215072983, -87.92602410664254];4320 N GREEN BAY AV
2;103640039;12/30/2010;10:16 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1462828664955, -87.95620443577224];7061 N TEUTONIA AV
3;103640066;12/30/2010;01:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09687745325738, -87.93299357369149];1736 W CONGRESS ST
4;103640099;12/30/2010;03:41 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09708315762608, -87.94286428380164];4377 N TEUTONIA AV
5;103630009;12/29/2010;12:04 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10293483236194, -87.95035487520941];4716 N 30TH ST #UPR
6;103630111;12/29/2010;12:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14513939494493, -87.95584821276456];7005 N TEUTONIA AV
7;103630147;12/29/2010;05:47 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10410483236194, -87.95034340795799];4774 N 30TH ST
8;103630152;12/29/2010;05:57 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09382621426511, -87.93810241185312];4188 N 21ST ST
9;103620017;12/28/2010;07:40 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10270983236194, -87.95035487520941];4706 N 30TH ST
10;103610001;12/27/2010;12:08 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14732953952926, -87.95897882653355];3731 W ROCHELLE AV
11;103610018;12/27/2010;04:25 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0934492828207, -87.93065006650677];4187 N 16TH ST
12;103610023;12/27/2010;06:35 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.112423828755254, -87.94997339644546];5224 N TEUTONIA AV
13;103610039;12/27/2010;09:28 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091532220093484, -87.94341392627985];4080 N 24TH PL
14;103610079;12/27/2010;02:10 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092414754371276, -87.94347915364402];4143 N 24TH PL
15;103600121;12/26/2010;08:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14269243167027, -87.95673217897118];6864 N DARIEN ST
16;103570101;12/23/2010;03:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12658429331842, -87.95512524325842];3414 W FLORIST AV
17;103550091;12/21/2010;03:39 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111895719767865, -87.94652182217592];2700 W VILLARD AV
18;103540127;12/20/2010;05:57 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.104402511541196, -87.93254216472387];1738 W HAMPTON AV
19;103540150;12/20/2010;07:39 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12679365602056, -87.95604429651904];6010 N 35TH ST #310
20;103550007;12/20/2010;11:10 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.119955341104514, -87.95749909925536];5631 N 36TH ST
21;103510057;12/17/2010;12:48 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110404497085824, -87.96139636078269];5122 N 39TH ST
22;103500051;12/16/2010;08:17 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092765586733236, -87.92323291906649];4152 N 10TH ST
23;103500096;12/16/2010;02:11 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10321366472388, -87.95164635356933];4730 N 31ST ST
24;103490041;12/15/2010;11:36 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09463719900168, -87.93931912089545];4219 N 22ND ST
25;103490058;12/15/2010;01:20 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST #300
26;103490067;12/15/2010;03:01 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1425875004327, -87.96521233236193];4224 W BOEHLKE AV
