;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;101790069;06/28/2010;09:57 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11619283819033, -87.95879165753918];5427 N 37TH ST
1;101780011;06/27/2010;01:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0903892200935, -87.94084388631792];4026 N 23RD ST
2;101780038;06/27/2010;05:08 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12403152345776, -87.95134739546452];5860 N TEUTONIA AV
3;101780072;06/27/2010;11:23 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089797460470756, -87.94178147155058];2328 W CAPITOL DR
4;101780147;06/27/2010;07:02 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11607568027578, -87.9381292488027];5438 N LONG ISLAND DR
5;101740003;06/23/2010;12:07 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.121913443793666, -87.9511305717869];5743 N TEUTONIA AV
6;101740033;06/23/2010;03:09 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.093584220093504, -87.94337342627985];4234 N 24TH PL
7;101710013;06/20/2010;01:49 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09582553427779, -87.92812759925536];4339 N 14TH ST
8;101700047;06/19/2010;08:12 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11214231418432, -87.94994249509524];5208 N TEUTONIA AV
9;101680080;06/17/2010;11:47 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12459046436587, -87.95034930391252];3020 W BOBOLINK AV #3
10;101670046;06/16/2010;09:46 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11244749708581, -87.95147589353127];5222 N 31ST ST
11;101650135;06/14/2010;06:00 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09570187901765, -87.94156672664302];2330 W ROOSEVELT DR
12;101640067;06/13/2010;11:09 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10131474744639, -87.94493012401212];4630 N TEUTONIA AV
13;101630059;06/12/2010;09:02 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.098405988343245, -87.94795397013695];4456 N 28TH ST
14;101630089;06/12/2010;12:17 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12422983819033, -87.96100812479058];5861 N 39TH ST
15;101610066;06/10/2010;10:22 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09432609631252, -87.92686435688755];4230 N 13TH ST
16;101600110;06/09/2010;03:00 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111902497114485, -87.95497997155059];3328 W VILLARD AV
17;101590034;06/08/2010;08:34 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09232363336028, -87.92938493738835];4140 N 15TH ST
18;101590158;06/08/2010;06:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09878355207124, -87.94912564989698];4476 N 29TH ST
19;101540176;06/03/2010;11:55 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090943513157306, -87.93790711076788];2041 W ATKINSON AV
20;101520004;06/01/2010;12:28 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090943513157306, -87.93790711076788];2041 W ATKINSON AV
21;101520059;06/01/2010;10:56 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089937670213466, -87.9470507731148];2700 W CAPITOL DR
22;101520128;06/01/2010;04:58 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10046864550966, -87.94447035047155];4574 N TEUTONIA AV
23;101520191;06/01/2010;09:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14552709686078, -87.96570166532945];7027 N 43RD ST
24;101800078;06/29/2010;11:02 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06067154674261, -87.9834015];5609 W NORTH AV
25;101800168;06/29/2010;09:51 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06018084343555, -87.98088287239963];2265 N 54TH ST
26;101790040;06/28/2010;06:16 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03490383236195, -87.9899705809335];337 N 62ND ST
27;101790062;06/28/2010;09:23 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.079264161809675, -87.98712437520942];3286 N 60TH ST
28;101790206;06/28/2010;06:50 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.060636864274656, -87.9865030443502];5905 W NORTH AV
