Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
103340004;11/30/2010;12:17 AM;5.0;AGGRAVATED ASSAULT;;;;;4503 N 28TH ST
103340009;11/30/2010;01:28 AM;4.0;ROBBERY;;;;;5573 N TEUTONIA AV
103340010;11/30/2010;01:55 AM;5.0;ARSON;;;;;4641 N 27TH ST
103340013;11/30/2010;03:03 AM;5.0;SIMPLE ASSAULT;;;;;2826 W ATKINSON AV #105
103340030;11/30/2010;08:05 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2026 W FAIRMOUNT AV
103340031;11/30/2010;08:13 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4880 N 22ND ST
103340049;11/30/2010;09:23 AM;4.0;ALL OTHER LARCENY;;;;;5266 N 29TH ST
103340050;11/30/2010;10:11 AM;4.0;MOTOR VEHICLE THEFT;;;;;3432 W GREEN TREE RD
103340137;11/30/2010;05:30 PM;5.0;AGGRAVATED ASSAULT;;;;;2643 W ATKINSON AV
103340168;11/30/2010;07:33 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6049 N 38TH ST
103340195;11/30/2010;11:06 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5048 N 35TH ST
103330029;11/29/2010;05:51 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4557 N 24TH ST
103330030;11/29/2010;11:45 AM;7.0;ARSON;;;;;4923 N 46TH ST
103330069;11/29/2010;12:02 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4630 N 32ND ST
103330075;11/29/2010;12:29 PM;4.0;MOTOR VEHICLE THEFT;;;;;6864 N DARIEN ST
103330078;11/29/2010;11:11 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4467 N 28TH ST
103330079;11/29/2010;12:48 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5855 N 34TH ST
103330084;11/29/2010;12:58 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4536 N 27TH ST
103330091;11/29/2010;01:17 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4224 W VILLARD AV
103330095;11/29/2010;02:20 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5882 N 32ND ST #4
103330102;11/29/2010;02:05 PM;4.0;ALL OTHER LARCENY;;;;;5883 N TEUTONIA AV
