Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
130900034;03/31/2013;01:22 AM;4.0;AGGRAVATED ASSAULT;;;;;2801 W CUSTER AV #312
130900063;03/31/2013;11:18 AM;4.0;MOTOR VEHICLE THEFT;;;;;4048 W GREEN TREE RD
130900067;03/31/2013;11:26 AM;5.0;ARSON;;;;;4126 N 22ND ST
130900078;03/31/2013;12:53 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2330 W ROOSEVELT DR #222
130900109;03/31/2013;04:58 PM;4.0;SIMPLE ASSAULT;;;;;5944 N 39TH ST
130900111;03/31/2013;02:54 PM;4.0;INTIMIDATION;;;;;6201-B N TEUTONIA AV
130900129;03/31/2013;05:55 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5456 N 41ST ST
130900157;03/31/2013;09:32 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5676 N 41ST ST
130910002;03/31/2013;11:12 PM;4.0;SIMPLE ASSAULT;;;;;6961 N 37TH ST #APT4
130910003;03/31/2013;11:42 PM;5.0;ARSON;;;;;1405 W CONGRESS ST
130890008;03/30/2013;12:35 AM;7.0;AGGRAVATED ASSAULT;;;;;4972-B N 48TH ST
130890018;03/30/2013;02:03 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4126 N TEUTONIA AV
130890026;03/30/2013;02:56 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4134 W VILLARD AV
130890038;03/30/2013;07:04 AM;4.0;SIMPLE ASSAULT;;;;;5378 N HOPKINS ST
130890053;03/30/2013;10:50 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4828 N 52ND ST
130890056;03/30/2013;10:51 AM;5.0;AGGRAVATED ASSAULT;;;;;4765 N 32ND ST
130890064;03/30/2013;11:16 AM;5.0;THEFT FROM BUILDING;;;;;4544 N 22ND ST
130890086;03/30/2013;03:39 PM;5.0;ROBBERY;;;;;4527 N TEUTONIA AV
130890098;03/30/2013;04:38 PM;4.0;THEFT FROM BUILDING;;;;;3432 W VILLARD AV
130880001;03/29/2013;12:01 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4540 N TEUTONIA AV
130880027;03/29/2013;03:30 AM;;HOMICIDE;;;;;7000 N 43RD ST
130880038;03/29/2013;09:10 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4958 N 40TH ST
130880039;03/29/2013;08:17 AM;4.0;THEFT FROM BUILDING;;;;;5819 N 33RD ST
130880041;03/29/2013;09:22 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4960 N 40TH ST
130880049;03/29/2013;10:29 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4452 N 27TH ST
130880077;03/29/2013;01:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5014 N 39TH ST
130880080;03/29/2013;01:17 PM;7.0;SIMPLE ASSAULT;;;;;4735 W VILLARD AV
130880093;03/29/2013;01:05 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3025 W ORIOLE DR #3
130880094;03/29/2013;03:53 PM;7.0;SIMPLE ASSAULT;;;;;5104 N 20TH ST
130880110;03/29/2013;05:09 PM;5.0;AGGRAVATED ASSAULT;;;;;4147 N 24TH PL #LWR
130870018;03/28/2013;02:24 AM;7.0;SIMPLE ASSAULT;;;;;2912 W FAIRMOUNT AV
130870040;03/28/2013;10:23 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3924 W GOOD HOPE RD #6
130870048;03/28/2013;11:24 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4938 W HAMPTON AV
130870077;03/28/2013;03:13 PM;7.0;SIMPLE ASSAULT;;;;;4816 W EGGERT PL
130870082;03/28/2013;04:27 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5700 N TEUTONIA AV
130870097;03/28/2013;05:01 PM;7.0;ROBBERY;;;;;5130 W HAMPTON AV
130870143;03/28/2013;09:09 PM;7.0;SIMPLE ASSAULT;;;;;4938 W HAMPTON AV
130870151;03/28/2013;10:07 PM;5.0;ROBBERY;;;;;2620 W CAPITOL DR
130860023;03/27/2013;08:37 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4238 N 27TH ST
130860081;03/27/2013;01:57 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5121 N 32ND ST
130860082;03/27/2013;12:24 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4334 N 18TH ST
130860108;03/27/2013;06:23 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5249 N 37TH ST
130860111;03/27/2013;08:04 PM;4.0;INTIMIDATION;;;;;5301 N TEUTONIA AV #105
130860119;03/27/2013;07:15 PM;7.0;INTIMIDATION;;;;;4862 N 42ND ST
130860122;03/27/2013;07:27 PM;7.0;ROBBERY;;;;;4331 W FAIRMOUNT AV
130860123;03/27/2013;07:36 PM;4.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;;5537 N 39TH ST
130860162;03/27/2013;09:28 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4468 N 21ST ST
130860174;03/27/2013;09:57 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5320 N 39TH ST #LWR
130850031;03/26/2013;07:40 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6401 N 43RD ST
130850042;03/26/2013;09:17 AM;4.0;AGGRAVATED ASSAULT;;;;;5422 N 36TH ST
130850043;03/26/2013;10:30 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5021 N 47TH ST
130850049;03/26/2013;08:15 AM;7.0;SIMPLE ASSAULT;;;;;4000 W FAIRMOUNT AV
130850051;03/26/2013;11:08 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5545 N 36TH ST
130850063;03/26/2013;08:09 AM;4.0;INTIMIDATION;;;;;4224 W VILLARD AV #2
130850067;03/26/2013;10:57 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4145 N 23RD ST
130850072;03/26/2013;10:49 AM;4.0;AGGRAVATED ASSAULT;;;;;3500 W VILLARD AVE
130850078;03/26/2013;12:53 PM;4.0;THEFT FROM BUILDING;;;;;6201 N TEUTONIA AV
130850096;03/26/2013;03:15 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5277 N 29TH ST
130840013;03/25/2013;06:23 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;6767 N TEUTONIA AV
130840042;03/25/2013;09:53 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4959 N 50TH ST
130840063;03/25/2013;12:20 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5119 N 31ST ST
130840064;03/25/2013;12:23 PM;7.0;THEFT FROM BUILDING;;;;;4814 N 45TH ST
130840076;03/25/2013;01:14 PM;4.0;ALL OTHER LARCENY;;;;;6155 N 35TH ST
130840088;03/25/2013;01:33 PM;4.0;AGGRAVATED ASSAULT;;;;;5232 N 38TH ST
130840102;03/25/2013;05:50 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5322 N 28TH ST
130840105;03/25/2013;03:17 PM;7.0;SIMPLE ASSAULT;;;;;4800 N TEUTONIA AV
130840129;03/25/2013;06:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5050 N 24TH PL
130840147;03/25/2013;05:50 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6081 N 38TH ST
130840156;03/25/2013;08:17 PM;4.0;SIMPLE ASSAULT;;;;;3707 W GOOD HOPE RD #5
130840158;03/25/2013;06:16 PM;4.0;ROBBERY;;;;;6035 N SHERMAN BL
130830047;03/24/2013;09:04 AM;7.0;MOTOR VEHICLE THEFT;;;;;5022 N 23RD ST
130830070;03/24/2013;12:51 PM;4.0;ALL OTHER LARCENY;;;;;5660 N TEUTONIA AV
130830076;03/24/2013;12:39 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4930 N 24TH PL
130830086;03/24/2013;02:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4918 N 44TH ST
130830088;03/24/2013;02:50 PM;4.0;SIMPLE ASSAULT;;;;;6824 N DARIEN ST #3
130830114;03/24/2013;03:49 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;DISORDERLY CONDUCT;;;;4018 W GOOD HOPE RD
130830134;03/24/2013;05:24 PM;4.0;BURGLARY/BREAKING AND ENTERING;ALL OTHER LARCENY;;;;4808 W MILL RD
130830140;03/24/2013;05:47 PM;7.0;AGGRAVATED ASSAULT;;;;;4909 N 39TH ST #7
130830142;03/24/2013;06:09 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5014 N 47TH ST
130830154;03/24/2013;08:20 PM;5.0;ROBBERY;;;;;2301 W ROOSEVELT DR
130840096;03/24/2013;05:47 PM;7.0;SIMPLE ASSAULT;;;;;4909 N 39TH ST #7
130820040;03/23/2013;09:29 AM;5.0;SIMPLE ASSAULT;;;;;4625 N 24TH ST #UPPER
130820056;03/23/2013;09:52 AM;7.0;ALL OTHER LARCENY;;;;;4949 W VILLARD AV
130820067;03/23/2013;12:46 PM;4.0;SIMPLE ASSAULT;;;;;3900 W GOOD HOPE RD #1
130820075;03/23/2013;02:02 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4107 N 15TH ST
130820085;03/23/2013;02:56 PM;7.0;MOTOR VEHICLE THEFT;;;;;4821 N 21ST ST
130820100;03/23/2013;04:31 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4655 N PARKWAY AV
130820109;03/23/2013;07:44 PM;7.0;ALL OTHER LARCENY;;;;;4000 W HAMPTON AV
130820129;03/23/2013;09:38 PM;5.0;MOTOR VEHICLE THEFT;;;;;2620 W CAPITOL DR
130820132;03/23/2013;09:58 PM;4.0;ROBBERY;;;;;5277 N 38TH ST
130810046;03/22/2013;11:07 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2716 W BOBOLINK AV
