Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
140590047;02/28/2014;02:16 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2450 W FAIRMOUNT AV
140590071;02/28/2014;03:51 PM;5.0;AGGRAVATED ASSAULT;;;;;4362 N 20TH ST
140590079;02/28/2014;04:49 PM;5.0;ROBBERY;;;;;2700 W CAPITOL DR
140590084;02/28/2014;06:31 PM;5.0;SIMPLE ASSAULT;;;;;4172 N 19TH PL #4
140590108;02/28/2014;11:03 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7061 N TEUTONIA AV #204
140580007;02/27/2014;01:34 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6824 N DARIEN ST
140580011;02/27/2014;03:35 AM;5.0;SIMPLE ASSAULT;;;;;4505 N 29TH ST #302
140580017;02/27/2014;07:40 AM;7.0;MOTOR VEHICLE THEFT;;;;;1915 W FAIRMOUNT AV
140580047;02/27/2014;12:14 PM;4.0;MOTOR VEHICLE THEFT;;;;;5942 N SHERMAN BL
140580112;02/27/2014;11:34 PM;7.0;AGGRAVATED ASSAULT;;;;;4800 N TEUTONIA AV
140570009;02/26/2014;01:32 AM;4.0;MOTOR VEHICLE THEFT;;;;;6052 N 41ST ST
140570101;02/26/2014;04:56 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3514 W HAMPTON AV
140570102;02/26/2014;07:52 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4931 N 21ST ST
140560007;02/25/2014;12:42 AM;7.0;ROBBERY;;;;;5165 N SHERMAN BL
140560061;02/25/2014;02:53 PM;4.0;ALL OTHER LARCENY;;;;;5670 N 38TH ST
140560072;02/25/2014;04:23 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4259 N 26TH ST
140560098;02/25/2014;07:35 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4051 N 16TH ST
140560103;02/25/2014;06:32 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4914 N 50TH ST
140550020;02/24/2014;04:42 AM;7.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;TRESPASSING;;;4401 W VILLARD AV #LWR
140550030;02/24/2014;08:41 AM;7.0;ROBBERY;;;;;4320 W EGGERT PL
140550076;02/24/2014;01:25 PM;4.0;MOTOR VEHICLE THEFT;;;;;5936 N SHERMAN BL
140550109;02/24/2014;05:21 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;7200 N TEUTONIA AV
140540019;02/23/2014;02:43 AM;4.0;AGGRAVATED ASSAULT;;;;;3500 W SILVER SPRING DR
140540026;02/23/2014;03:45 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6167 N 39TH ST
140540030;02/23/2014;03:57 AM;4.0;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;DISORDERLY CONDUCT;;;3632 W GOOD HOPE RD #1
140540047;02/23/2014;10:05 AM;7.0;ROBBERY;;;;;4658 N 19TH PL
140540057;02/23/2014;11:41 AM;5.0;MOTOR VEHICLE THEFT;;;;;4424 N 28TH ST
140540064;02/23/2014;01:45 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6012 N SHERMAN BL
140540125;02/23/2014;10:50 PM;7.0;SIMPLE ASSAULT;;;;;5103 N 38TH ST
140530012;02/22/2014;01:01 AM;5.0;AGGRAVATED ASSAULT;;;;;4054 N 19TH ST
140530054;02/22/2014;12:08 PM;7.0;ROBBERY;;;;;4902 N 19TH ST
140530127;02/22/2014;10:11 PM;4.0;SIMPLE ASSAULT;;;;;4222 W THURSTON AV
140520029;02/21/2014;09:58 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;2450 W ROOSEVELT DR
140520043;02/21/2014;11:58 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5834 N 32ND ST
140520075;02/21/2014;02:15 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;2265 W ROHR AV
140520119;02/21/2014;07:28 PM;5.0;ALL OTHER LARCENY;;;;;2729 W ATKINSON AV
140520122;02/21/2014;06:49 PM;4.0;SIMPLE ASSAULT;;;;;3801 W DOUGLAS AV
140510019;02/20/2014;07:34 AM;4.0;MOTOR VEHICLE THEFT;;;;;4101 W KIEHNAU AV
140510026;02/20/2014;06:51 AM;7.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;4920 N 36TH ST
140510082;02/20/2014;02:50 PM;7.0;ROBBERY;;;;;3223 W FAIRMOUNT AV
140510090;02/20/2014;04:32 PM;5.0;THEFT FROM BUILDING;;;;;2700 W CAPITOL DR
140510091;02/20/2014;04:39 PM;4.0;ALL OTHER LARCENY;;;;;3300 W THURSTON AV
140510099;02/20/2014;05:37 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4172 N 14TH ST
140500010;02/19/2014;01:55 AM;4.0;SIMPLE ASSAULT;;;;;5533 N 36TH ST
140500030;02/19/2014;05:53 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4343 N 13TH ST
140500040;02/19/2014;06:50 AM;5.0;MOTOR VEHICLE THEFT;;;;;4383 N 25TH ST
140500050;02/19/2014;10:19 AM;5.0;MOTOR VEHICLE THEFT;;;;;4750 N 30TH ST
140500061;02/19/2014;11:15 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4244 N TEUTONIA AV #25
140500118;02/19/2014;07:22 PM;4.0;MOTOR VEHICLE THEFT;;;;;5448 N 40TH ST
140510003;02/19/2014;11:31 PM;5.0;SIMPLE ASSAULT;;;;;2041 W ATKINSON AV #206
140490072;02/18/2014;03:45 PM;5.0;THEFT FROM BUILDING;;;;;2728 W CAPITOL DR
140490075;02/18/2014;04:09 PM;5.0;MOTOR VEHICLE THEFT;;;;;4074 N TEUTONIA AV
140490078;02/18/2014;04:15 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4054 N 15TH ST
140490114;02/18/2014;08:52 PM;7.0;AGGRAVATED ASSAULT;;;;;3927 W VILLARD AV
140490119;02/18/2014;08:46 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3610 W HAMPTON AV
140500020;02/18/2014;11:56 PM;4.0;SIMPLE ASSAULT;;;;;7170 N TEUTONIA AV
140480032;02/17/2014;09:01 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4055 N 13TH ST
140480034;02/17/2014;09:43 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5130 W HAMPTON AV
140480045;02/17/2014;11:08 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4839 N SHERMAN BL
140480046;02/17/2014;11:58 AM;4.0;MOTOR VEHICLE THEFT;;;;;5882 N 42ND ST
140470009;02/16/2014;12:43 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4502 W HAMPTON AV #2
140470027;02/16/2014;04:32 AM;7.0;AGGRAVATED ASSAULT;;;;;4870 N 20TH ST
140470109;02/16/2014;09:51 PM;5.0;SIMPLE ASSAULT;;;;;4135-A N 10TH ST
140460002;02/15/2014;12:18 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4077 N 12TH ST
140460017;02/15/2014;01:20 AM;7.0;AGGRAVATED ASSAULT;ALL OTHER OFFENSES;;;;4422 W HAMPTON AV #103
140460062;02/15/2014;07:33 AM;4.0;SIMPLE ASSAULT;;;;;5736 N 37TH ST
140460063;02/15/2014;08:54 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6835 N DARIEN ST
140460069;02/15/2014;09:03 AM;7.0;AGGRAVATED ASSAULT;;;;;4903 N 39TH ST #5
140460073;02/15/2014;09:57 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4231 N 24TH PL
140460084;02/15/2014;11:29 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4248 N 19TH ST
140450029;02/14/2014;09:13 AM;4.0;ROBBERY;;;;;6123 N 40TH ST
140450030;02/14/2014;04:07 PM;4.0;ROBBERY;;;;;5920 N 37TH ST
140450031;02/14/2014;10:10 AM;7.0;THEFT FROM BUILDING;;;;;4001 W VILLARD AV
140450077;02/14/2014;03:55 PM;5.0;AGGRAVATED ASSAULT;;;;;4244 N TEUTONIA AV #25
