;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;141190043;04/29/2014;10:21 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11140483819031, -87.9564576503258];5173 N 35TH ST
1;141190140;04/29/2014;08:22 PM;4.0;THEFT FROM BUILDING;;;;;[43.125452161809676, -87.96091583524746];5928 N 39TH ST
2;141190143;04/29/2014;08:37 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09467244463039, -87.93192860646873];4235 N 17TH ST
3;141180070;04/28/2014;01:58 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.0899075337582, -87.95081216472387];3000 W CAPITOL DR
4;141180089;04/28/2014;03:30 PM;5.0;THEFT FROM BUILDING;;;;;[43.09019857507647, -87.92577444460173];4032 N 12TH ST
5;141160075;04/26/2014;12:54 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12936099491562, -87.9521672837547];6180 N TEUTONIA AV
6;141160107;04/26/2014;04:56 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08981144753335, -87.94030110857977];2222 W CAPITOL DR
7;141150047;04/25/2014;11:40 AM;5.0;THEFT FROM BUILDING;;;;;[43.09782200279864, -87.9371658475098];2000 W ROOSEVELT DR
8;141140093;04/24/2014;05:35 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107615199001685, -87.96659907372015];4951 N SHERMAN BL
9;141130059;04/23/2014;01:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12704290105549, -87.96469504041275];6024 N 42ND ST
10;141130119;04/23/2014;08:29 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096354575624716, -87.9440838122224];4356 N 25TH ST
11;141120103;04/22/2014;05:33 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.142444800998334, -87.96437590074464];6852 N 42ND ST
12;141110081;04/21/2014;11:52 AM;4.0;SIMPLE ASSAULT;THEFT FROM BUILDING;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;[43.1254447543713, -87.95736165364403];5935-A N 36TH ST
13;141110100;04/21/2014;02:48 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
14;141090044;04/19/2014;08:31 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09291803136361, -87.94567759925536];4203 N 26TH ST
15;141080020;04/18/2014;01:29 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09974036085386, -87.92887436277952];4565 N GREEN BAY AV
16;141080020;04/18/2014;01:29 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09974036085386, -87.92887436277952];4565 N GREEN BAY AV
17;141080100;04/18/2014;02:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1414812142651, -87.96318638631791];6806 N 41ST ST
18;141080152;04/18/2014;07:23 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.110182903124944, -87.9394958614761];2228 W LANCASTER AV
19;141070053;04/17/2014;10:04 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09512837414156, -87.9417807512842];4290 N TEUTONIA AV
20;141070064;04/17/2014;12:44 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11489740519164, -87.93399747326869];5385 N GREEN BAY AV
21;141060102;04/16/2014;09:08 AM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.10057267003265, -87.93885397971624];2116 W CORNELL ST
22;141050043;04/15/2014;12:35 PM;5.0;THEFT FROM BUILDING;;;;;[43.09476313627445, -87.94681389353127];4292 N 27TH ST
23;141050067;04/15/2014;03:18 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11057752120741, -87.95027283527612];3015 W EGGERT PL
24;141050112;04/15/2014;07:09 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;[43.09071246572222, -87.9356124190665];4046 N 19TH PL
25;141040046;04/14/2014;10:42 AM;4.0;THEFT FROM BUILDING;;;;;[43.119412237404376, -87.95192802422632];3000 W SILVER SPRING DR
26;141040057;04/14/2014;11:47 AM;7.0;THEFT FROM BUILDING;;;;;[43.10326816763808, -87.94051813200394];4737 N 23RD ST
27;141040087;04/14/2014;03:56 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11098310314063, -87.93915554077827];5141 N 22ND ST
28;141040096;04/14/2014;04:32 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.096319057447104, -87.92696112533883];4375 N GREEN BAY AV
29;141040153;04/14/2014;06:08 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14986029359557, -87.95900272311108];3721 W JUNIPER CT
30;141030025;04/13/2014;03:44 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.14845951731226, -87.96457252553522];4209 W GOOD HOPE RD
31;141020061;04/12/2014;01:15 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.08980646047076, -87.94221322009349];2400 W CAPITOL DR
32;141020132;04/12/2014;10:59 PM;5.0;THEFT FROM BUILDING;;;;;[43.093618491257445, -87.93927390463978];4174 N 22ND ST
33;141000054;04/10/2014;11:00 AM;5.0;THEFT FROM BUILDING;;;;;[43.093568536211045, -87.92537008967606];4191 N GREEN BAY AV
34;141000117;04/10/2014;07:28 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11380904302038, -87.95008409002278];5304 N TEUTONIA AV
35;140990035;04/09/2014;09:52 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10987048932419, -87.96286366763806];4010 W LANCASTER AV
36;140990074;04/09/2014;02:32 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09066867055225, -87.9409081392173];4041 N 23RD ST
37;140980066;04/08/2014;12:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10389522519182, -87.9370469708603];4769 N 20TH ST
38;140980101;04/08/2014;03:03 PM;5.0;THEFT FROM BUILDING;;;;;[43.094050491257434, -87.93926596292359];4198 N 22ND ST
39;140970031;04/07/2014;06:28 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1211414970858, -87.96337335356932];5686 N 41ST ST
40;140970048;04/07/2014;10:35 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.0982943938484, -87.94841814472856];2802 W ATKINSON AV
