;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;142540015;08/30/2014;11:57 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11185948124545, -87.95609116763806];3427 W VILLARD AV
1;142410112;08/29/2014;01:58 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.107270539529246, -87.95194127699232];3101 W CAMERON AV
2;142400124;08/28/2014;07:59 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11194652264969, -87.96592333236194];4224 W VILLARD AV
3;142390047;08/27/2014;06:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11157050678067, -87.93619075867045];1981 W VILLARD AV
4;142390061;08/27/2014;08:33 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.106786276992324, -87.97025114643067];4909 N 46TH ST
5;142380046;08/26/2014;07:58 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11245847260564, -87.95512792697325];5230 N 34TH ST
6;142380052;08/26/2014;09:45 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.12009052120741, -87.96552308381904];4231 W REICHERT PL
7;142380096;08/26/2014;01:50 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1200633411045, -87.95749909925536];5635 N 36TH ST
8;142380104;08/26/2014;02:22 PM;5.0;THEFT FROM BUILDING;;;;;[43.0997762828207, -87.946759092042];4537 N 27TH ST
9;142370076;08/25/2014;11:06 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09175607799065, -87.92572388631791];4118 N 12TH ST
10;142360141;08/24/2014;05:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.102979612268456, -87.93297859925535];4719 N 18TH ST
11;142360144;08/24/2014;01:58 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.118603025535236, -87.93760918307439];5585 N LONG ISLAND DR
12;142360149;08/24/2014;06:20 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10912658090484, -87.94522238631792];5032 N 26TH ST
13;142340045;08/22/2014;06:50 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.1254892200935, -87.96329438631791];5930 N 41ST ST
14;142340142;08/22/2014;04:53 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.108189513994034, -87.93336191909516];1815 W FAIRMOUNT AV
15;142340152;08/22/2014;05:47 PM;7.0;THEFT FROM BUILDING;;;;;[43.10473049321934, -87.9741315];4900 W HAMPTON AV
16;142320067;08/20/2014;11:34 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09655419900167, -87.93055759925535];4373 N 16TH ST
17;142320093;08/20/2014;11:55 AM;4.0;THEFT FROM BUILDING;;;;;[43.114391245628724, -87.9599664190665];5326 N 38TH ST
18;142310112;08/19/2014;04:26 PM;7.0;THEFT FROM BUILDING;;;;;[43.10751633527613, -87.97143815032581];4947 N 47TH ST
19;142300067;08/18/2014;11:08 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10312403136362, -87.95295760315051];4765 N 32ND ST
20;142300151;08/18/2014;05:38 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.105954824705634, -87.9409096864799];2336 W LINWAL LA
21;142270160;08/15/2014;08:16 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.11187650678067, -87.95923127699231];3709 W VILLARD AV
22;142260033;08/14/2014;07:07 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12405858673321, -87.95861068307438];5853 N 37TH ST
23;142260170;08/14/2014;08:58 PM;5.0;THEFT FROM BUILDING;;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
24;142250015;08/13/2014;12:02 AM;4.0;THEFT FROM BUILDING;;;;;[43.14145733314082, -87.95480024069451];6811 N TEUTONIA AV
25;142240036;08/12/2014;08:19 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09560945045877, -87.93308060646872];4319 N 18TH ST
26;142240138;08/12/2014;05:29 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11323463203082, -87.963780535085];5226 N HOPKINS ST
27;142250012;08/12/2014;07:22 PM;4.0;THEFT FROM BUILDING;;;;;[43.14364346436589, -87.96123972300768];4010 W VERA AV
28;142230029;08/11/2014;07:26 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10359241909515, -87.9428023607827];4750 N 24TH PL
29;142230034;08/11/2014;08:48 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.115300968636404, -87.95629286410092];5374 N 35TH ST
30;142230053;08/11/2014;10:01 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.09084870191586, -87.9343875337582];4057 N 19TH ST
31;142230092;08/11/2014;09:31 AM;7.0;THEFT FROM BUILDING;;;;;[43.10778524562872, -87.975084407958];4962 N 50TH ST #UPPER
32;142230198;08/11/2014;10:28 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.1065352514571, -87.972679092042];4887 N 48TH ST
33;142220009;08/10/2014;12:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.111878539529265, -87.95779102553523];3541 W VILLARD AV
34;142220044;08/10/2014;08:36 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.116632968636395, -87.95990236078269];5446 N 38TH ST
35;142210049;08/09/2014;08:42 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.11678586372554, -87.95876915753918];5455 N 37TH ST
36;142200075;08/08/2014;01:22 PM;4.0;THEFT FROM BUILDING;;;;;[43.11189694678888, -87.94900009147919];2900 W VILLARD AV
37;142190080;08/07/2014;01:08 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.12144558006813, -87.95103625483263];5719 N TEUTONIA AV
38;142200018;08/07/2014;05:25 PM;4.0;THEFT FROM BUILDING;;;;;[43.12658352986306, -87.96131172300768];3908 W FLORIST AV
39;142180053;08/06/2014;06:11 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09709493742722, -87.94819115668652];2805 W CONGRESS ST
40;142170038;08/05/2014;07:53 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.08968542367896, -87.93447803499687];1900 W CAPITOL DR
41;142160037;08/04/2014;09:04 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;[43.09570187901765, -87.94156672664302];2330 W ROOSEVELT DR
42;142160049;08/04/2014;09:52 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;[43.10957652844942, -87.96656816489582];5075 N SHERMAN BL
43;142160112;08/04/2014;03:30 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.10987386372554, -87.94156115753917];5073 N 24TH ST
44;142160131;08/04/2014;05:22 PM;7.0;THEFT FROM BUILDING;;;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
45;142140127;08/02/2014;05:39 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;[43.13380769726783, -87.97194180273216];4701 W MILL RD
46;142130073;08/01/2014;10:25 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;[43.094484136274474, -87.94681389353127];4276 N 27TH ST
