;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location;Address
0;153040048;10/31/2015;08:59 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12259924562872, -87.96619539353127];5750 N 43RD ST
1;153040130;10/31/2015;06:40 PM;4.0;MOTOR VEHICLE THEFT;;;[43.147657173466456, -87.9656296031505];7141 N 43RD ST
2;153040133;10/31/2015;06:43 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10762590331837, -87.97134457108007];4964 N 47TH ST
3;153020041;10/29/2015;09:41 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10549916180969, -87.94279485356932];4846 N 24TH PL
4;153020055;10/29/2015;10:49 AM;4.0;MOTOR VEHICLE THEFT;;;[43.114310863725535, -87.96003913200396];5325 N 38TH ST
5;153020061;10/29/2015;11:39 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12166707767213, -87.95249932478589];5736 N 32ND ST
6;153020114;10/29/2015;05:17 PM;5.0;MOTOR VEHICLE THEFT;;;[43.090325580904846, -87.94938638184585];4030 N 29TH ST
7;153010029;10/28/2015;07:27 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10988350291419, -87.97264962479058];5073 N 48TH ST
8;153010065;10/28/2015;11:59 AM;5.0;MOTOR VEHICLE THEFT;;;[43.09361086372556, -87.94690910646872];4245 N 27TH ST
9;153000112;10/27/2015;05:22 PM;4.0;MOTOR VEHICLE THEFT;;;[43.14569251399405, -87.95809308090485];3729 W HELENA ST
10;153000129;10/27/2015;06:37 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
11;152990019;10/26/2015;05:55 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12817276715207, -87.9659589390227];6054 N SHERMAN BL
12;152990077;10/26/2015;01:52 PM;4.0;MOTOR VEHICLE THEFT;;;[43.112689522621025, -87.96626588184586];5230 N SHERMAN BL
13;152990166;10/26/2015;09:07 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11313124562872, -87.95998336078269];5256 N 38TH ST
14;152990176;10/26/2015;09:42 PM;4.0;MOTOR VEHICLE THEFT;;;[43.1241694365803, -87.95154803514316];5867 N TEUTONIA AV
15;152980056;10/25/2015;11:34 AM;7.0;MOTOR VEHICLE THEFT;;;[43.10261366325439, -87.93300791733972];4703 N 18TH ST
16;152980086;10/25/2015;03:08 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10641651933149, -87.95652123685748];3500 W MOTHER DANIELS WA
17;152980130;10/25/2015;08:31 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10618416763808, -87.96390013200394];4873 N 41ST ST
18;152970057;10/24/2015;11:16 AM;4.0;MOTOR VEHICLE THEFT;;;[43.12220144379368, -87.95118757900025];5757 N TEUTONIA AV
19;152970074;10/24/2015;01:23 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11258408700891, -87.95645432016074];5237 N 35TH ST
20;152970100;10/24/2015;03:34 PM;4.0;MOTOR VEHICLE THEFT;;;[43.11531841326678, -87.95510386799604];5372 N 34TH ST
21;152970107;10/24/2015;06:25 PM;5.0;MOTOR VEHICLE THEFT;;;[43.09588819900168, -87.93058009925535];4343 N 16TH ST
22;152970117;10/24/2015;07:30 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12055696863641, -87.95615491906649];5662 N 35TH ST
23;152970142;10/24/2015;08:56 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12129432944775, -87.96219638631791];5692 N 40TH ST
24;152970158;10/24/2015;11:19 PM;5.0;MOTOR VEHICLE THEFT;;;[43.098613994171615, -87.95038635356933];4466 N 30TH ST
25;152940129;10/21/2015;03:16 PM;7.0;MOTOR VEHICLE THEFT;;;[43.106282748542895, -87.97261239353128];4876 N 48TH ST
26;152930080;10/20/2015;12:45 PM;7.0;MOTOR VEHICLE THEFT;;;[43.10752449708582, -87.96634534577905];4948 N SHERMAN BL
27;152910026;10/18/2015;05:53 AM;4.0;MOTOR VEHICLE THEFT;;;[43.11313124562872, -87.95998336078269];5256 N 38TH ST
28;152910072;10/18/2015;02:47 PM;5.0;MOTOR VEHICLE THEFT;;;[43.095099199968594, -87.92852185274427];1430 W HAUSER AV
29;152910087;10/18/2015;03:50 PM;4.0;MOTOR VEHICLE THEFT;;;[43.115521506780674, -87.95426441909515];3307 W CUSTER AV
30;152910111;10/18/2015;09:05 PM;4.0;MOTOR VEHICLE THEFT;;;[43.12283307799066, -87.95976286078269];5766 N 38TH ST
31;152910128;10/18/2015;10:44 PM;7.0;MOTOR VEHICLE THEFT;;;[43.106536652316585, -87.9615612541799];4909 N 39TH ST
