Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location
153650003;12/31/2015;12:02 AM;7.0;ROBBERY;;;;2226 W LANCASTER AV
153650017;12/31/2015;05:35 AM;4.0;SIMPLE ASSAULT;;;;3706 W GREEN TREE RD
153650062;12/31/2015;12:50 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4803 N GREEN BAY AV
153650093;12/31/2015;08:02 PM;4.0;ROBBERY;;;;3432 W VILLARD AV
153650106;12/31/2015;09:14 PM;4.0;MOTOR VEHICLE THEFT;;;;6098 N 35TH ST
153650110;12/31/2015;10:27 PM;5.0;SIMPLE ASSAULT;;;;2026 W ATKINSON AV #3
153640002;12/30/2015;12:24 AM;5.0;MOTOR VEHICLE THEFT;;;;4200 N 25TH ST
153640006;12/30/2015;12:36 AM;4.0;AGGRAVATED ASSAULT;;;;5700 N SHERMAN BL
153640015;12/30/2015;03:24 AM;4.0;AGGRAVATED ASSAULT;;;;5349 N 35TH ST
153640027;12/30/2015;08:25 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6916 N TEUTONIA AV
153640043;12/30/2015;10:38 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5862 N 38TH ST
153640056;12/30/2015;02:15 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;6205 N TEUTONIA AV
153640072;12/30/2015;04:11 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5570 N LONG ISLAND DR
153640075;12/30/2015;03:42 PM;5.0;SIMPLE ASSAULT;;;;2826 W ATKINSON AV #102
153630012;12/29/2015;12:42 AM;4.0;INTIMIDATION;;;;5620 N 27TH ST
153630104;12/29/2015;04:18 PM;5.0;ROBBERY;;;;2427 W HOPE AV
153630129;12/29/2015;08:37 PM;4.0;MOTOR VEHICLE THEFT;;;;5662 N 35TH ST
153630143;12/29/2015;09:14 PM;7.0;AGGRAVATED ASSAULT;;;;4806 W HAMPTON AV
153630154;12/29/2015;10:20 PM;5.0;SIMPLE ASSAULT;;;;4765 N 32ND ST #213
153590110;12/28/2015;06:19 PM;5.0;ROBBERY;;;;2000 W CORNELL ST
153620010;12/28/2015;12:45 AM;4.0;INTIMIDATION;;;;4714 W MILL RD
153620040;12/28/2015;06:57 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5035 N 31ST ST
153620079;12/28/2015;12:48 PM;7.0;MOTOR VEHICLE THEFT;;;;4970 N 44TH ST
153620095;12/28/2015;03:11 PM;4.0;MOTOR VEHICLE THEFT;;;;2219 W SILVER SPRING DR
153610011;12/27/2015;12:49 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;5067 N 48TH ST
153610019;12/27/2015;02:10 AM;5.0;MOTOR VEHICLE THEFT;;;;2620 W CAPITOL DR
153610021;12/27/2015;02:34 AM;7.0;AGGRAVATED ASSAULT;;;;3001 W VILLARD AV
153610028;12/27/2015;04:02 AM;4.0;ROBBERY;;;;4225 W REICHERT PL
153610130;12/27/2015;02:00 PM;7.0;AGGRAVATED ASSAULT;;;;1952 W HAMPTON AV
153610137;12/27/2015;03:35 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;4908 N 22ND ST
153610201;12/27/2015;11:19 PM;4.0;MOTOR VEHICLE THEFT;;;;5520 N 38TH ST
153620021;12/27/2015;11:59 PM;4.0;AGGRAVATED ASSAULT;;;;5200 N SHERMAN BL
153600041;12/26/2015;09:11 AM;5.0;MOTOR VEHICLE THEFT;;;;4139 N 22ND ST
153600053;12/26/2015;09:29 AM;7.0;ROBBERY;;;;5037 N 51ST BL
153600102;12/26/2015;03:13 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;1952 W HAMPTON AV #1
153600113;12/26/2015;03:20 PM;4.0;MOTOR VEHICLE THEFT;;;;5500 N 20TH ST
153600116;12/26/2015;05:30 PM;4.0;ROBBERY;;;;5467 N 35TH ST
153600125;12/26/2015;04:59 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5402 N 41ST ST
153600127;12/26/2015;07:43 PM;7.0;MOTOR VEHICLE THEFT;;;;4918 W HAMPTON AV
153600141;12/26/2015;08:43 PM;7.0;ROBBERY;;;;4975 N 19TH ST
153600162;12/26/2015;11:59 PM;7.0;SIMPLE ASSAULT;;;;2000 W HAMPTON AV
153590006;12/25/2015;01:21 AM;5.0;MOTOR VEHICLE THEFT;;;;2002 W ROOSEVELT DR
153590007;12/25/2015;12:30 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;4846 N 40TH ST
153590013;12/25/2015;12:31 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;4538 N 21ST ST
153590032;12/25/2015;03:51 AM;4.0;ROBBERY;;;;3335 W THURSTON AV
153590040;12/25/2015;04:46 AM;4.0;AGGRAVATED ASSAULT;;;;5281 N 28TH ST #LWR
153590043;12/25/2015;07:59 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;3541 W VILLARD AV
153590091;12/25/2015;04:58 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4959 N 46TH ST
153590093;12/25/2015;04:55 PM;5.0;SIMPLE ASSAULT;;;;4630 N 29TH ST #LWR
153590100;12/25/2015;04:39 PM;4.0;SIMPLE ASSAULT;;;;3627 W DOUGLAS AV
153590115;12/25/2015;09:11 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;7149 N 46TH ST
153580005;12/24/2015;01:21 AM;5.0;MOTOR VEHICLE THEFT;;;;4271 N 26TH ST
153580029;12/24/2015;07:19 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4127 N 15TH ST
153580033;12/24/2015;07:42 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5867 N 37TH ST
153580038;12/24/2015;06:40 AM;5.0;MOTOR VEHICLE THEFT;;;;4381 N 16TH ST
153580059;12/24/2015;10:18 AM;5.0;MOTOR VEHICLE THEFT;;;;4221 N 19TH ST
153580093;12/24/2015;12:59 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5317 N 35TH ST
153580098;12/24/2015;01:56 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;4311 N 16TH ST
153580108;12/24/2015;02:56 PM;4.0;AGGRAVATED ASSAULT;;;;5241-B N 31ST ST
153580109;12/24/2015;02:28 PM;7.0;AGGRAVATED ASSAULT;;;;4866 N 48TH ST
153580113;12/24/2015;03:27 PM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5418 N 37TH ST
153580126;12/24/2015;05:05 PM;4.0;MOTOR VEHICLE THEFT;;;;5750 N SHERMAN BL
153580152;12/24/2015;05:55 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;4646 N 30TH ST #LWR
153580156;12/24/2015;07:45 PM;7.0;ARSON;;;;5157 N 39TH ST
153580159;12/24/2015;08:04 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5287 N 28TH ST
153580162;12/24/2015;09:00 PM;7.0;SIMPLE ASSAULT;;;;4513 W VILLARD AV
153580163;12/24/2015;08:16 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;6943 N TEUTONIA AV #1
153590002;12/24/2015;11:18 PM;7.0;AGGRAVATED ASSAULT;;;;4932 N 27TH ST
153560096;12/23/2015;08:36 AM;7.0;MOTOR VEHICLE THEFT;;;;4950 N 40TH ST
153570028;12/23/2015;07:15 AM;4.0;MOTOR VEHICLE THEFT;;;;6098 N 35TH ST
153570039;12/23/2015;07:29 AM;4.0;MOTOR VEHICLE THEFT;;;;3801 W GREEN TREE RD
153570052;12/23/2015;09:57 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4949 N 46TH ST
153570069;12/23/2015;11:29 AM;7.0;MOTOR VEHICLE THEFT;;;;5062 N 22ND ST
153570110;12/23/2015;03:43 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;5053 N 38TH ST
153570111;12/23/2015;03:50 PM;4.0;MOTOR VEHICLE THEFT;;;;6016 N SHERMAN BL
153570121;12/23/2015;03:37 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;5003 N TEUTONIA AV
153570130;12/23/2015;04:55 PM;7.0;ROBBERY;;;;2601 W HAMPTON AV
153570134;12/23/2015;05:58 PM;5.0;AGGRAVATED ASSAULT;;;;2541 W VICTORY LA
153570150;12/23/2015;07:45 PM;5.0;MOTOR VEHICLE THEFT;;;;4533 N TEUTONIA AV
153570156;12/23/2015;07:32 PM;7.0;ROBBERY;;;;2360 W HAMPTON AV
153570160;12/23/2015;08:44 PM;4.0;ROBBERY;;;;1935 W SILVER SPRING DR
153570171;12/23/2015;09:52 PM;7.0;MOTOR VEHICLE THEFT;;;;1981 W VILLARD AV
153560034;12/22/2015;05:35 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4040 N GREEN BAY AV
153560069;12/22/2015;09:57 AM;5.0;SIMPLE ASSAULT;;;;2826 W ATKINSON AV #102
153560100;12/22/2015;12:22 PM;5.0;ALL OTHER LARCENY;;;;2421 W RUBY AV
153560120;12/22/2015;05:57 PM;7.0;AGGRAVATED ASSAULT;;;;4935 N 19TH PL
153560136;12/22/2015;03:07 PM;4.0;SIMPLE ASSAULT;;;;3006 W BOBOLINK AV
153560172;12/22/2015;06:38 PM;5.0;MOTOR VEHICLE THEFT;;;;4051 N 26TH ST
153560193;12/22/2015;07:32 PM;5.0;SIMPLE ASSAULT;;;;4260 N 27TH ST #1
153550012;12/21/2015;01:06 AM;7.0;SIMPLE ASSAULT;;;;5003 N 46TH ST
153550018;12/21/2015;02:22 AM;5.0;MOTOR VEHICLE THEFT;;;;4295 N TEUTONIA AV
153550093;12/21/2015;01:31 PM;7.0;MOTOR VEHICLE THEFT;;;;4800 N 40TH ST
153550175;12/21/2015;06:45 PM;4.0;MOTOR VEHICLE THEFT;;;;5514 N 35TH ST
153550187;12/21/2015;07:09 PM;4.0;ROBBERY;;;;3701 W CUSTER AV
153550192;12/21/2015;07:39 PM;4.0;AGGRAVATED ASSAULT;;;;5956 N 37TH ST
153550216;12/21/2015;10:40 PM;5.0;MOTOR VEHICLE THEFT;;;;4337 N 19TH ST
153540023;12/20/2015;01:22 AM;7.0;ROBBERY;;;;5048 N 35TH ST
153540066;12/20/2015;09:54 AM;5.0;AGGRAVATED ASSAULT;;;;4035 N 15TH ST
153540125;12/20/2015;03:04 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;2456 W CORNELL ST
153540140;12/20/2015;06:19 PM;4.0;MOTOR VEHICLE THEFT;;;;3500 W SILVER SPRING DR
153540158;12/20/2015;08:06 PM;7.0;ROBBERY;;;;4800 N SHERMAN BL
153540171;12/20/2015;09:15 PM;5.0;SIMPLE ASSAULT;;;;4330 N 14TH ST
153530002;12/19/2015;12:25 AM;7.0;SIMPLE ASSAULT;;;;4966 N 37TH ST
153530008;12/19/2015;12:43 AM;7.0;SIMPLE ASSAULT;;;;1800 W HAMPTON AV
153530017;12/19/2015;12:43 AM;7.0;SIMPLE ASSAULT;;;;4771 N 18TH ST
153530021;12/19/2015;03:35 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;2801 W CUSTER AV #116
153530035;12/19/2015;09:01 AM;4.0;MOTOR VEHICLE THEFT;;;;6426 N 51ST ST
153530046;12/19/2015;10:47 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5739 N 34TH ST
153530063;12/19/2015;12:20 PM;7.0;AGGRAVATED ASSAULT;;;;4970 N 36TH ST
153530069;12/19/2015;01:01 PM;5.0;ALL OTHER LARCENY;TRESPASSING;;;4343 N 15TH ST
153530095;12/19/2015;04:58 PM;4.0;MOTOR VEHICLE THEFT;;;;3500 W FLORIST AV
153530138;12/19/2015;10:48 PM;4.0;SIMPLE ASSAULT;;;;5541 N TEUTONIA AV
153520110;12/18/2015;05:17 PM;7.0;ROBBERY;;;;3200 W FAIRMOUNT AV
153520138;12/18/2015;08:09 PM;4.0;ROBBERY;;;;6201 N TEUTONIA AV
153520141;12/18/2015;07:26 PM;4.0;SHOPLIFTING;;;;1935 W SILVER SPRING DR
153510019;12/17/2015;03:51 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4016 W FLORIST AV
153510050;12/17/2015;10:53 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;1985 W HAMPTON AV
153510070;12/17/2015;12:55 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;6063 N TEUTONIA AV
153510096;12/17/2015;03:12 PM;5.0;MOTOR VEHICLE THEFT;;;;2717 W ATKINSON AV
153510104;12/17/2015;03:44 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;4342 N 18TH ST
153510109;12/17/2015;03:58 PM;5.0;AGGRAVATED ASSAULT;;;;3001 W ATKINSON AV
153510117;12/17/2015;05:11 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4330 N 27TH ST
153510174;12/17/2015;09:47 PM;7.0;SIMPLE ASSAULT;;;;5023 N 49TH ST
153510184;12/17/2015;09:50 PM;5.0;AGGRAVATED ASSAULT;;;;4017 N 12TH ST
153510192;12/17/2015;10:19 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;4420 W FAIRMOUNT AV
153500008;12/16/2015;01:08 AM;7.0;MOTOR VEHICLE THEFT;;;;4803 N GREEN BAY AV
153500105;12/16/2015;03:03 PM;7.0;MOTOR VEHICLE THEFT;;;;5126 N 50TH ST
153500114;12/16/2015;04:19 PM;5.0;MOTOR VEHICLE THEFT;;;;1420 W HAUSER AV
153500115;12/16/2015;03:56 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;5403 N LONG ISLAND DR #UPR
153500131;12/16/2015;06:09 PM;4.0;SIMPLE ASSAULT;;;;5707 N 37TH ST
153500141;12/16/2015;07:00 PM;4.0;AGGRAVATED ASSAULT;;;;5234 N TEUTONIA AV #APT3
