Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Location
153040032;10/31/2015;03:15 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4055 N TEUTONIA AV
153040047;10/31/2015;09:25 AM;4.0;THEFT FROM MOTOR VEHICLE;;;4142 W GOOD HOPE RD
153040048;10/31/2015;08:59 AM;4.0;MOTOR VEHICLE THEFT;;;5750 N 43RD ST
153040058;10/31/2015;10:32 AM;4.0;THEFT FROM MOTOR VEHICLE;;;4431 W KILEY AV
153040067;10/31/2015;11:22 AM;4.0;THEFT FROM MOTOR VEHICLE;;;4529 W KILEY AV
153040120;10/31/2015;05:29 PM;5.0;PURSE SNATCHING;;;4424 N 25TH ST
153040126;10/31/2015;02:44 PM;7.0;SIMPLE ASSAULT;;;4844 N 22ND ST
153040130;10/31/2015;06:40 PM;4.0;MOTOR VEHICLE THEFT;;;7141 N 43RD ST
153040133;10/31/2015;06:43 PM;7.0;MOTOR VEHICLE THEFT;;;4964 N 47TH ST
153040134;10/31/2015;07:07 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4819 W LUSCHER AV
153040156;10/31/2015;09:58 PM;5.0;ROBBERY;;;4127 N 16TH ST
153030061;10/30/2015;11:09 AM;4.0;ROBBERY;;;1935 W SILVER SPRING DR
153030073;10/30/2015;12:31 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;5071 N 23RD ST
153030074;10/30/2015;01:16 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5174 N HOPKINS ST
153030085;10/30/2015;12:49 PM;4.0;THEFT FROM MOTOR VEHICLE;;;6001 N TEUTONIA AV
153030118;10/30/2015;07:15 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;4070 N 20TH ST
153030120;10/30/2015;07:42 PM;5.0;ROBBERY;;;4109 N 20TH ST
153030148;10/30/2015;10:46 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;5428 N 36TH ST
153040010;10/30/2015;11:59 PM;4.0;INTIMIDATION;;;2800 W BOBOLINK AV #16
153020025;10/29/2015;03:47 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;5112 N 37TH ST
153020039;10/29/2015;08:12 AM;4.0;THEFT FROM MOTOR VEHICLE;;;5420 N 42ND ST
153020041;10/29/2015;09:41 AM;7.0;MOTOR VEHICLE THEFT;;;4846 N 24TH PL
153020054;10/29/2015;09:48 AM;7.0;THEFT FROM MOTOR VEHICLE;;;4834 N MOTHER DANIELS WA
153020055;10/29/2015;10:49 AM;4.0;MOTOR VEHICLE THEFT;;;5325 N 38TH ST
153020061;10/29/2015;11:39 AM;4.0;MOTOR VEHICLE THEFT;;;5736 N 32ND ST
153020093;10/29/2015;12:11 PM;4.0;THEFT FROM MOTOR VEHICLE;;;3744 W GREEN TREE RD
153020094;10/29/2015;01:17 PM;4.0;ROBBERY;;;3030 W VILLARD AV
153020114;10/29/2015;05:17 PM;5.0;MOTOR VEHICLE THEFT;;;4030 N 29TH ST
153020167;10/29/2015;10:12 PM;4.0;AGGRAVATED ASSAULT;;;5541 N TEUTONIA AV
153010026;10/28/2015;06:45 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4519 N 20TH ST
153010029;10/28/2015;07:27 AM;7.0;MOTOR VEHICLE THEFT;;;5073 N 48TH ST
153010044;10/28/2015;07:45 AM;7.0;AGGRAVATED ASSAULT;;;2027 W COLFAX PL
153010046;10/28/2015;08:06 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;1916 W BIRCH CT
153010065;10/28/2015;11:59 AM;5.0;MOTOR VEHICLE THEFT;;;4245 N 27TH ST
153010080;10/28/2015;01:42 PM;5.0;THEFT FROM MOTOR VEHICLE;;;4337 N 19TH ST
153010111;10/28/2015;12:42 PM;5.0;THEFT FROM MOTOR VEHICLE;;;4768 N 30TH ST
153010157;10/28/2015;08:44 PM;5.0;ROBBERY;;;2041 W ATKINSON AV
152990156;10/27/2015;01:35 AM;7.0;AGGRAVATED ASSAULT;;;4001 W VILLARD AV
153000032;10/27/2015;08:55 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;5466 N 38TH ST
153000056;10/27/2015;11:57 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4118 W GOOD HOPE RD
153000075;10/27/2015;01:08 PM;4.0;SHOPLIFTING;;;1935 W SILVER SPRING DR
153000094;10/27/2015;04:13 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;4452 N 28TH ST
153000111;10/27/2015;04:46 PM;5.0;SIMPLE ASSAULT;;;2027 W ATKINSON AV #202
153000112;10/27/2015;05:22 PM;4.0;MOTOR VEHICLE THEFT;;;3729 W HELENA ST
153000129;10/27/2015;06:37 PM;7.0;MOTOR VEHICLE THEFT;;;3500 W MOTHER DANIELS WA
153000143;10/27/2015;06:43 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;4191 N GREEN BAY AV
153000181;10/27/2015;08:48 PM;4.0;SIMPLE ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;5224 N 36TH ST
153010003;10/27/2015;11:05 PM;7.0;ROBBERY;;;4956 N 19TH PL
153010005;10/27/2015;06:22 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;4267 N TEUTONIA AV #2
152990019;10/26/2015;05:55 AM;4.0;MOTOR VEHICLE THEFT;;;6054 N SHERMAN BL
152990044;10/26/2015;11:14 AM;7.0;THEFT FROM BUILDING;;;4834 N MOTHER DANIELS WA
152990077;10/26/2015;01:52 PM;4.0;MOTOR VEHICLE THEFT;;;5230 N SHERMAN BL
