;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Location;Address
0;151190085;04/29/2015;01:41 PM;5.0;THEFT FROM BUILDING;;;;[43.089892468520816, -87.93625382763007];1960 W ATKINSON AV
1;151170068;04/27/2015;12:23 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.099781894854544, -87.94920589876345];4543 N 29TH ST
2;151150060;04/25/2015;11:50 AM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09367386372554, -87.94691163589908];4231 N 27TH ST
3;151140085;04/24/2015;02:03 PM;5.0;THEFT FROM BUILDING;;;;[43.09399677367502, -87.93350891822978];1801 W OLIVE ST
4;151120091;04/22/2015;02:40 PM;5.0;THEFT FROM MOTOR VEHICLE;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;[43.09306138190317, -87.92813491185314];4172 N 14TH ST
5;151110145;04/21/2015;06:56 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11325699417162, -87.95756588631792];5260 N 36TH ST
6;151100140;04/20/2015;06:26 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.093106214265106, -87.93813497013694];4164 N 21ST ST
7;151090083;04/19/2015;01:32 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.15132464778698, -87.95769584142163];7343 N TEUTONIA AV
8;151050046;04/15/2015;10:55 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.160162376968444, -87.94714607438186];7835 N GREEN BAY RD
9;151050121;04/15/2015;05:12 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.09390786372555, -87.94691008093349];4259 N 27TH ST
10;151030178;04/13/2015;03:42 PM;5.0;THEFT FROM BUILDING;;;;[43.09026442492353, -87.92585107703836];4041 N 12TH ST
11;151030216;04/13/2015;11:26 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.12823968246633, -87.96517500497214];4231 W MONROVIA WA
12;151000031;04/10/2015;08:13 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.11403401165677, -87.95403756261165];5311 N 33RD ST
13;151000035;04/10/2015;09:23 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;[43.13131829935657, -87.9584732993566];3700 W DOUGLAS AV
