;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;163050022;10/31/2016;08:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.102889580904844, -87.93532485356933];4712 N 19TH PL
1;163050040;10/31/2016;10:16 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11421754616569, -87.92918044463038];1503 W LAWN AV
2;163040127;10/30/2016;04:12 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11871283819033, -87.96232865753917];5557 N 40TH ST
3;163030116;10/29/2016;03:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09919710796927, -87.94919863200396];4505 N 29TH ST
4;163000041;10/26/2016;09:27 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12148046768412, -87.96270982944775];4012 W THURSTON AV
5;162980060;10/24/2016;11:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11157050678067, -87.93619075867045];1981 W VILLARD AV
6;162970078;10/23/2016;12:33 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10469695836204, -87.95561056086889];3400 W HAMPTON AV
7;162970095;10/23/2016;02:29 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11196379033719, -87.95758461800685];5200 N 36TH ST
8;162970147;10/23/2016;08:27 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09039746572222, -87.93562239353128];4032 N 19TH PL
9;162960101;10/22/2016;02:31 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12759292119243, -87.96355559899544];6058 N 41ST ST
10;162950114;10/21/2016;07:29 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.105940612268455, -87.97394112479058];4857 N 49TH ST
11;162950153;10/21/2016;11:24 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10573441909517, -87.9565701503258];4857 N MOTHER DANIELS WA
12;162940100;10/20/2016;02:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110026161809685, -87.95275486799605];5108 N 32ND ST
13;162940184;10/20/2016;10:37 PM;4.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.12871438610355, -87.96247059775627];6093 N 40TH ST
14;162900088;10/16/2016;02:45 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10665883326282, -87.94415819487634];2500 W STARK ST
15;162890156;10/15/2016;06:59 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11086132444748, -87.93826790235582];2032 W EGGERT PL
16;162880003;10/14/2016;12:30 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106058754371276, -87.9752015809335];4863 N 50TH ST
17;162880126;10/14/2016;04:36 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1213214970858, -87.96337335356932];5692 N 41ST ST
18;162880175;10/14/2016;08:18 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0952410896474, -87.93806288631792];4246 N 21ST ST
19;162870050;10/13/2016;11:28 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11907951399405, -87.95589227699232];3425 W SILVER SPRING DR
20;162870079;10/13/2016;01:43 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09565394754458, -87.92690809925536];4333 N 13TH ST
21;162850064;10/11/2016;07:34 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13457380486482, -87.96586540074465];6400 N 43RD ST
22;162850095;10/11/2016;12:33 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11653341326678, -87.9575038607827];5442 N 36TH ST
23;162850102;10/11/2016;02:10 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091558245628704, -87.94459290463978];4080 N 25TH ST
24;162850174;10/11/2016;07:08 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.142660252449964, -87.95668700429653];6862 N DARIEN ST
25;162850181;10/11/2016;08:37 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14513939494493, -87.95584821276456];7005 N TEUTONIA AV
26;162840032;10/10/2016;06:24 AM;4.0;MOTOR VEHICLE THEFT;ALL OTHER LARCENY;;;;[43.119221505481676, -87.94797424207935];2826 W SILVER SPRING DR
27;162840196;10/10/2016;09:24 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10577604743512, -87.93954421224497];4821 N 22ND ST
28;162830136;10/09/2016;07:41 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09072960753659, -87.93945024871579];4055 N TEUTONIA AV
29;162820042;10/08/2016;08:17 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094601220093494, -87.93807288242277];4220 N 21ST ST
30;162800024;10/06/2016;06:35 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08990346826103, -87.9480315];2728 W CAPITOL DR
31;162810009;10/06/2016;08:24 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.128907513445775, -87.96443646485683];6100 N 42ND ST
32;162790038;10/05/2016;09:03 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.1210779103526, -87.96622486078269];5682 N 43RD ST
33;162760046;10/02/2016;09:44 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092845779906526, -87.9369591503258];4151 N 20TH ST
34;163050045;10/31/2016;10:38 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0358852514571, -87.96275494791995];448 N 39TH ST #3
35;163030058;10/29/2016;09:48 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03094666303593, -88.01737793495529];125 S 84TH ST
36;162950021;10/21/2016;08:24 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02488763918865, -87.98444959925536];627 S OAK PARK CT
37;162950025;10/21/2016;08:45 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.073283101304185, -87.98312885832985];2977 N 56TH ST
38;162950048;10/21/2016;12:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.088163244367166, -87.99620268590161];6724 W MELVINA ST
39;162940186;10/20/2016;11:12 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02500361226845, -87.9987095809335];645 S 69TH ST
