Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
161520020;05/31/2016;04:00 AM;4.0;SIMPLE ASSAULT;;;;;6829 N DARIEN ST
161520063;05/31/2016;07:48 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5255 N HOPKINS ST
161520072;05/31/2016;09:10 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5066 N SHERMAN BL
161520082;05/31/2016;12:22 PM;5.0;SIMPLE ASSAULT;;;;;4340 N 19TH PL
161520147;05/31/2016;07:11 PM;7.0;ROBBERY;;;;;4810 N 46TH ST
161510026;05/30/2016;03:18 AM;7.0;BURGLARY/BREAKING AND ENTERING;SIMPLE ASSAULT;;;;4903 N 39TH ST #7
161510044;05/30/2016;06:53 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5543 N 34TH ST
161510047;05/30/2016;08:40 AM;5.0;BURGLARY/BREAKING AND ENTERING;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4030 N 17TH ST
161510054;05/30/2016;09:03 AM;5.0;BURGLARY/BREAKING AND ENTERING;THEFT FROM MOTOR VEHICLE;;;;4045 N 16TH ST
161510084;05/30/2016;02:29 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4883 N 24TH PL
161510101;05/30/2016;09:55 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6811 N TEUTONIA AV
161510110;05/30/2016;04:56 PM;5.0;MOTOR VEHICLE THEFT;;;;;4351 N TEUTONIA AV
161510122;05/30/2016;06:46 PM;5.0;SIMPLE ASSAULT;;;;;4603 N 24TH ST
161510148;05/30/2016;10:08 PM;4.0;THEFT FROM BUILDING;;;;;3266 W VILLARD AV
161520001;05/30/2016;10:49 PM;7.0;INTIMIDATION;;;;;4828 N 25TH ST
161520012;05/30/2016;11:43 PM;7.0;SIMPLE ASSAULT;;;;;5145 N 20TH ST
161500011;05/29/2016;12:44 AM;7.0;AGGRAVATED ASSAULT;;;;;5123 N 31ST ST
