Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
052730010;09/30/2005;01:08 AM;7.0;ALL OTHER LARCENY;;;;;3827 W VILLARD AV
052730028;09/30/2005;06:30 AM;7.0;MOTOR VEHICLE THEFT;;;;;4920 N 50TH ST
052730049;09/30/2005;09:30 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5323 N 33RD ST
052730083;09/30/2005;01:00 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4261 N 28TH ST
052730088;09/30/2005;11:09 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6203 N TEUTONIA AV
052730123;09/30/2005;01:57 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5859 N 35TH ST
052730134;09/30/2005;09:37 AM;7.0;ALL OTHER LARCENY;;;;;4944 N 20TH ST
052730146;09/30/2005;02:30 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;1900 W BIRCH CT
052730166;09/30/2005;07:00 PM;7.0;MOTOR VEHICLE THEFT;;;;;3217 W VILLARD AV
052730170;09/30/2005;04:01 PM;7.0;SIMPLE ASSAULT;;;;;2222 W CAPITOL DR
052720008;09/29/2005;12:01 AM;7.0;MOTOR VEHICLE THEFT;;;;;4295 N TEUTONIA AV
052720012;09/29/2005;02:08 AM;7.0;ALL OTHER LARCENY;;;;;1931 W OLIVE ST
052720052;09/29/2005;09:14 AM;7.0;ALL OTHER LARCENY;;;;;2222 W CAPITOL DR
052720058;09/29/2005;08:50 AM;4.0;MOTOR VEHICLE THEFT;;;;;5346 N 39TH ST
052720097;09/29/2005;10:43 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4240 W SILVER SPRING DR
052720098;09/29/2005;11:34 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5226 W HAMPTON AV
052720158;09/29/2005;04:06 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2719 W ATKINSON AV
052720159;09/29/2005;04:10 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;3938 W FAIRMOUNT AV
052720226;09/29/2005;05:55 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1206 W CAPITOL DR
052730003;09/29/2005;07:06 PM;4.0;AGGRAVATED ASSAULT;;;;;5950 N 37TH ST
052730007;09/29/2005;10:20 PM;7.0;ROBBERY;;;;;5070 N 35TH ST
052730009;09/29/2005;10:59 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4070 N 23RD ST
052710033;09/28/2005;05:17 AM;4.0;MOTOR VEHICLE THEFT;;;;;6085 N 37TH ST
052710045;09/28/2005;08:19 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;3932 W GREEN TREE RD
052710053;09/28/2005;07:59 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;ALL OTHER LARCENY;;;;1604 W CONGRESS ST
052710056;09/28/2005;07:04 AM;4.0;ALL OTHER LARCENY;;;;;3465 W MILL RD
052710072;09/28/2005;10:08 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4935 N SHERMAN BL
052710084;09/28/2005;10:56 AM;7.0;THEFT FROM MOTOR VEHICLE;;;;;4940 N 26TH ST
052710166;09/28/2005;04:15 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;6134 N 40TH ST
052710177;09/28/2005;05:04 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4134 W VILLARD AV
052710184;09/28/2005;12:32 PM;7.0;AGGRAVATED ASSAULT;;;;;4808 N HOPKINS ST
052710198;09/28/2005;05:36 PM;7.0;ROBBERY;;;;;4425 N 29TH ST
052710216;09/28/2005;03:27 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4876 N 20TH ST
052710250;09/28/2005;07:54 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5025 N 41ST ST
052700052;09/27/2005;09:21 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5046 N 50TH ST
052700057;09/27/2005;09:43 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4588 N TEUTONIA AV
052700089;09/27/2005;10:04 AM;4.0;ALL OTHER LARCENY;;;;;3636 W GOOD HOPE RD
052700129;09/27/2005;03:49 PM;7.0;MOTOR VEHICLE THEFT;;;;;5075 N SHERMAN BL
052700133;09/27/2005;02:56 PM;7.0;SIMPLE ASSAULT;;;;;4920 N SHERMAN BL
052700166;09/27/2005;04:02 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5268 N 31ST ST
052700169;09/27/2005;02:51 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4033 N 14TH ST
052700206;09/27/2005;09:28 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;6033 N 37TH ST
052700212;09/27/2005;08:35 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5665 N 39TH ST
052700224;09/27/2005;10:40 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5047 N 26TH ST
052700226;09/27/2005;09:45 PM;4.0;SIMPLE ASSAULT;;;;;4023 W CUSTER AV
052710005;09/27/2005;09:27 PM;7.0;AGGRAVATED ASSAULT;;;;;4951 N 50TH ST
